indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
include.access--citizen-feedback-portals,Inclusion,Access to services,include.access,Citizen feedback portals,2
include.access--citizen-participation-in-policy,Inclusion,Access to services,include.access,Citizen participation in policy,2
include.access--gender-equity,Inclusion,Access to services,include.access,Gender equity,2
include.access--inclusion-of-refugees-and-idps,Inclusion,Access to services,include.access,Inclusion of refugees and IDPs,2
data.statistics--national-strategy-for-development-of-statistics,Data,National statistics,data.statistics,National strategy for development of statistics,1
data.statistics--statistics-from-administrative-data,Data,National statistics,data.statistics,Statistics from administrative data,1
data.open--use-of-open-data,Data,Open data,data.open,Use of open data,1
data.satellite--agricultural-use-of-satellite-data,Data,Use of satellite data,data.satellite,Agricultural use of satellite data,1
data.satellite--meteorological-use-of-satellite-data,Data,Use of satellite data,data.satellite,Meteorological use of satellite data,1
geopol.eu--eu-mous-engagements-and-commitments,Geopolitics,EU activities,geopol.eu,"EU MoUs, engagements and commitments",0
geopol.gulf--gulf-mous-engagements-and-commitments,Geopolitics,Gulf/UAE activities,geopol.gulf,"Gulf MoUs, engagements and commitments",1
geopol.india--india-mous-engagements-and-commitments,Geopolitics,India activities,geopol.india,"India MoUs, engagements and commitments",1
