indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
gov.policy--ict-strategy,Governance,"Strategies, plans and policies",gov.policy,ICT strategy,7
gov.policy--broadband-strategy,Governance,"Strategies, plans and policies",gov.policy,Broadband strategy,7
gov.policy--data-storage-cloud-strategy,Governance,"Strategies, plans and policies",gov.policy,Data storage / cloud strategy,7
gov.policy--data-interoperability-framework-roadmap,Governance,"Strategies, plans and policies",gov.policy,Data interoperability framework / roadmap,7
gov.policy--data-localisation-policies,Governance,"Strategies, plans and policies",gov.policy,Data localisation policies,7
gov.policy--open-data-policy,Governance,"Strategies, plans and policies",gov.policy,Open data policy,7
gov.legislate--digital-payments-legislation,Governance,Legislation and regulation,gov.legislate,Digital payments legislation,5
gov.legislate--legislation-enabling-data-interoperability,Governance,Legislation and regulation,gov.legislate,Legislation enabling data interoperability,5
gov.legislate--statistics-legislation,Governance,Legislation and regulation,gov.legislate,Statistics legislation,5
gov.legislate--access-to-information-legislation,Governance,Legislation and regulation,gov.legislate,Access to information legislation,5
