indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
dpi.exchange--use-of-digital-id-in-other-systems,DPI,Data Exchange,dpi.exchange,Use of digital id in other systems,6
dpi.exchange--interoperability-of-education-systems,DPI,Data Exchange,dpi.exchange,Interoperability of education systems,6
dpi.id--registration-of-entire-population,DPI,Digital Identity and CRVS,dpi.id,Registration of entire population,6
dpi.id--national-maintenance-of-id-and-credentials-systems,DPI,Digital Identity and CRVS,dpi.id,National maintenance of id and credentials systems,6
dpi.id--authentication,DPI,Digital Identity and CRVS,dpi.id,Authentication,6
dpi.id--use-by-other-systems,DPI,Digital Identity and CRVS,dpi.id,Use by other systems,6
dpi.pay--governance-role-of-central-bank,DPI,Digital Payments and Fintech,dpi.pay,Governance role of central bank,3
dpi.pay--g2p-functionality,DPI,Digital Payments and Fintech,dpi.pay,G2P functionality,3
dpi.pay--b2b-and-b2g-functionality,DPI,Digital Payments and Fintech,dpi.pay,B2B and B2G functionality,3
dpi.pay--p2p-p2g-and-p2b-functionality,DPI,Digital Payments and Fintech,dpi.pay,"P2P, P2G and P2B functionality",3
dpi.pay--cross-border-functionality,DPI,Digital Payments and Fintech,dpi.pay,Cross-border functionality,3
dpi.pay--consumer-protection,DPI,Digital Payments and Fintech,dpi.pay,Consumer protection,3
