slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-31-smartnewsliberia-lta-revenue-disclosure-pressure,PRESSURE MOUNTS ON MASSAQUOI TO DISCLOSE REVENUE,Smart News Liberia,,2026-08-31,day,LBR,gov.discourse; data.open; gov.policy,lta-liberia; telecom-international-alliance; center-for-transparency-and-accountability-in-liberia,,full,False,,1205,2026-09-01,https://smartnewsliberia.com/pressure-mounts-on-massaquoi-to-disclose-revenue/
2026-08-31-newspublictrust-worldbank-wallen-liberia-collateral-registry-remarks,Access To finance Is One Of The Biggest Challenges Facing Liberian Businesses-Says World Bank Country Manager - News Public Trust,News Public Trust,,2026-08-31,day,LBR,dpi.registry; dpi.exchange; finance.new,world-bank; ifc; central-bank-of-liberia; sida,,full,False,,950,2026-09-01,https://newspublictrust.com/access-to-finance-is-one-of-the-biggest-challenges-facing-liberian-businesses-says-world-bank-country-manager
2026-08-31-liberianobserver-new-chapter-opens-for-liberian-financial-inclusion,‘New Chapter’ Opens for Liberian Financial Inclusion,Liberianobserver.com,,2026-08-31,day,LBR,dpi.registry; dpi.exchange; include.access,central-bank-of-liberia; world-bank; ifc; sida; banking-institute-of-liberia,,full,False,,1159,2026-09-01,https://www.liberianobserver.com/business/new-chapter-opens-for-liberian-financial-inclusion/article_4d42c514-4db4-468d-905f-027eda0bb9b9.html
2026-08-31-knewsonline-liberia-plans-nationwide-same-day-national-id-service-seeks,"Liberia Plans Nationwide Same-Day National ID Service, Seeks US$39 Million for Rollout",KNews Online,,2026-08-31,day,LBR,dpi.id; include.divides; finance.new,national-identification-registry-liberia; ministry-of-finance-and-development-planning-liberia,,full,False,,278,2026-09-01,https://knewsonline.com/liberia-plans-nationwide-same-day-national-id-service-seeks-us39-million-for-rollout
2026-08-31-cbl-enhanced-collateral-registry-press-release,CBL Launches Enhanced Collateral Registry to Unlock Finance and Spur Inclusive Growth,Central Bank of Liberia,,2026-08-31,day,LBR,dpi.registry; dpi.exchange; gov.policy,central-bank-of-liberia; world-bank; liberia-bankers-association,,full,False,,421,2026-09-01,https://www.cbl.org.lr/media/press-releases/cbl-launches-enhanced-collateral-registry-unlock-finance-and-spur-inclusive
2026-08-28-thenewdawnliberia-cbl-launches-enhanced-credit-platform-to-boost-business,CBL Launches Enhanced Credit Platform to Boost Business Lending,The New Dawn Liberia,,2026-08-28,day,LBR,finance.new; dpi.exchange; gov.standards,central-bank-of-liberia; ifc,,full,False,,723,2026-09-01,https://www.thenewdawnliberia.com/cbl-launches-enhanced-credit-platform-to-boost-business-lending/
2026-08-27-liberianinvestigator-liberia-launches-digital-collateral-registry-to-curb-duplicate,"Liberia Launches Digital Collateral Registry to Curb Duplicate Claims, Expand Business Credit",THE LIBERIAN INVESTIGATOR,,2026-08-27,day,LBR,finance.new; dpi.exchange; dpi.id,central-bank-of-liberia; ifc; world-bank; liberia-land-authority; national-identification-registry-liberia,,full,False,,837,2026-09-01,https://liberianinvestigator.com/liberia-digital-collateral-registry-business-credit/
2026-08-27-cbl-enhanced-collateral-registry-public-notice,"Public Notice — \""Enhanced Collateral Registry for Movable and Immovable Property\""",Central Bank of Liberia,,2026-08-27,day,LBR,gov.legislate; dpi.registry; dpi.exchange,central-bank-of-liberia; regulation-cbl-rsd-001-2026,,full,False,2026-08-27-cbl-enhanced-collateral-registry-public-notice.pdf,546,2026-09-01,https://www.cbl.org.lr/sites/default/files/documents/Public%20Service%20Announcement_Enhanced%20Collateral%20Registry%20for%20Movable%20and%20Immovable%20Property.pdf
2026-08-26-liberianobserver-digital-payments-interoperability,Digital Payments Revolution: Interoperability Opens New Economic Doors for African Women and Small Businesses in Liberia,Liberian Observer,,2026-08-26,day,LBR,dpi.pay; gov.regional; include.divides,africanenda; association-of-african-central-banks; african-union; central-bank-of-liberia; nafebol-liberia,,full,False,,1477,2026-08-29,https://www.liberianobserver.com/business/digital-payments-revolution-interoperability-opens-new-economic-doors-for-african-women-and-small-businesses-in/article_6c03cd24-070b-4d04-b5f1-b4600ecec44e.html
2026-08-26-liberianinvestigator-liberia-trade-information-portal,LSEZA Says Trade Portal Could Ease Business in Liberia,The Liberian Investigator,,2026-08-26,day,LBR,dpi.exchange; dpi.govtech; finance.mou,lseza; world-bank; liberia-trade-information-portal,,full,False,,477,2026-08-27,https://liberianinvestigator.com/liberia-trade-information-portal-business-investment/
2026-08-25-thenewdawnliberia-boakai-two-year-report-card,"Boakai's Two-Year Report Card: Growth Up, Jobs Lag",The New Dawn Liberia,,2026-08-25,day,LBR,dpi.govtech; gov.discourse; dpi.id,government-of-liberia; ministry-of-information-liberia,,full,False,,1070,2026-08-27,https://www.thenewdawnliberia.com/boakais-two-year-report-card-growth-up-jobs-lag/
2026-08-25-liberianobserver-cbl-backs-lra-move-to-billion,CBL Backs LRA's 'Move to Billion' Revenue Drive,Liberian Observer,,2026-08-25,day,LBR,dpi.pay; infra.store; dpi.govtech; finance.new,central-bank-of-liberia; liberia-revenue-authority; gates-foundation; african-development-bank,,full,False,,907,2026-08-27,https://www.liberianobserver.com/business/cbl-backs-lra-s-move-to-billion-revenue-drive/article_7ef5e649-7ccd-4187-91bc-d17d1a19505c.html
