row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
ZAF-infra.connect-data-centre-incentive-instrument,ZAF,infra.connect,Infrastructure,"Data-centre incentive instrument (SEZ, depreciation, grid priority)",,,
ZAF-dpi.govtech-education-management-information-syste,ZAF,dpi.govtech,Digital public infrastructure,Education management information systems,,,
ZAF-dpi.govtech-electronic-death-registration-system,ZAF,dpi.govtech,Digital public infrastructure,Electronic death registration system,,,
ZAF-gov.legislate-cross-border-transfer-adequacy-determi,ZAF,gov.legislate,Governance and regulation,Cross-border transfer adequacy determinations,,,
ZAF-gov.legislate-malabo-convention-ratification-positio,ZAF,gov.legislate,Governance and regulation,Malabo Convention ratification position,,,
ZAF-gov.legislate-afcfta-digital-trade-protocol-domestic,ZAF,gov.legislate,Governance and regulation,AfCFTA Digital Trade Protocol domestication,,,
ZAF-tech.ai-rules-governing-state-automated-decisi,ZAF,tech.ai,Artificial intelligence and the technology sector,Rules governing state automated decision-making,,,
ZAF-tech.ai-ai-incident-or-assurance-register,ZAF,tech.ai,Artificial intelligence and the technology sector,AI incident or assurance register,,,
ZAF-include.access-digital-inclusion-strategy-instrument,ZAF,include.access,Inclusion and capacity,Digital inclusion strategy instrument,,,
ZAF-include.access-national-digital-literacy-measurement,ZAF,include.access,Inclusion and capacity,National digital literacy measurement,,,
ZAF-include.access-municipal-ict-expenditure-data,ZAF,include.access,Inclusion and capacity,Municipal ICT expenditure data,,,
ZAF-infra.connect-innovation-spectrum-lower-6ghz,ZAF,infra.connect,Infrastructure,"Innovation spectrum, lower 6GHz","The gazette notice releasing lower-6 GHz innovation spectrum, or an ICASA decision or licence record naming it.",2026-08-14,open
ZAF-dpi.govtech-district-health-information-system,ZAF,dpi.govtech,Digital public infrastructure,District Health Information System,"A National Department of Health statement, annual report or tender record for the District Health Information System, including the hosting arrangement put out to tender in 2026-07.",2026-08-14,open
ZAF-dpi.govtech-non-bank-payment-service-provider-lice,ZAF,dpi.govtech,Digital public infrastructure,Non-bank payment service provider licensing,The National Payment System Act amendment bill or a SARB directive establishing a licensing regime for non-bank payment service providers.,2026-08-14,open
ZAF-dpi.govtech-samos-real-time-gross-settlement,ZAF,dpi.govtech,Digital public infrastructure,SAMOS real-time gross settlement,"A South African Reserve Bank statement, annual report or system document on SAMOS, which the base carries no source for at any date.",2026-08-14,open
ZAF-gov.legislate-cybercrimes-act,ZAF,gov.legislate,Governance and regulation,Cybercrimes Act,"The gazetted Cybercrimes Act 19 of 2020 with its commencement proclamation, or a prosecution or enforcement record under it.",2026-08-14,open
ZAF-gov.legislate-information-regulator-appropriation,ZAF,gov.legislate,Governance and regulation,Information Regulator appropriation,The Information Regulator's annual report or the Justice vote's appropriation line naming its allocation.,2026-08-14,open
ZAF-tech.ai-expert-review-panel,ZAF,tech.ai,Artificial intelligence and the technology sector,Expert review panel,The ministerial notice or departmental statement appointing the expert review panel and naming its members and terms of reference.,2026-08-14,open
ZAF-tech.ai-prudential-authority-ai-and-cloud-supe,ZAF,tech.ai,Artificial intelligence and the technology sector,Prudential Authority AI and cloud supervision standards,"A Prudential Authority directive, guidance note or consultation paper on artificial-intelligence and cloud supervision standards.",2026-08-14,open
ZAF-tech.ai-sector-level-ai-strategies,ZAF,tech.ai,Artificial intelligence and the technology sector,Sector-level AI strategies,A departmental or sector-regulator statement naming a sector-level artificial-intelligence strategy and its status.,2026-08-14,open
ZAF-infra.connect-analogue-switch-off-date,ZAF,infra.connect,Infrastructure,Analogue television switch-off date,"a gazetted or ministerially announced switch-off date, or a departmental statement of the criteria and household threshold that would set one",2026-08-14,
ZAF-tech.ai-higher-education-policy-gap,ZAF,tech.ai,Artificial intelligence and the technology sector,Institutional policy on artificial intelligence in higher education,"a sector instrument from the higher education department or the quality council, or a published institutional policy on artificial intelligence in teaching and assessment at a named university",2026-08-17,
