row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
TGO-gov.policy-national-artificial-intelligence-strategy,TGO,gov.policy,Governance,National artificial-intelligence strategy,"The strategy document, or the Council of Ministers communique or ministerial statement adopting it; a July 2026 report refers to a national strategy engaged by the government and the base holds no instrument, date, scope or budget",2026-09-06,
TGO-gov.legislate-text-of-the-spectrum-royalty,TGO,gov.legislate,Governance,Text of the spectrum-royalty amendment,The gazetted decree with its number and the amended rate table; the regulator's site carries no 2026 royalties text and the rates reach the wiki only through a Council of Ministers communique,,
TGO-finance.budget-domestic-state-appropriation-to-digital,TGO,finance.budget,Finance,Domestic state appropriation to digital technology,"The finance law for 2026 or the finance ministry's budget annexes showing the appropriation to the digital ministry and the identity, cybersecurity, regulatory and digital agencies; the compiled budget outputs hold no Togo file",2026-09-06,
TGO-infra.connect-internet-shutdown-or-throttling-in,TGO,infra.connect,ICT Infrastructure,Internet shutdown or throttling in 2025,A network-measurement or shutdown-tracker country entry with dates and duration; the continental table the base holds names the event in two words,2026-09-06,
TGO-infra.connect-mobile-network-population-coverage,TGO,infra.connect,ICT Infrastructure,Mobile network population coverage,"The regulator's annual market observatory or quarterly statistical bulletin, the equivalent of the series the base already holds in full for Nigeria",2026-09-06,
TGO-infra.connect-national-5g-strategy,TGO,infra.connect,ICT Infrastructure,National 5G strategy,"A digital economy ministry or regulator strategy document; the regional regulators' association positively records that none is published, so this may close as a stated absence",,
TGO-infra.cybersec-incident-response-team-operational-record,TGO,infra.cybersec,ICT Infrastructure,Incident response team operational record,"An incident-response profile of the kind the base holds for Rwanda and Ghana, an annual incident report, or a membership record with an international response network; the 333,000-incident total is a single news attribution with no breakdown",,
TGO-dpi.id-data-protection-authority-s-authorisation,TGO,dpi.id,DPI,Data-protection authority's authorisation for biometric and identification-number processing,"The authority's published register of authorisations, or the authorisation decision itself for the identity agency's processing; article 8 of the 2019 statute requires prior authorisation both for biometric data and for use of a national identification number, and the authority's own organisational decree is also unheld",2026-09-06,
TGO-dpi.id-national-citizen-account-or-single,TGO,dpi.id,DPI,National citizen account or single sign-on,"Technical or service documentation for the public-services portal, or any statement on which agency systems federate to the identification number; the volunteering agency's new mobile application is the immediate test case",2026-09-06,
TGO-tech.ai-the-data-collection-start-up,TGO,tech.ai,Technology,The data-collection start-up named as the flagship project's partner,"A company filing, an agency or association member listing, or a founder profile establishing founding date, size and funding",,
TGO-tech.industry-declaration-issued-at-the-lome,TGO,tech.industry,Technology,Declaration issued at the Lome space forum,"The declaration text as issued at the close of the forum on 31 July 2026, or its publication by the organisers or the regulator",,
TGO-tech.industry-digital-sector-share-of-gross,TGO,tech.industry,Technology,Digital sector share of gross domestic product,"A national accounts series or ministry statistical annex; the base holds a government figure of about 4 per cent for 2022 against a stated target of 10 per cent, relayed by trade press with no target date and nothing measured since",,
TGO-tech.innovate-start-up-statute-or-legal,TGO,tech.innovate,Technology,Start-up statute or legal framework,"A law or decree on start-up labelling and incentives, or a ministerial statement that none exists; the industry association's own remedy for legal uncertainty was a private law-firm partnership",,
TGO-include.divides-gender-disaggregated-digital-access-measure,TGO,include.divides,Inclusion,Gender-disaggregated digital access measure,"A sex-disaggregated figure from an international telecommunications or financial-inclusion series, or the national statistics institute's own household survey; the only gender figure in the section is a 2020 programme statistic carried by a 2023 reference study",2026-09-06,
TGO-include.divides-rural-and-urban-connectivity-gap,TGO,include.divides,Inclusion,Rural and urban connectivity gap measure,A regulator coverage or penetration series broken down by region or by rural and urban area; the base holds only a sub-Saharan regional figure and Togo's rural population share,2026-09-06,
TGO-include.divides-universal-service-fund,TGO,include.divides,Inclusion,Universal service fund,"The fund's constituting instrument and any published annual report or regulator accounts showing its balance, governance body and disbursements; the only held reference is the article of the fee decree allocating 30 per cent of fine proceeds to it",2026-09-06,
TGO-geopol.gulf-gulf-state-digital-or-technology,TGO,geopol.gulf,Geopolitics,Gulf-state digital or technology cooperation instrument,"Any investment, data-centre agreement or sovereign-fund commitment naming Togo; the subject returns no Togolese source at all",2026-09-06,
TGO-geopol.india-indian-digital-or-technology-cooperation,TGO,geopol.india,Geopolitics,Indian digital or technology cooperation instrument,"Any memorandum, credit line, training-programme participation or supplier contract naming Togo; the subject returns no Togolese source",2026-09-06,
TGO-gov.legislate-loi-n-2017-006-losito,TGO,gov.legislate,Governance,Loi n 2017-006 d'orientation sur la societe de l'information,The statute's own text or a gazette reference; it is known only from another decree's visas,2026-09-06,
TGO-gov.legislate-loi-n-2017-007-transactions-electroniques,TGO,gov.legislate,Governance,Loi n 2017-007 relative aux transactions electroniques,The statute's own text or a gazette reference; it is known only from another decree's visas,2026-09-06,
TGO-gov.protect-data-localisation-requirement,TGO,gov.protect,Governance,Data localisation requirement,"An enacted localisation obligation, or a dated regulator statement that the objective has been dropped",2026-09-06,
TGO-include.access-accessibility-of-digital-public-services,TGO,include.access,Inclusion,Accessibility of digital public services for persons with disabilities,"An accessibility standard or requirement binding on government digital services, or the operative text of the 2004 disability statute and its revision",2026-09-06,
