row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
TGO-gov.policy-digital-cyberdefence-biometrics-reforms,TGO,gov.policy,Governance,instrument,"Digital, cyberdefence and biometrics reform programme",In development,2026-09-02,Mid-2026 review: 68.4 per cent average reform implementation,,Advanced,Did not exist,"A ministry account of accelerating reforms across governance, land and digital, naming cyberdefence and biometrics. At a national review on 28 August 2026 the finance ministry reported an average reform implementation rate of 68.4 per cent and a budget execution rate of 63.3 per cent at end-June 2026, the digital items named being expansion of biometric identification, a broadened mandate for the national cyberdefence company and the rollout of the small-business agency, alongside decentralisation allocations of CFAF 16 billion and a first place in West Africa on a 2025 business-environment ranking at 61.52 points",2026-09-02-tgo-reform-implementation-rate-togofirst|2026-08-31-republicoftogo-reformes-numerique-cyberdefense-biometrie,,"an average across a reform portfolio whose digital share is not separated out, so the 68.4 per cent says nothing about the digital items individually"
TGO-gov.policy-government-roadmap-for-2026-2031,TGO,gov.policy,Governance,instrument,Government roadmap for 2026-2031,"Implemented, text not held",2026-08-03,Private-sector contribution workshop convened at Lome 2026-07-30 under Vision Togo 2040 and the roadmap,,Baseline not held,Not on record,"In force, with headline targets of a doubling of gross domestic product per head and poverty below 15 per cent; the roadmap text is not held, no digital chapter or digital target is on record, and the three sectoral tracks at the workshop of 2026-07-30 were agro-industry, logistics and transport, and energy, with no digital track",2026-08-01-togo-vision-2040-deep-dive-secteur-prive|2026-08-03-ecofin-togo-secteur-prive-financement-vision-2040,,"The instrument itself is not held; what the base holds is the government's own account of a workshop convened under it, and the government said it would specify by the end of 2026 the reciprocal commitments it will offer the private sector"
TGO-gov.policy-national-artificial-intelligence-strategy,TGO,gov.policy,Governance,instrument,National artificial-intelligence strategy,"Not held, searched 2026-09-06 - no adopting act located",2026-07-12,"The digital economy minister stated a national strategy was still needed, November 2024",,No change,None adopted,"None adopted; a July 2026 government report refers to a national artificial-intelligence strategy as an existing framework without naming an adopting act, and a sectoral policy on the use of artificial intelligence in vocational training entered drafting in September 2025",2026-07-12-togo-ia-au-service-des-langues-locales|2025-09-23-togo-etfp-politique-utilisation-ia-en-cours-elaboration|2024-11-26-togo-mentd-autour-de-lia-ambition-pionnier-ia,2026-09-06,Two dated official statements pull in opposite directions and neither names an instrument
TGO-gov.policy-politique-nationale-de-protection-sociale,TGO,gov.policy,Governance,instrument,Politique nationale de protection sociale,Implemented,2025-12-17,Approving decree adopted in Council of Ministers 17 December 2025,2025-12-17,Advanced,Did not exist,"A policy framework adopted to improve the coherence, coordination and effectiveness of public social-protection interventions, and the frame the social registry and its targeting now sit inside",2025-12-17-togo-conseil-des-ministres-decret-politique-nationale-protection-sociale,,The decree's own text is not published; the same Council record carries the broadcasting authority's new remit over online platforms and social networks
TGO-gov.policy-regulatory-authority-for-electronic-communications,TGO,gov.policy,Governance,instrument,Regulatory authority for electronic communications and posts,Implemented,2026-07-31,Created in October 2020 in an institutional reform replacing its predecessor,,No change,Operating under its present director-general,"Operating, its head elected president of the West African regulators' association at the general assembly Togo hosted on 2026-04-22",2026-07-31-togo-michel-yaovi-galley-head-of-arcep-togo|2026-04-21-artao-ppp-haut-debit,,Month precision on creation; the claim that Togo's framework is a model for other African markets is the publisher's and uncorroborated
TGO-gov.legislate-strategie-togo-digital-2025,TGO,gov.policy,Governance,instrument,Strategie Togo Digital 2025,"Implemented, period ended",2026-05-04,Adopted publicly by the President on 27 April 2022 for a period running to 2025,2021-04-01,No change,"The operative national digital strategy, nine programmes covering electronic government, data governance and valorisation, state reference registries and a national interoperability platform",Still cited as the framework for delivery in 2026 - 181 classrooms connected under it - though its own period has expired and no successor is adopted,2026-05-04-togo-equipe-ses-ecoles-connecte-salles-de-classe-ent|2021-04-01-togo-mentd-strategie-togo-digital-2025,,"The ministry's landing page carries no text, so the ministry's own detailed presentation is the document; the capture is truncated at 100,000 characters"
TGO-gov.policy-togo-digital-2025-2030-national,TGO,gov.policy,Governance,instrument,Togo Digital 2025-2030 national digital strategy,In development,2026-06-10,"Consultant procurement launched, with no adoption reported",2025-05-28,Stalled,"Drafting procurement launched in May 2025, with the 2020 strategy still operative",Still no adopted strategy fourteen months into the period it names; a June 2026 enterprise toolbox is framed under the predecessor,2025-05-28-wearetech-togo-digital-strategie-2025-2030|2026-06-10-atd-boite-outils-digitaux-tpme,,"The predecessor strategy is now held in the ministry's own detailed presentation, so the two names denote two instruments; the 2025-2030 draft itself is still not held"
TGO-gov.legislate-access-to-information-statute,TGO,gov.legislate,Governance,instrument,Access-to-information statute,"Implemented, no oversight body in place",2026-04-01,"Loi n 2016-006 of 30 March 2016, implemented by decret n 2017-104/PR of 10 August 2017",2016-03-30,No change,"In force since 2016 with its 2017 implementing decree, a 30-day response period and oversight vested in the Mediateur de la Republique rather than the broadcasting authority","Unchanged in law; Togo's 2025 return on the international access-to-information indicator records no dedicated oversight institution, no national or subnational oversight body and no public-body reporting of request statistics",2026-04-01-unesco-togo-2025-survey-public-access-to-information-sdg-16102|2016-03-30-togo-loi-2016-006-liberte-acces-information-documentation-publiques|2017-08-10-togo-decret-2017-104-application-loi-acces-information,,"The statute is held as the National Assembly's own text hosted by a third party, with no gazette scan; the 2025 return is held on its readable structure only, its text layer having failed to decode"
TGO-gov.legislate-anti-money-laundering-law-of,TGO,gov.legislate,Governance,instrument,Anti-money-laundering law of 2025,"Implemented, adopted with no promulgation date, number or gazette reference held",2025-12-30,Adopted in the National Assembly's December 2025 budget session,,Advanced,"The 2018 statute in force, with no risk-based approach and no due diligence on virtual-asset service providers","The 2025 law adopted, replacing the 2018 statute with a risk-based approach, due diligence extended to virtual-asset service providers and strengthened beneficial-ownership identification",2025-12-30 Togo Adopts New Law to Strengthen Anti-Money Laundering Rules,,"The as-at date is the report's own date, the source giving only the budget session, so the vote date is not established"
TGO-gov.legislate-commercial-courts-and-apostille-bills,TGO,gov.legislate,Governance,instrument,Commercial-courts reform and Hague Apostille accession bills,In development,2026-08-14,Adopted in first reading 2026-08-14,,Baseline not held,Not held,"Two bills adopted in first reading by the National Assembly, one reforming the commercial-courts law to complete electronic filing and online hearings and align with the OHADA uniform act, the other authorising accession to the Hague Apostille Convention",2026-08-14-togo-commercial-courts-digitisation-apostille-convention,,"neither bill text is held and no second reading, adoption or entry-into-force date is stated"
