indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,TCD-gov.policy-tchad-connexion-2030,,,,,,,2026-07-31,0,"Tchad Connexion 2030 in force to 2030; no implementation, expenditure or M&E report on record",
gov.policy--ict-strategy,,,,,,,,,2026-07-31,0,"Only the 2014 electronic-communications law is cited here, a statute not a sector policy; Tchad Connexion 2030 sits under the digital strategy row",
gov.policy--broadband-strategy,3,TCD-gov.policy-tchad-connexion-2030,,,,,,,2026-07-31,0,Umbrella strategy with an 80 per cent coverage target to 2030; pledges signed but no progress reporting on record,
gov.policy--data-storage-cloud-strategy,2,TCD-infra.store-national-data-centre,,,,,,,2026-07-31,0,National data centre built and awaiting certification; no government hosting or cloud policy on record,
gov.policy--data-interoperability-framework-roadmap,2,TCD-dpi.exchange-national-interoperability-and-data-exchange,,,,,,,2026-07-31,0,No framework published; interoperability named as a priority in the data governance strategy process; bilateral protocols only,
gov.policy--data-localisation-policies,,,,,,,,,2026-07-31,0,Only a digital code in drafting with no text; nothing shows a localisation rule proposed or in force,
gov.policy--data-governance-policy,2,TCD-gov.policy-national-data-governance-strategy,,,,,,,2026-07-31,0,Strategy in development under ministry terms of reference; no draft or adoption date,
gov.policy--open-data-policy,2,TCD-data.open-open-government-data-portal-or,,,,,,,2026-07-31,0,Statistics institute portals publish with no open-data policy and restrictive reuse terms,
gov.legislate--data-protection-legislation,,,,,,,,,2026-07-31,0,Rows here say no general law enacted; the regulator's register cited under cybersecurity and e-commerce names Loi 007/PR/2015 in force,
gov.legislate--cybersecurity-legislation,3,TCD-gov.legislate-cybercrime-law,,,,,,,2026-07-31,0,Loi 009/PR/2015 named in force by regulator's register; agency reformed and cybercrime unit created; no prosecution or incident record,
gov.legislate--legislation-covering-digital-id,,,,,,,,,2026-07-31,0,Biometric register operating but no identity law or bill cited here; the agency's 2016 founding ordinance appears only under enrolment rows,
gov.legislate--digital-payments-legislation,3,TCD-gov.legislate-cemac-payments-regulation,,,,,,,2026-07-31,0,Regional CEMAC regulation directly applicable; no national licensing or interoperability rules cited here,
gov.legislate--legislation-enabling-data-interoperability,2,TCD-gov.legislate-code-du-numerique|TCD-gov.legislate-committee-to-overhaul-the-digital,,,,,,,2026-07-31,0,Digital code in drafting under an overhaul committee; no text or data-sharing provisions on record,
gov.legislate--ai-legislation-regulations,2,TCD-gov.legislate-ai-regime,,,,,,,2026-07-31,0,UNESCO readiness assessment finds no AI liability regime; agency remit names AI systems with no substantive rules,
gov.legislate--e-commerce-legislation,3,TCD-gov.legislate-loi-009-2015-cybersecurite,,,,,,,2026-07-31,0,Loi 008/PR/2015 on electronic transactions named in force by regulator's register; texts not held; no accreditation acts,
gov.legislate--statistics-legislation,3,TCD-gov.legislate-loi-026-2019-statistique,,,,,,,2026-07-31,0,Loi 026/PR/2019 establishes the institute; professional independence and confidentiality provisions not on record,
gov.legislate--access-to-information-legislation,1,TCD-data.open-access-to-information-statute,,,,,,,2026-07-31,0,UNESCO UPR filing states no freedom of information law adopted; constitutional guarantee only,
gov.protect--data-protection-authority,2,TCD-gov.protect-ordonnance-n-001-pr-2026,,,,,,,2026-07-31,0,Data protection folded into the security agency's remit; no separate authority and no data-protection operations on record,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-07-31,0,Rows conflict: general law stated not enacted while the regulator's register names Loi 007/PR/2015 in force; only a sectoral biometric law adopted,
gov.regional--regional-policy-collaboration,2,TCD-gov.regional-cemac-financial-inclusion-strategy,,,,,,,2026-07-31,0,CEMAC membership under a regional strategy; no Chad contribution or domestic implementation on record,
