title,publisher,author,published,date_precision,places,topics,entities,ingested,url
Zanzibar launches new system to fix stalled projects,The Citizen,,2026-09-10,day,TZA,dpi.mis; gov.policy,revolutionary-government-of-zanzibar,2026-09-10,https://www.thecitizen.co.tz/tanzania/zanzibar/zanzibar-launches-new-system-to-fix-stalled-projects-5590506
TCRA steps up fight against mobile fraud in Morogoro,The Citizen,,2026-09-10,day,TZA,infra.cybersec; dpi.pay; capacity.literacy,tcra,2026-09-10,https://www.thecitizen.co.tz/tanzania/news/national/tcra-steps-up-fight-against-mobile-fraud-in-morogoro-5590074
New push for tighter SIM registration to curb cyber fraud,The Citizen,,2026-09-10,day,TZA,infra.cybersec; dpi.id; gov.legislate,tcra,2026-09-10,https://www.thecitizen.co.tz/tanzania/news/national/new-push-for-tighter-sim-registration-to-curb-cyber-fraud-5590718
Serikali: Uchumi wa kidijitali unahitaji uwekezaji zaidi,Mwananchi,,2026-09-10,day,TZA,infra.connect; digital.rural; gov.policy,micit-tanzania; helios-towers,2026-09-10,https://www.mwananchi.co.tz/mw/habari/biashara/serikali-uchumi-wa-kidijitali-unahitaji-uwekezaji-zaidi-5590644
S. Korea vows closer cooperation with African partners at KOAFEC meeting,Yonhap News Agency,,2026-09-09,day,XAF; TZA,finance.mou; tech.ai; infra.store; capacity.training,korea-edcf; african-development-bank; ministry-of-economy-and-finance-korea; micit-tanzania,2026-09-09,https://en.yna.co.kr/view/AEN20260909007200320
TTCL and BBS Increase Tanzania-Burundi Connectivity Capacity from 4Gbps to 10Gbps,Tech Africa News,,2026-09-09,day,TZA; BDI,infra.connect,ttcl; burundi-backbone-system,2026-09-09,https://techafricanews.com/2026/09/09/ttcl-bbs-increase-tanzania-burundi-connectivity-capacity-10gbps/
Tanzania leads delegation at KOAFEC as Africa explores AI-driven development,The Citizen,,2026-09-09,day,TZA,tech.ai; finance.new; infra.connect,african-development-bank; korea-eximbank; micit-tanzania,2026-09-10,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-leads-delegation-at-koafec-as-africa-explores-ai-driven-development-5589532
"Face à la fracture numérique, la Tanzanie forme les filles aux métiers des TIC",wearetech.africa,,2026-09-08,day,TZA,capacity.training; include.divides,unesco; beijing-normal-university,2026-09-08,https://www.wearetech.africa/fr/fils/actualites/tech/face-a-la-fracture-numerique-la-tanzanie-forme-les-filles-aux-metiers-des-tic
"Bank of Tanzania backs Creditinfo's locally operated fraud, identity solutions",The Citizen,The Citizen Reporter,2026-09-07,day,TZA,gov.protect; infra.store; tech.industry,bank-of-tanzania; creditinfo,2026-09-08,https://www.thecitizen.co.tz/tanzania/business/bank-of-tanzania-backs-creditinfo-s-locally-operated-fraud-identity-solutions-5586696
TTCL Tops Tanzania Telecom Quality Rankings Despite Small Market Share,Tech Africa News,,2026-09-07,day,TZA,infra.connect,ttcl; tanzania-communications-regulatory-authority,2026-09-08,https://techafricanews.com/2026/09/07/ttcl-tops-tanzania-telecom-quality-rankings-2026/
"Vodacom, Bridge for Billions partner to boost startup ecosystem","The Guardian (IPP Media, Tanzania)",,2026-09-07,day,TZA,tech.innovate; capacity.training; finance.mou,vodacom-tanzania; bridge-for-billions,2026-09-07,https://ippmedia.co.tz/the-guardian/business/read/vodacom-bridge-for-billions-partner-to-boost-startup-ecosystem-2026-09-07-142532
Tanzania Registers 150 Projects on e-Delivery System to Implement Vision 2050,Tanzania Invest,,2026-09-06,day,TZA,gov.policy; dpi.govtech,national-planning-commission-tanzania; e-delivery-tanzania; tanzania-development-vision-2050,2026-09-07,https://www.tanzaniainvest.com/economy/e-delivery-150-projects-vision-2050
"Tanzania, DRC agree to fast-track SGR link and fibre-optic cable across Lake Tanganyika",Daily News (Tanzania),,2026-09-05,day,TZA; COD,infra.connect; gov.regional,ministry-of-foreign-affairs-tanzania,2026-09-05,https://dailynews.co.tz/tanzania-drc-agree-to-fast-track-sgr-link-and-fibre-optic-cable-across-lake-tanganyika/
"Korea-Africa Ministerial Conference Convenes Under AI Theme, Two Weeks After Seoul's First AI Loan to the Continent",iAfrica.com,,2026-09-05,day,XAF; TZA,gov.regional; tech.ai; gov.discourse,korea-edcf; african-development-bank; korea-eximbank,2026-09-06,https://iafrica.com/korea-africa-ministerial-conference-convenes-under-ai-theme-two-weeks-after-seouls-first-ai-loan-to-the-continent/
Tanzania's digital education transformation begins with the teacher,Daily News (Tanzania),,2026-09-05,day,TZA,finance.mou; capacity.training; dpi.mis,unesco; korean-funds-in-trust; ministry-of-education-science-and-technology-tanzania; tanzania-institute-of-education; pmo-ralg-tanzania,2026-09-07,https://dailynews.co.tz/tanzanias-digital-education-transformation-begins-with-the-teacher/
"Tanzania tells WTPF session how its citizens enjoy access to inclusive, secure communication services",Daily News Tanzania,,2026-09-04,day,TZA,gov.policy; gov.protect; include.access,tcra; itu,2026-09-04,https://dailynews.co.tz/tanzania-tells-wtpf-session-how-its-citizens-enjoy-access-to-inclusive-secure-communication-services/
"Tanzania fintechs, banks told to rethink partnerships",The Citizen,,2026-09-04,day,TZA,gov.discourse; dpi.pay,uncdf; nala,2026-09-04,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-fintechs-banks-told-to-rethink-partnerships-5583302
"Instagram, Mobile Money and a Boda: Tanzania's E-Commerce Economy",The Chanzo,,2026-09-04,day,TZA,gov.discourse; dpi.pay; include.access,mpesa; yas-tanzania; airtel-money,2026-09-07,https://thechanzo.com/2026/09/04/instagram-mobile-money-and-a-boda-tanzanias-e-commerce-economy/
