title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Grant system goes digital to better serve disabled Namibians,Namibian Sun,,2026-09-08,day,NAM,dpi.govtech; include.access,office-of-the-vice-president-namibia,2026-09-08,https://www.namibiansun.com/local-news-we/grant-system-goes-digital-to-better-serve-disabled-namibians-nmh017539-1-21681,
The Language We Learned to Dream In,The Namibian,,2026-09-06,day,NAM,gov.discourse; include.divides; tech.ai,,2026-09-07,https://www.namibian.com.na/the-language-we-learned-to-dream-in/,
Global Cybersecurity Initiative: Unifying Africa via Cybersecurity,The Villager Newspaper,,2026-09-04,day,NAM,infra.cybersec; tech.industry,global-cybersecurity-initiative; ds-tech-namibia,2026-09-05,https://www.thevillager.com.na/technology/2026/global-cybersecurity-initiative-unifying-africa-via-cybersecurity/,
Home Affairs becomes Namibia's first certification service provider,New Era,,2026-09-03,day,NAM,dpi.id; gov.standards; gov.legislate,cran; ministry-home-affairs-namibia,2026-09-07,https://neweralive.na/home-affairs-becomes-namibias-first-certification-service-provider/,
Explainer: What is WayaMe?,The Namibian,,2026-09-03,day,NAM,dpi.pay; include.access,bank-of-namibia; instant-payments-namibia,2026-09-05,https://www.namibian.com.na/explainer-what-is-wayame/,
Government told to stop making citizens carry ID copies,observer24.com.na,,2026-09-01,day,NAM,dpi.id; dpi.exchange; gov.legislate; include.access,cran; ministry-home-affairs-namibia; mict-namibia,2026-09-01,https://observer24.com.na/government-told-to-stop-making-citizens-carry-id-copies/,
Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026,
Namibia takes seat at global AI table,Observer24,,2026-08-31,day,NAM,tech.ai; gov.regional; capacity.training,ministry-of-ict-namibia; itu,2026-09-01,https://observer24.com.na/namibia-takes-seat-at-global-ai-table/,
US health deal faces data privacy backlash in Namibia,The Namibian,,2026-08-31,day,NAM,dpi.exchange; gov.protect; geopol.usa,ministry-of-health-and-social-services-namibia; us-department-of-state; office-of-the-attorney-general-namibia; world-health-organization; independent-patriots-for-change,2026-09-01,https://www.namibian.com.na/us-health-deal-faces-data-privacy-backlash-in-namibia/,
Namibia advances national digital trust framework,ITWeb Africa,,2026-08-31,day,NAM,gov.policy,cran; veridos,2026-08-31,https://www.itweb.africa/article/namibia-advances-national-digital-trust-framework/lwrKx73Y1pAqmg1o,
We don't steal your data – MTC,The Namibian,,2026-08-30,day,NAM,infra.connect; gov.discourse,mtc-namibia,2026-09-02,https://www.namibian.com.na/we-dont-steal-your-data-mtc/,
‘Critical moment’,The Namibian,,2026-08-30,day,NAM,gov.protect; dpi.exchange; geopol.usa; dpi.mis,ministry-of-health-and-social-services-namibia; us-department-of-state; office-of-the-president-namibia,2026-09-01,https://www.namibian.com.na/critical-moment/,
ICT SUMMIT RECEIVES N$1.2M FUNDING BOOST,NBCDigitalNews,,2026-08-29,day,NAM,capacity.training; finance.new,mict-namibia,2026-09-01,https://www.nbcnews.na/node/118562,
Education Ministry Launches New School Standards Framework,Namibian Broadcasting Corporation (NBC),,2026-08-28,day,NAM,dpi.mis,ministry-of-education-namibia,2026-08-31,https://www.nbcnews.na/node/118426,
