indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Advanced,"A technology strategy carries a [stated FCFA 1,105bn envelope](2025-02-24-new-deal-1105-billion-investment) across twelve programmes to 2034, above a [digital council](2025-10-03-techafricanews-national-digital-council) with no published output and a [steering committee](2026-08-03-senegal-government-enterprise-architecture-dpi-sovereignty) not yet operating.","The strategy launched in February 2025 with the stated envelope across twelve priority programmes to 2034; the dollar equivalent in circulation rests on an undated conversion and is not a second figure ([envelope](2025-02-24-new-deal-1105-billion-investment), [strategy](2025-02-27 Senegal unveils New Deal Technologique digital transformation strategy)).

A national digital council was inaugurated in October 2025 with twenty members, its mandate covering personal-data protection and cybersecurity advice, and no published output is held ([council](2025-10-03-techafricanews-national-digital-council), [projects](2026-03-24-lesoleil-sonko-projets-structurants)).

A digital governance steering committee was created in March 2026 and was still stated to be operational in the near future five months later ([committee](2026-08-03-senegal-government-enterprise-architecture-dpi-sovereignty)).",SEN-finance.new-technology-strategy-financing-envelope|SEN-gov.policy-digital-council|SEN-gov.policy-digital-governance-steering-committee
gov.policy--ai-strategy,Advanced,"A [national artificial-intelligence strategy](2026-07-26-seneweb-ia-afrique-senegal-traine) was adopted in 2023 on six orientations, and a [head-of-state instruction](2026-07-29-senegal-conseil-des-ministres-29-juillet-2026) now calls for a development plan whose relation to it is unestablished.","The strategy was adopted in 2023 on six orientations. It predates the reporting window so it is not movement, and its first appearance corrected an earlier record that had held there was no published strategy at all ([strategy](2026-07-26-seneweb-ia-afrique-senegal-traine)).

A council of ministers communiqué records a head-of-state instruction for a national development plan, and whether it supersedes, implements or replaces the 2023 strategy is unestablished ([instruction](2026-07-29-senegal-conseil-des-ministres-29-juillet-2026)).

A readiness assessment records an ethics committee as planned; the assessment is dated 2025 with no month and the full report is not held ([committee](2026-07-26-seneweb-ia-afrique-senegal-traine)).",SEN-gov.policy-ai-strategy-roadmap|SEN-gov.policy-ai-development-plan|SEN-tech.ai-ai-ethics-committee
gov.policy--data-governance-policy,Advanced,"A [national data strategy](2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees) is cited as adopted and as the frame requiring the data-protection bill to be re-levelled, and a [blueprint for value creation through data](2026-07-06-wearetech-data-ai-governance-blueprint) is at workshop stage.","The strategy is cited as adopted, with its adoption date unestablished, and it is the frame against which the personal-data bill is being re-levelled. Its first appearance in the base is a coverage gain rather than a policy move ([strategy](2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees)).

A ministry and partner workshop over two days in July 2026 identified priority sectors for a data and artificial-intelligence governance blueprint, and no published blueprint, date or budget is on file ([blueprint](2026-07-06-wearetech-data-ai-governance-blueprint), [governance](2026-05-26-techafricanews-smart-africa-data-governance)).",SEN-gov.policy-data-strategy|SEN-gov.policy-blueprint-value-creation-through
gov.legislate--data-protection-legislation,"Mixed, a revision bill in finalisation while the law in force has stood eighteen years unamended through a breach of the identity directorate","The [personal data law of 2008](2026-07-16 Data Protection Laws of Senegal (reference summary)) has stood eighteen years unamended, and a [revision bill](2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees) was taken to a two-day workshop to finalise it with its implementing decree.","The law was promulgated in January 2008 and came into force in 2014, and no amending law is found. It did not move through the February 2026 breach of the national identity directorate ([law](2026-07-16 Data Protection Laws of Senegal (reference summary)), [modernisation](2026-03-27-aps-donnees-personnelles-legislation-moderniser)).

A workshop was convened to finalise the revision bill and its implementing decree; the source is proxy-dated, so the workshop's own date is unknown and must not be rendered as July 2026 ([bill](2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees)).

The national data strategy is the frame requiring the bill to be re-levelled, so the revision is being written to a strategy rather than to the breach.",SEN-gov.protect-loi-n-2008-12|SEN-gov.protect-bill-revising-personal-data
gov.legislate--cybersecurity-legislation,Advanced,"A [critical-infrastructure protection law was adopted unanimously](2026-08-20-seneweb-loi-securite-numerique-adoption) on 20 August 2026, and both the [bill text and the inter-commission report](2026-08-20-senegal-rapport-intercommission-projet-loi-25-2026-iic) on it are now held.","The Assembly adopted the law unanimously ([adoption](2026-08-20-seneweb-loi-securite-numerique-adoption), [detail](2026-08-17-senegal-critical-infrastructure-bill-ministry-details), [safeguard](2026-08-14-senegal-moves-to-safeguard-digital-infrastructure)). Every provision reaching the base through the news accounts is the ministry's own description and the enacted text is not held; the base held nothing on this workstream at the window's start ([cooperation](2026-07-15 Senegal pushes stronger cybersecurity cooperation to protect critical infrastructure), [security](2026-08-14-senegal-critical-infrastructure-cybersecurity-bill), [digital security](2026-08-14-senegal-moves-to-strengthen-critical-infrastructure-and-digital-security)).

The bill's own text and the parliamentary inter-commission report on it are both held, so the base can read the provisions and the committee's reading of them rather than the tabling alone ([bill](2026-08-20-senegal-rapport-intercommission-projet-loi-25-2026-iic), [text](2026-07-02-senegal-projet-loi-25-2026-infrastructures-information-critiques), [hosting](2026-08-20-aps-senegal-hebergement-donnees-personnelles-pleniere), [continuity](2026-08-20-aps-senegal-khady-sarr-cybersecurite-continuite-soins)).

During the debate the Assembly's first vice-president argued cybersecurity must become a standing administrative culture rather than a compliance exercise, calling for mandatory staff training and minimum device-security standards — an account of where the state's own practice stands rather than of what the law requires ([culture](2026-08-20-el-malick-ndiaye-cybersecurite-culture-administrative)).",SEN-gov.legislate-critical-infrastructure-protection-legal|SEN-gov.legislate-critical-information-infrastructure-bill
gov.legislate--e-commerce-legislation,No change,"A [bill on a media and social-network regulator](2025-01-24-draft-law-media-regulator) was presented in January 2025 covering digital platforms and online media, and no source has moved it since.","The draft was presented with the broadcasting regulator and its scope covers digital platforms, social networks and traditional and online media ([bill](2025-01-24-draft-law-media-regulator)).

Nothing in the base has moved it since January 2025. A ministry legal adviser separately states on the record that the state has worked on social-media regulation since 2024, which is the first dating of the workstream the base holds and does not name the bill ([workstream](2026-07-27-ucak-reseaux-sociaux-intelligence-artificielle-defis)).",SEN-gov.legislate-bill-media-social-network|SEN-gov.discourse-social-media-regulation-workstream
gov.legislate--ai-legislation-regulations,No change,"A four-country comparative study found [no artificial-intelligence-specific legislation in force or in draft](2026-08-10-grain-west-africa-ai-governance-comparative-study), and the strategy stack and a planned ethics committee carry the field instead.","The study searched in August 2026 and found no artificial-intelligence-specific instrument on record; it rates a neighbour's strategy the most advanced of the four on inclusion and data governance ([study](2026-08-10-grain-west-africa-ai-governance-comparative-study)).

What the country holds instead is a 2023 strategy, an instruction for a development plan, a planned ethics committee and a non-binding regional guideline set — four policy artefacts and no binding rule.",SEN-tech.ai-dedicated-ai-legislation
gov.legislate--legislation-covering-digital-id,No change,"A [bill on computerising civil-status management](2025-08-01-anec-senegal-digitalisation-etat-civil-aliou-sall) remains listed among outstanding steps, validated but not enacted, and the register-reconstitution decree is likewise unsigned.","The bill appears among outstanding steps in the agency's own August 2025 presentation and again in the June 2026 programme closing report ([bill](2025-08-01-anec-senegal-digitalisation-etat-civil-aliou-sall), [closure](2026-06-29-aps-nekkal-avancees-modernisation-etat-civil)).

Validated is not enacted. The digitisation programme it would govern has meanwhile closed its external financing, deployed software across most centres and loaded millions of records, so the legal basis trails the system by a wide margin.",SEN-dpi.registry-bill-computerising-civil-status
gov.protect--data-protection-authority,Advanced,"The protection authority signed a [cooperation convention with its Benin counterpart](2026-04-17-benin-senegal-apdp-cdp-convention) in April 2026, and no workplan, budget or first joint action has been reported since.","The convention was signed at the counterpart's headquarters ([convention](2026-04-17-benin-senegal-apdp-cdp-convention)).

No workplan, budget or joint action has followed it. The authority operates under a law that has stood unamended since 2008 and did not move through the identity-directorate breach, so its cross-border cooperation is running ahead of its own domestic instrument.",SEN-gov.protect-cooperation-convention-with-benin
gov.protect--national-data-protection-readiness,Advanced,"A [national online child-protection action plan](2026-07-24-lesoleil-plan-national-protection-enfants-en-ligne) was put in place on nine axes, and the plan itself is unpublished.","The telecommunications ministry put the plan in place on nine axes, the named mechanisms being a focal-point network, a rapid reporting system, digital education in schools and campaigns in national languages ([plan](2026-07-24-lesoleil-plan-national-protection-enfants-en-ligne)).

The plan is unpublished, so the axes are known only through the description of them. It is the only protective instrument in this unit that reached implementation during the window, against a data-protection law still under revision.",SEN-gov.policy-online-child-protection-action
