recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
XGL,2025,,Gates Foundation,Digital Identity and CRVS,Grant,5,commitment,rounded,Active,Identification for Development: Scaling Digital Public Infrastructure,"To support inclusive digital transformation by enabling countries to build secure, interoperable digital public infrastructure that expands access to essential services and economic opportunities for underserved populations.",NGO/CS,,,INV-089265,DAC-1601-INV-089265,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-089265,gates-foundation,2025-01-01-gates-reg-057-identification-for-development-scaling-digital-public
XGL,2025,,Gates Foundation,Digital Payments and Fintech,Grant,2,commitment,rounded,Active,Aligning Financial Inclusion Policy Goals with Effective AML/ CFT,to establish a AML/ CFT mutual evaluation culture that appropriately and systematically considers financial inclusion.,NGO/CS,,,INV-087072,DAC-1601-INV-087072,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-087072,gates-foundation,2025-01-01-gates-reg-146-aligning-financial-inclusion-policy-goals-with
XGL,2025,,Gates Foundation,Digital Payments and Fintech,Grant,2,commitment,rounded,Active,G2Px: Third Phase (Supplement),"to develop guidance, share knowledge, and support implementation of a cross-sectoral approach to digitize G2P that can accelerate financial inclusion, and women’s empowerment, enable government-wide fiscal savings and build resilience.",NGO/CS,,,INV-093307,DAC-1601-INV-093307,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-093307,gates-foundation,2025-01-01-gates-reg-156-g2px-third-phase-supplement
XGL,2025,,Gates Foundation,Access to services,Grant,1,commitment,rounded,Active,Digital Public Infrastructure (DPI) - Donor Collaboration Forum,To establish a digital public infrastructure (DPI) donor collaboration platform to build donors’ understanding of how they can most effectively support low- and middle-income country (LMIC) efforts to build save and inclusive DPI.,NGO/CS,,,INV-073727,DAC-1601-INV-073727,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-073727,gates-foundation,2025-01-01-gates-reg-197-digital-public-infrastructure-dpi---donor
XGL,2024,2028,Global Affairs Canada,Open data,Standard grant,0,commitment,stated,Implementation,International Aid Transparency Initiative - institutional support 2024 to 2028,"This grant is Canada's institutional support to the International Aid Transparency Initiative (IATI). IATI uses members’ contributions to achieve its mandate, making information on international aid spending easier to access, use, and understand. It seeks to ensure donor countries, developing country governments and non-governmental organizations publish more timely, comprehensive, and forward-looking information on international development assistance in a common, open data standard. IATI Secretariat responsibilities include: (1) maintaining the IATI Registry, website and tools; (2) facilitating technical discussions related to the IATI standard, data publication and use; (3) assessing progress on open aid data; and (4) providing technical support to publishers and users of the data.",,,"CAD 665,000 (commitment)",2026200618,CA-3-P013834002,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=CA-3-P013834002,global-affairs-canada,2024-03-22-iati-ca-3-p013834002-iati-institutional-support-2024-2028
XGL,2024,2029,European Union,Cybersecurity,Grant,9,commitment,rounded,Active,Multilateralism and Digitalisation II,"This action will strengthen global action with regards to regulatory convergence and digital sovereignty, in an open manner, more specifically through cyber capacity-building activities, including on the challenges of a secure and resilient connectivity, as well as the responsible use of Artificial Intelligence (AI) and enhancing digital capacities and strengthening digital citizenship particularl",Government,,"EUR 8,097,657",2024604807,XI-IATI-EC_INTPA-2021-ACT-62451,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-ACT-62451,european-union,2024-01-01-ec-glo-003-multilateralism-and-digitalisation-ii
XGL,2024,2029,European Union,Innovation ecosystem,Grant,10,commitment,rounded,Active,Universal Social Protection 2030 (USP 2030),"Universal Social Protection 2030 (USP2030), as called for by the ILO Social Protection Floors Recommendation, 2012 (No. 202), aligned with digital transformation, is fundamental to achieving the Agenda for Sustainable Development in all its dimensions. This Action will contribute to the establishment of globally recognised digital standards for social protection systems, to increase the efficiency",Government,,"EUR 9,000,000",2024604591,XI-IATI-EC_INTPA-2024-ACT-61053,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-ACT-61053,european-union,2024-01-01-ec-glo-008-universal-social-protection-2030-usp-2030
XGL,2024,2029,European Union,Cybersecurity,Grant,2,commitment,rounded,Active,Cyber capacity building- EU support to the Tallinn Summer School of Cyber Diplomacy 2024,"Contract related to: Cyber capacity building- EU support to the Tallinn Summer School of Cyber Diplomacy 2024 - This action will strengthen global action with regards to regulatory convergence and digital sovereignty, in an open manner, more specifically through cyber capacity-building activities, including on the challenges of a secure and resilient connectivity, as well as the responsible use of",Government,,"EUR 2,097,657",,XI-IATI-EC_INTPA-2024-PC-37624,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-PC-37624,european-union,2024-01-01-ec-glo-012-cyber-capacity-building--eu-support-to
XGL,2024,2027,European Union,Innovation ecosystem,Grant,8,commitment,rounded,Active,USP2030-Digital Convergence Initiative-MPCA,"Multi-Partner Contribution Agreement with GIZ (lead), ILO, EF and FIIAPP -USP2030-Digital Convergence Initiative-MPCA",Government,,"EUR 7,500,000",,XI-IATI-EC_INTPA-2024-PC-36046,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-PC-36046,european-union,2024-01-01-ec-glo-019-usp2030-digital-convergence-initiative-mpca
XGL,2024,2027,European Union,Innovation ecosystem,Grant,2,commitment,rounded,Active,USP2030-WB Administration Agreement,"Contract related to: USP2030-WB Administration Agreement - Universal Social Protection 2030 (USP2030), as called for by the ILO Social Protection Floors Recommendation, 2012 (No. 202), aligned with digital transformation, is fundamental to achieving the Agenda for Sustainable Development in all its dimensions. This Action will contribute to the establishment of globally recognised digital standard",Government,,"EUR 1,500,000",,XI-IATI-EC_INTPA-2024-PC-36135,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-PC-36135,european-union,2024-01-01-ec-glo-029-usp2030-wb-administration-agreement
