origin,unit,subject_slug,subject,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,,,,,,253,76,1257,287,,,,
non-state,US$m,tech.industry,ICT Industry,,,,,300,10,,,182,2,,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,,,,,,350,,,,,
non-state,US$m,capacity.training,Training and skills,,,,,,,182,,,15,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,33,7,,,1,9,35,,,,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,,,,60,2,,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,0,,1,5,,2,,4,1,42,,,,
non-state,US$m,data.satellite,Use of satellite data,,,,,30,,,,,,,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,,,,,,,,19,,,
non-state,US$m,include.access,Access to services,,,,,,,,,6,,,,,
non-state,US$m,tech.ai,AI,,,,,,,,,,,6,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,,,,,,,1,,,,
non-state,US$m,digital.rural,Rural digital data capture,,,,,,,,,,,,0,,
domestic-state,US$m (IMF annual avg),tech.ai,AI,,,,,,,,,,10,9,45,,
domestic-state,US$m (IMF annual avg),dpi.registry,"Registries (population, land, address, etc.). **At country level, registry material files under `--dpi-id`, not a separate `--dpi-registry` intersection** *(ruled 2026-08-10, token review task 7, housekeeping job 37)*: in practice registry and identity development has always been reported together, so no `{place}--dpi-registry` page is minted — a country's registry facts live in its `--dpi-id` page and `dpi.registry` itself stays a thematic page with `## By place` as index-plus-links, same as any other concept page's over-bar cells (`reference.md` §8).",,,,,,,,,,5,5,7,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,,,,,4,4,,
domestic-state,US$m (IMF annual avg),gov.policy,"Strategies, plans and policies",,,,,,,,,,,3,5,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,,,,5,3,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,,,,,3,1,,
domestic-state,US$m (IMF annual avg),dpi.exchange,Data Exchange,,,,,,,,,,,0,,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,,,10,
excluded,,scope,partial- or unclear-scope,,,,,,,,,,,,,9,135
