recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
AGO,2025,,Cybastion,Cybersecurity,MoU,170,commitment,reported,Unknown,"Cybastion — Angola Telecom digital-sovereignty investment, 2025","""U.S.-based technology firm Cybastion has announced a landmark $170 million investment in partnership with Angola's incumbent telecommunications operator, Angola Telecom E.P., aimed at strengthening the country's digital infrastructure and cybersecurity capacity."" The partnership forms part of Cybastion's ""Digital Fast Track"" initiative.

""As part of the initial implementation, $25 million will be allocated to establish a national cybersecurity agency and launch cybersecurity training programs in collaboration with the Cisco Networking Academy. The investment will also support critical digital infrastructure, including the deployment of undersea cables between Luanda and the port city of Lobito."" The deal builds on a memorandum of understanding signed in March 2025 at Mobile World Congress in Barcelona.",Unknown,Angola Telecom E.P.,,,,https://techafricanews.com/2025/06/25/cybastion-and-angola-telecom-announce-170m-investment-to-boost-angolas-digital-sovereignty/,cybastion,2025-01-01-cybastion-angola-telecom-2025-cybastion-angola-telecom-170m-sovereignty-bw04
AGO,2025,,JICA,Connectivity,Unknown,10,commitment,reported,Unknown,"JICA — Angola DTT broadcasting network development, 2025","""The Japanese government is investing approximately $10 million in Angola's digital terrestrial television (DTT) project, enabling the Southern African country to transition from analogue television broadcasting while modernising terrestrial transmission infrastructure and equipment in key locations."" The Japanese ambassador and the Ministry of Foreign Affairs' International Cooperation Directorate ""signed an agreement earlier this week to launch the DTT Broadcasting Network Development Project."" ""The Japan International Cooperation Agency will undertake the project in collaboration with the Angolan Ministry of Telecommunications, Information Technology, and Mass Communications.""",Public Sector,"Angolan Ministry of Telecommunications, Information Technology and Mass Communications",,,,https://itweb.africa/article/angola-gets-10m-from-japan-for-dtt-project/KBpdgvpmlj17LEew,jica,2025-01-01-jica-ago-2025-angola-dtt-broadcasting-bw05
AGO,2025,,Société Générale,Use of satellite data,MoU,243,commitment,reported,Approved,"Société Générale — Angola Earth Observation Satellite System financing, 2025","""The agreements, signed with French financial institution Société Générale, allocate €35,268,507 and €189,988,694—totaling €225,257,201—for the design, manufacturing, and launch of an Earth Observation Satellite System. This ambitious project, carried out in partnership with European aerospace leader AIRBUS, includes the construction, launch, and in-orbit installation of the satellite."" Signed during the Angola-France Economic Forum concluding the President's state visit.",Unknown,Republic of Angola,"EUR 225,257,201 (€35,268,507 + €189,988,694); reported ~US$259m at 2026 conversion",,,https://www.telecomreviewafrica.com/articles/general-news/4701-angola-and-france-secure-225-million-for-satellite-and-infrastructure-projects/,societe-generale,2025-01-01-societe-generale-ago-2025-angola-earth-observation-satellite-bw02
AGO,2024,2030,World Bank,Connectivity,Commercial Loan,300,commitment,exact,Active,Angola Digital Acceleration Project,"Accelerates Angola's digital economy by improving broadband infrastructure, expanding digital financial services, and developing digital skills. First major WB digital operation in Angola.",Public Sector,Ministry of Finance,,P180693,44000-P180693,https://projects.worldbank.org/en/projects-operations/project-detail/P180693,world-bank,2024-06-27-wb-ago-001-angola-digital-acceleration-project
AGO,2023,,Export-Import Bank of China (China Eximbank),Connectivity,Concessional Loan,249,commitment,rounded,Active,National Broadband Infrastructure Upgrading Project (RNBL),"CHEXIM concessional loan (~$249M) for Angola's National Broadband Network project (Rede Nacional de Banda Larga, RNBL). Framework agreement signed January 11, 2023; specific loan agreement signed October 2023 (RMB 1,736,207,810). Covers installation of 2,000 km of terrestrial fiber optic cable, a submarine fiber line connecting Cabinda province, and modernization of core telecommunications infrastructure. Implemented by Sinohydro Corporation Ltd. Expected to extend broadband to remote areas and reduce access costs.",Public Sector,Government of Angola / Ministry of Finance,"CNY 1,736,207,810.54",AO.144,,https://www.bu.edu/gdp/files/2024/08/GCI-PB-23-CLA-2024-FIN.pdf,china-eximbank,2023-01-01-eximbank-cn-ago-003-national-broadband-infrastructure-upgrading-project-rnbl
AGO,2023,,World Bank,Registries,Unknown,250,commitment,reported,Active,"World Bank — Angola Projecto Njila (civil registration & local governance), 2023","""O projecto, com um financiamento de 250 milhões de dólares do Banco Mundial (BM), é coordenado pelo Ministério da Administração do Território."" ""A iniciativa, lançada em 2023, está a ser implementada em oito províncias do país... num total de 53 municípios."" Component III ""visa a expansão do registo de nascimento e emissão do Bilhete de Identidade, da responsabilidade do Ministério da Justiça e dos Direitos Humanos""; by 2025, eleven birth-registration posts were rehabilitated in Bié and thirteen more were nearing completion in Huambo, and mass birth-registration/ID campaigns reached thousands of citizens.",Public Sector,Angola,,,,https://angop.ao/noticias/sociedade/njila-reabilita-postos-de-registos-de-nascimento-no-bie-e-huambo/,world-bank,2023-01-01-world-bank-ago-2023-projecto-njila-registration-bw10
AGO,2022,2027,World Bank,Strategies plans and policies,Commercial Loan,60,commitment,exact,Active,Angola Strengthening Statistical Capacity,"Improves Angola's statistical capacity, efficiency in data production, and use of data for public program monitoring. Supports national statistical system modernization, data collection methodology development, statistical dissemination systems, and capacity building for the National Statistics Institute (INE). Covers household surveys, administrative data systems, and statistical data platforms.",Public Sector,Republic of Angola,,P178043,44000-P178043,https://projects.worldbank.org/en/projects-operations/project-detail/P178043,world-bank,2022-03-25-wb-ago-002-angola-strengthening-statistical-capacity
AGO,2021,,Export-Import Bank of China (China Eximbank),ICT Industry,Commercial Loan,80,commitment,exact,Approved,China Eximbank provides $79.7 million loan for Phase 2 of the Public Security Project,"On December 17, 2021, China Eximbank and the Government of Angola signed a $79.7 million loan agreement for Phase 2 of the Public Security Project. The purpose of this project is to install a network of surveillance (CCTV) cameras in Luanda and various provincial centers and establish various Public Security Integrated Centers to monitor the information that is collected through the surveillance network.    China National Electronics Import and Export Corporation (CEIEC) and Huawei Technologies Co., Ltd. are the contractors responsible for project implementation.",Public Sector,Government of Angola,,aiddata-gcdf3-92519,,https://www.rns-pdf.londonstockexchange.com/rns/8185G_1-2022-3-31.pdf,china-eximbank,2021-01-01-eximbank-cn-ago-002-china-eximbank-provides-797-million-loan
AGO,2017,,Ceiec,Digital Identity and CRVS,Line of Credit,243,commitment,reported,Approved,"CEIEC — Angola civil & criminal identification platform, 2017","A presidential *despacho* signed by José Eduardo dos Santos selected CEIEC for a contract of ""fornecimento de bens, instalações e suporte técnico, no valor de 243 milhões de dólares (228 milhões de euros)"" to implement the *Plataforma de Gestão Integrada da Identificação Civil e Criminal*, covering birth/death registration, ID-card issuance and the criminal register. The *despacho*, dated January, authorised the Ministry of Finance to frame the contract within ""uma linha de crédito comercial a negociar junto de uma instituição financeira da China.""",Public Sector,Ministério da Justiça e dos Direitos Humanos,,,,https://novojornal.co.ao/sociedade/detalhe/chineses-apoiam-angola-na-emissao-de-bi-e-registo-de-nascimento-11757.html,ceiec,2017-01-01-ceiec-ago-2017-angola-civil-criminal-id-platform-bw01
AGO,2016,2018,JBIC,Connectivity,Buyer's Credit,66,commitment,rounded,Closed,Export Credit Line for Banco de Desenvolvimento de Angola (SACS Submarine Cable System),"JBIC buyer's credit to Banco de Desenvolvimento de Angola (BDA) to finance Angola Cables S.A. in constructing the South Atlantic Cable System (SACS), a 6,200 km optical submarine cable directly connecting Angola and Brazil. Manufactured and laid by NEC Corporation. First undersea fibre optic cable linking Africa and South America. Cable planned to link onward to a US-bound submarine cable landing in Brazil, connecting Angola to North America via South America. Loan provided under JBIC FAITH (Facility for African Investment and Trade Enhancement). Co-financed with SMBC; NEXI insured the SMBC portion.",Public Sector,Banco de Desenvolvimento de Angola (BDA) / Angola Cables S.A.,,,,https://www.jbic.go.jp/en/information/press/press-2015/0331-47541.html,jbic,2016-01-01-jbic-ago-sacs-submarine-cable-2016-export-credit-line-for-banco-de
