recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
ZAF,2026,,Quona Capital,Digital Payments and Fintech,Equity,8,commitment,reported,Closed,"Quona Capital — Jem Series A, 2026","Verbatim from the source:

> South African HR technology company Jem has raised $8.4 million in a Series A funding round led by global fintech investor Quona Capital, as it expands its workforce management platform for frontline workers.
>
> The Cape Town-based company says the funding will support the development of additional products and features, including time and attendance, rostering, onboarding, employee assistance programmes and credit scores.
>
> The Series A round also included University Tech Fund, E4E and angel investors, including former Old Mutual CEO Iain Williamson.",Private Sector,Jem,US$8.4 million,,,https://www.itweb.co.za/article/jem-raises-84m-to-expand-ai-powered-platform/DZQ58MV8mZjvzXy2,quona-capital,2026-08-18-quona-capital-jem-2026-jem-series-a-workforce-platform
ZAF,2026,,UK FCDO,AI,Grant,,,exact (ceiling as published),Pipeline,"UK FCDO -- Science and Technology Accelerator-Systems (STA-S), Southern Africa","""STA-S: Southern Africa is a 3-year programme worth up to GBP2.5 million, running to March 2030 and starting in the financial year 2026/2027, with up to GBP400,000 allocated for the year ending March 2027... The programme will focus on AI and emerging technologies, digital access and inclusion, climate and energy, health, space, and the wider policy, regulatory and institutional conditions... with a primary focus on South Africa and an initial focus on Zimbabwe and Zambia in Year 1."" Contract signature is expected in 2026 following the EOI process (deadline extended to 26 August 2026).",Multi-stakeholder,"unspecified -- open call, not-for-profit-led consortium (South Africa primary; Zimbabwe, Zambia Year 1)","GBP up to 2,500,000 over 3 years (to March 2030); GBP up to 400,000 for FY2026/27",(not stated),,https://www.gov.uk/international-development-funding/science-and-technology-accelerator-systems-sta-s-southern-africa-programme,uk-fcdo,2026-08-11-uk-fcdo-xsa-2026-sta-s
ZAF,2026,2031,United Nations Development Programme (UNDP),Digital Payments and Fintech,Grant,1,commitment,stated,Approved,Scaling up DIME,"Scaling Up DIME strengthens digital and financial infrastructure for township MSMEs in South Africa, with a focus on youth- and women-led enterprises. The project improves enterprise visibility, digital onboarding, finance readiness, alternative credit assessment, and access to inclusive market and financing pathways. By scaling DIME as a township enterprise digital and data backbone, the project supports more resilient, finance-ready, and digitally enabled township economies.",Private Sector,unspecified,"US$1,000,000",,XM-DAC-41114-OUTPUT-01006034,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-01006034,undp,2026-07-31-iati-xm-dac-41114-output-01006034-scaling-up-dime-south-africa
ZAF,2026,,Pepkor,Digital Payments and Fintech,Equity,87,commitment,reported,Pipeline,"Pepkor — Shop2Shop/Flash merger into FintechCo, 2026","""Retail giant Pepkor has merged Flash, its wholly-owned fintech subsidiary, with Shop2Shop to create merchant commerce and fintech platform FintechCo, with annual throughput exceeding R200 billion."" ""Pepkor will acquire a controlling 57.1% interest in FintechCo through a combination of a R1.57 billion cash subscription for new shares in Shop2Shop and the contribution of its entire 100% shareholding in Flash, which has been valued at R10.6 billion."" ""The proposed transaction is subject to various conditions precedent, which include, but are not limited to, receiving all necessary regulatory and competition authority approvals."" Pepkor states an ambition ""to build a leading digital bank with a nationwide distribution footprint"" and plans ""a planned future listing of FintechCo"".",Private Sector,Shop2Shop / FintechCo,"ZAR 1,570,000,000 cash subscription; Flash shareholding contributed in kind, valued at ZAR 10,600,000,000; implied total equity valuation ~ZAR 21,300,000,000 (a valuation, not a commitment)",,,https://www.itweb.co.za/article/pepkor-creates-r213bn-fintech-platform/rxP3jqBEnbJMA2ye,pepkor,2026-07-22-pepkor-shop2shop-2026-fintechco-merger
ZAF,2026,,AlphaCode Venture Partners,Digital Payments and Fintech,Equity,22,commitment,reported,Closed,"AlphaCode Venture Partners — Moment, 2026","""South African fintech startup Moment has raised US$22 million in funding to develop one of the continent's most advanced payment infrastructure businesses, offering a comprehensive suite of payment collection and revenue retention solutions to corporate and enterprise merchants."" ""Its Series A funding round was led by AlphaCode Venture Partners, with continued investment from General Catalyst, MultiChoice, and fresh investment from Canal+. The company will use the additional funding from this Series A round to deepen its network, enhance its platform and accelerate expansion across Africa.""",Private Sector,Moment,"US$22,000,000",,,https://disruptafrica.com/2026/08/07/sa-fintech-startup-moment-raises-22m-funding-round/,alphacode-venture-partners,2026-01-01-alphacode-venture-partners-moment-2026
ZAF,2026,,Equinix,Data Storage,Self Funded,438,commitment,reported,Active,"Equinix — South Africa data centre expansion, 2026","""Global data centre operator Equinix Inc. is expanding in South Africa with a planned $438 million investment, as it seeks to tap into growing demand for artificial intelligence and cloud services across Africa."" ""The company... said it will build additional facilities in Johannesburg and Cape Town."" ""Sandile Dube, Equinix's managing director for South Africa, said the company has secured about 327,000 square metres of land for future development. The expansion is expected to add roughly 160 megawatts of data centre capacity."" ""All investments are funded by our own balance sheet."" Per the companion report, Equinix ""has bought more land in that city and also in Cape Town, totalling R890 million.""",Unknown,,"ZAR 7,500,000,000",,,https://africa.businessinsider.com/local/markets/us-data-centre-firm-equinix-is-investing-dollar438-million-in-south-africa/j390t94,equinix,2026-01-01-equinix-zaf-2026-south-africa-data-centre-expansion-bw10
ZAF,2026,,Google (Alphabet),Training and skills,Grant,0,commitment,reported,Unknown,"Google — WeThinkCode Soweto digital innovation centre, 2026","""To ensure the next generation is equipped to lead in the AI era, Google's Economic and Community Development programme and WeThinkCode has committed to build a R3 million digital innovation centre at the George Tabor Campus of South West Gauteng TVET College in Soweto. Once complete, the centre will serve as a scalable skills platform built to reach talent the industry usually overlooks.""",NGO,WeThinkCode,"ZAR 3,000,000 (approx. US$183,468, 2026)",,,https://www.googlecloudpresscorner.com/2026-07-01-Google-Cloud-Summit-in-Africa-Highlights-the-Continents-Digital-Transformation-and-Unveils-New-Agentic-AI-and-Infrastructure-Investments,google,2026-01-01-google-wethinkcode-2026-soweto-innovation-centre-bw14
ZAF,2026,,Microsoft,Data Storage,Equity,329,commitment,exact,Approved,Microsoft South Africa \u2014 $329M Data Centre and AI Expansion 2026,"Microsoft announced a $329 million investment in South Africa in April 2026 to expand data centres, boost infrastructure resilience, and develop AI skills. Covers land acquisition for future data centre expansion, power and water readiness improvements, and capacity increases at existing Johannesburg and Cape Town facilities. Described as building on an earlier $1.2 billion total commitment to South Africa.",Private Sector,Microsoft Azure South Africa,,,,https://africa.businessinsider.com/local/markets/microsoft-picks-south-africa-for-dollar329-million-expansion-in-cloud-infrastructure/34f0ktg,microsoft,2026-01-01-microsoft-zaf-azure-expansion-2026-microsoft-south-africa-329m-data-centre
ZAF,2026,2028,MTN Group,Connectivity,Self Funded,1300,commitment,reported,Pipeline,"MTN — South Africa ICT infrastructure investment, 2026","""Telecommunications operator MTN has pledged to invest 21.8 billion South African rand (US$1.3 billion) over the next three years to expand ICT infrastructure and advance the digital economy in South Africa."" ""The announcement was made at the annual South Africa Investment Conference in Sandton, Johannesburg, this week."" ""By the end of 2028, it expects to invest a total of almost R22 billion ($1.3 billion) in the country."" MTN SA spent R6.8 billion ($404 million) on its network in 2025.",Unknown,,"ZAR 21,800,000,000",,,https://www.connectingafrica.com/investment/mtn-to-invest-1-3b-in-south-africa,mtn-group,2026-01-01-mtn-group-zaf-2026-south-africa-ict-investment-bw10
ZAF,2026,,Oakvale Invest,AI,Equity,0,commitment,reported,Closed,"Oakvale Invest — Tennsa, 2026","""South African startup Tennsa, an AI business intelligence platform built for SMEs, has become the first portfolio company of Oakvale Invest, Africa's first AI-focused pre-seed fund."" ""The startup has now become the first investment of Oakvale Invest, which has invested more than ZAR1 million (US$61,000) in the company.""",Private Sector,Tennsa,"ZAR1,000,000+",,,https://disruptafrica.com/2026/08/07/sas-tennsa-raises-funding-from-ai-focused-pre-seed-firm-oakvale-invest/,oakvale-invest,2026-01-01-oakvale-invest-tennsa-2026
