title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
"IGAD Moves to Forge Regional AI Framework to Drive Integration, Development",Fana Media Corporation S.C.,,2026-09-04,day,XEA,tech.ai; gov.regional,igad,2026-09-04,https://www.fanamc.com/english/igad-moves-to-forge-regional-ai-framework-to-drive-integration-development/,
EAC Calls for Public Participation in Shaping Better Regional Statistics,East African Community,,2026-09-03,day,XEA,data.statistics; gov.regional,eac,2026-09-04,https://www.eac.int/press-releases/3590-eac-calls-for-public-participation-in-shaping-better-regional-statistics,
ADEA pushes for measurable learning outcomes at the second EAC Regional Education Conference,Association for the Development of Education in Africa (ADEA),,2026-09-03,day,XEA,data.statistics; gov.regional,adea; eac,2026-09-04,https://adeanet.org/en/news/adea-pushes-measurable-learning-outcomes-second-eac-regional-education-conference,
"Preliminary Communique - The 2nd East African Community (EAC) Regional Education Conference, 2026",East African Community,,2026-08-28,day,XEA,dpi.mis; gov.regional; tech.ai,eac; continental-education-strategy-for-africa,2026-09-01,"https://www.eac.int/press-releases/138-education,-science-technology-news/3586-preliminary-communiqu%C3%A9-the-2nd-east-african-community-eac-regional-education-conference,-2026",
Consultancy for the Development of COMESA Digital Information Knowledge & Collaboration Platform,COMESA,,2026-08-27,day,XEA; XSA,dpi.govtech; gov.regional,comesa,2026-08-28,https://www.comesa.int/consultancy-for-the-development-of-comesa-digital-information-knowledge-collaboration-platform/,
East African Universities Push for Responsible AI Integration in Education,Frontier Online,,2026-08-26,day,XEA,tech.ai; gov.regional; capacity.training,eac; inter-university-council-for-east-africa; unesco; giz,2026-09-01,https://frontieronline.co.ke/east-african-universities-push-for-responsible-ai-integration-in-education/,
EAC Inaugurates Three Technical Working Groups to Drive Implementation of Regional Cross-Border Payment System Masterplan,East African Community Secretariat,,2026-08-24,day,XEA,dpi.pay; gov.regional,eac; eac-cross-border-payment-masterplan; bank-of-uganda; national-bank-of-rwanda; world-bank,2026-08-28,https://www.eac.int/press-releases/145-financial-sector/3582-eac-inaugurates-three-technical-working-groups-to-drive-implementation-of-regional-cross-border-payment-system-masterplan,
EAC Ministers Approve Phased Recruitment to Strengthen Community Institutions,East African Community,,2026-08-24,day,XEA,gov.regional; dpi.govtech,eac,2026-08-28,https://www.eac.int/press-releases/3583-eac-ministers-approve-phased-recruitment-to-strengthen-community-institutions,
East African States Open Bank Account to Fund Joint Communications Satellite Study,ChimpReports,,2026-08-24,day,UGA; KEN; RWA; SSD; XEA,infra.connect; gov.regional; data.satellite,northern-corridor-integration-projects; standard-chartered-uganda; ministry-of-foreign-affairs-uganda,2026-08-25,https://chimpreports.com/east-african-states-open-bank-account-to-fund-joint-communications-satellite-study/,
Tribute To Rosemary Koech-Kimwatu,KICTANet,,2026-08-22,day,KEN; XEA,gov.discourse; gov.protect,kictanet; kcb-bank-kenya,2026-08-23,https://www.kictanet.or.ke/tribute-to-rosemary-koech-kimwatu/,
IGAD Advances Cross-Border Trade Knowledge-Sharing through Regional Consultation,IGAD,,2026-08-21,day,XEA,gov.regional; data.statistics; dpi.exchange,igad; world-bank,2026-08-23,https://igad.int/igad-advances-cross-border-trade-knowledge-sharing-through-regional-consultation/,
AI in Education: From Commitments to Impact - East Africa AI in Education Pre-Conference Workshop,GIZ Tanzania and EAC,,2026-08-21,day,XEA,tech.ai; capacity.training; gov.regional,giz; unesco; eac,2026-08-26,https://www.linkedin.com/posts/giz-tanzaniaandeac_tvet-eac-aiineducation-activity-7496551482218045440-RKVa,
"Uganda adopts phased electronic invoicing rollout, contrasting Kenya's simultaneous approach",Horn Economic Review,,2026-08-19,day,XEA; UGA; KEN; TZA,dpi.govtech; gov.regional; dpi.pay,ura-uganda; kenya-revenue-authority; tanzania-revenue-authority,2026-08-23,https://horneconomicreview.com/2026/08/19/uganda-adopts-phased-electronic-invoicing-rollout-contrasting-kenyas-simultaneous-approach/,
"Entrepreneurship and Innovation Development Project for Building Resilience and Reducing Fragility — regional (Sudan, South Sudan, Djibouti)","African Development Bank Group (Transition Support Mechanism), with IGAD",,2026-08-19,day,XEA,tech.innovate; finance.new,african-development-bank; igad,2026-09-07,https://sudanhorizon.com/sudanafdb-and-igad-support-eentrepreneurship-and-startups/,
Paratus Rwanda rings in AfPIF 2026,Paratus Africa,,2026-08-18,day,RWA; XEA; XCA,infra.connect; gov.regional,paratus; afpif; starlink,2026-08-19,https://paratus.africa/blog/paratus-rwanda-rings-in-afpif-2026/,
The cost of currency convertibility deadlock in East Africa,The EastAfrican,,2026-08-18,day,XEA,dpi.pay; gov.regional,eac; bank-of-tanzania; eaps,2026-08-23,https://www.theeastafrican.co.ke/tea/business-tech/the-cost-of-currency-convertibility-deadlock-in-east-africa-5562354,
BMZ -- EAC AI Alliance regional AI research and training network,The Guardian (Tanzania) / IPP Media,,2026-08-13,day,XEA,tech.ai; capacity.training; finance.new,bmz; eac,2026-08-17,https://www.ippmedia.co.tz/the-guardian/news/local-news/read/eac-obtains-eur5m-for-ai-network-training-youths-2026-08-13-103440,
"EAC obtains €5m for AI network, training youths",The Guardian (Tanzania) / IPP Media,,2026-08-13,day,XEA,tech.ai; capacity.training; finance.new,bmz; eac,2026-08-17,https://www.ippmedia.co.tz/the-guardian/news/local-news/read/eac-obtains-eur5m-for-ai-network-training-youths-2026-08-13-103440,
African Peering & Interconnection Forum (AfPIF) Convenes Amid Push For Inland Connectivity,Taarifa Rwanda,,2026-08-13,day,RWA; XEA; XCA,infra.connect; gov.regional,african-ixp-association; ricta; afpif,2026-08-19,https://taarifa.rw/2026/08/13/african-peering-interconnection-forum-afpif-convenes-amid-push-for-inland-connectivity/,
EAC and Germany Launch 2nd Artificial Intelligence Innovation Challenge to Equip East African for the Digital Economy,East African Community,,2026-08-12,day,XEA,capacity.training; tech.ai; finance.new,bmz; eac,2026-08-17,https://www.eac.int/eadrip-news-updates/eardip-press-releases/3578-eac-and-germany-launch-2nd-artificial-intelligence-innovation-challenge-to-equip-east-african-for-the-digital-economy,
7000019659 - EU-EAC DEEP - E-Commerce Business Development Consultancy,GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit),,2026-08-07,month,XEA,gov.protect; gov.regional; finance.new,bmz; eac; european-union,2026-08-17,https://www.giz.de/en/7000019659-eu-eac-deep-e-commerce-business-development-consultancy,
IGAD Convenes Capacity-Building Programme to Strengthen Regional Statistical Systems Through SDMX,Intergovernmental Authority on Development (IGAD),,2026-08-06,day,XEA; DJI,gov.standards; dpi.exchange; data.statistics; gov.regional,igad; african-development-bank,2026-08-08,https://igad.int/igad-convenes-capacity-building-programme-to-strengthen-regional-statistical-systems-through-sdmx/,
Consultations Held to Shape Regional Artificial Intelligence & Digital Inclusion Strategies in COMESA,COMESA,,2026-08-06,day,XEA; XSA; RWA,gov.regional; tech.ai; include.divides,comesa; world-bank; idea-mpa,2026-08-08,https://www.comesa.int/consultations-held-to-shape-regional-artificial-intelligence-digital-inclusion-strategies-in-comesa/,
"Consulting, digitale öffentliche Infrastrukturprojekte (Ostafrika)","Germany Trade & Invest (GTAI), contracting authority GIZ",,2026-08-05,day,TZA; UGA; KEN; XEA,dpi.govtech; dpi.exchange; dpi.pay,bmz,2026-08-17,https://www.gtai.de/de/trade/tansania/ausschreibungen-projekte/consulting-digitale-oeffentliche-infrastrukturprojekte-ostafrika--2018684,
Rwanda highlights AI policy progress as COMESA seeks regional framework - Rwanda inspirer,Rwanda inspirer,,2026-08-04,day,XEA; XSA; RWA,gov.regional; gov.policy; tech.ai,comesa; idea-mpa,2026-08-08,https://rwandainspirer.com/rwanda-highlights-ai-policy-progress-as-comesa-seeks-regional-framework/,
EACO Regional Communications Sector Statistics Report 2026 (Data Period: 2024–2025),East African Communications Organisation (EACO),,2026-08-03,day,XEA; KEN; TZA; UGA; RWA; BDI; SSD; COD,data.statistics; infra.connect; dpi.pay; gov.standards; gov.regional,eaco; itu; gsma,2026-08-09,https://admin.eaco.int/assets/e774142a-21fd-48e2-bdfd-3309d7d559d7?download=EACO%20Regional%20Communications%20Sector%20Statistics%20Report%202025.pdf,
East-Africa's “AI Industry” Has a Hidden Dependency - KT PRESS,KT Press,James Kaliisa,2026-08-01,day,XEA; RWA,tech.ai; infra.store; infra.capacity; gov.discourse,teraco,2026-08-04,https://www.ktpress.rw/2026/08/east-africas-ai-industry-has-a-hidden-dependency/,
10016823 - Technical Assistance for Digital Public Infrastructure Projects in the East African Community,"SERVICE.BUND.DE (German federal procurement portal), for Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH",,2026-07-31,day,XEA; UGA; KEN,dpi.govtech; gov.regional; infra.capacity,giz; bmz; eac; european-commission; expertise-france; estdev,2026-08-05,https://www.service.bund.de/IMPORTE/Ausschreibungen/vmp-giz/2026/08/51947.html,
Vision Behind East Africa's Quest for Unified Digital Market,Sputnik Africa,,2026-07-31,day,XEA; RWA,gov.regional; gov.discourse; gov.policy,eac; east-africa-business-and-investment-advisory-council,2026-08-01,https://en.sputniknews.africa/20260731/vision-behind-east-africas-quest-for-unified-digital-market-1087967630.html,
EAC Secretariat convenes technical working session to harmonise SDMX Data Structure Definitions for CPI and Merchandise Trade Statistics,"Eastern Africa Regional Statistics Program for Results (EARSPforR), EAC Secretariat (LinkedIn)",,2026-07-31,day,XEA,data.statistics; gov.standards; dpi.exchange; data.open; gov.regional,eac; african-development-bank; knbs; uganda-bureau-of-statistics,2026-08-09,https://www.linkedin.com/posts/eastern-africa-regional-statistics-program-for-results-project_secretariat-earspforr-sdmx-activity-7488890687266922496-BByD,
East African central bankers push single-currency launch to 2031,The Observer (Uganda),,2026-07-31,day,XEA; UGA,gov.regional; tech.ai; dpi.pay; infra.cybersec; gov.policy,eac; bank-of-uganda; eac-cross-border-payment-masterplan,2026-08-01,https://observer.ug/business/east-african-central-bankers-push-single-currency-launch-to-2031/,
COMESA convenes 3rd IDEA Project Steering Committee meeting to accelerate digital integration in Eastern and Southern Africa,COMESA,,2026-07-30,day,XEA; XSA; ZMB,gov.regional; dpi.exchange,comesa; world-bank; idea-mpa,2026-07-31,https://www.comesa.int/press-release-comesa-convenes-3rd-idea-project-steering-committee-meeting-to-accelerate-digital-integration-in-eastern-and-southern-africa/,
East African Artificial Intelligence Policy Outlook Report,CIPIT - Strathmore University,,2026-07-30,day,KEN; RWA; TZA; UGA; XEA,tech.ai; gov.policy; gov.legislate; gov.protect; gov.regional,cipit; strathmore-university; eac; african-union,2026-07-30,https://cipit.strathmore.edu/east-african-artificial-intelligence-policy-outlook-report/,
Govt tasks African countries on digital transformation agenda,Zambia Monitor,,2026-07-29,day,ZMB; XEA; XSA,gov.regional; gov.discourse; gov.policy,ministry-of-technology-and-science-zambia; comesa,2026-07-31,https://www.zambiamonitor.com/govt-tasks-african-countries-on-digital-transformation-agenda/,
Forum recomenda harmonizacao das politicas,Angop - Agencia Angola Press,,2026-07-29,day,AGO; XEA; XSA,gov.regional; dpi.exchange; gov.standards; gov.policy,comesa; ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; ima-angola; world-bank,2026-07-31,https://angop.ao/noticias/politica/forum-recomenda-harmonizacao-das-politicas/,
East African Community (EAC) Monetary Affairs Committee reaffirms commitment to East African Monetary Union and regional financial integration,East African Community (EAC) Secretariat,,2026-07-27,day,XEA; TZA,gov.regional; dpi.pay; infra.cybersec; gov.policy,eac; eac-cross-border-payment-masterplan; bank-of-uganda; eardip,2026-08-01,https://www.eac.int/press-releases/145-financial-sector/3572-eac-monetary-affairs-committee-reaffirms-commitment-to-east-african-monetary-union-and-regional-financial-integration,
COMESA launches inaugural IDEA Annual Digital Forum to advance inclusive cross-border digital transformation in Africa,COMESA,,2026-07-27,day,XEA; XSA; ZMB,gov.regional; dpi.exchange; infra.connect,comesa; world-bank; idea-mpa; ministry-of-technology-and-science-zambia,2026-07-31,https://www.comesa.int/comesa-launches-inaugural-idea-annual-digital-forum-to-drive-inclusive-cross-border-digital-transformation-in-africa/,
EAC accelere son systeme regional de paiement,RTNB - Radio Television Nationale du Burundi,,2026-07-27,day,XEA,dpi.pay; gov.regional; infra.cybersec; gov.standards,east-african-community; east-african-monetary-union; eardip,2026-07-31,https://www.rtnb.bi/?mypost?id=529,
Angola participa no forum regional sobre transformacao digital,Angop - Agencia Angola Press,,2026-07-27,day,AGO; XEA; XSA,gov.regional; dpi.exchange; gov.policy; dpi.id,ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; comesa; world-bank; ima-angola,2026-07-31,https://angop.ao/noticias/politica/angola-participa-no-forum-regional-sobre-transformacao-digital/,
The Last Colony,KT Press,James Kaliisa,2026-07-24,day,RWA; XEA,gov.discourse; tech.ai; infra.store,,2026-07-31,https://www.ktpress.rw/2026/07/the-last-colony/,
East African Community pushes for a single digital market,CGTN,,2026-07-24,day,XEA,gov.regional; dpi.exchange; gov.protect,eac,2026-08-01,https://newsaf.cgtn.com/news/2026-07-25/East-African-Community-pushes-for-a-single-digital-market-1P2UgLoWEPS/p.html,
"Communiqué: 29th Ordinary Meeting of the East African Community Monetary Affairs Committee, 24th July 2026",East African Community — Monetary Affairs Committee,,2026-07-24,day,XEA,dpi.pay; gov.regional; infra.cybersec; gov.policy,eac; eac-cross-border-payment-masterplan; bank-of-uganda,2026-08-01,https://www.eac.int/documents?controller=download&task=download.file&file=84a90aa8-df68-461c-9541-d0e124507d2f&name=29th%20EAC%20MAC%20Communique.pdf.pdf,
Strengthening data governance in East Africa: Regional workshop concludes in Nairobi,UNESCO,,2026-07-21,day,DJI; XEA,gov.regional; gov.policy,unesco; eac; igad; smart-africa,2026-09-01,https://www.unesco.org/en/articles/strengthening-data-governance-east-africa-regional-workshop-concludes-nairobi,
South Sudan's $50 e-visa fee threatens East African labour mobility,TechCabal,,2026-07-20,day,SSD; KEN; UGA; RWA; COD; XEA,dpi.govtech; gov.regional; gov.policy,eac; equity-group-holdings,2026-07-20,https://techcabal.com/2026/07/20/south-sudan-slaps-visa-kenya-rwanda-uganda/,
SCRYPT expands stablecoin settlement network across four East African markets (incl. Uganda),TechAfrica News,,2026-07-16,day,UGA; XEA,dpi.pay,scrypt,2026-07-19,https://techafricanews.com/2026/07/16/scrypt-expands-stablecoin-settlement-network-across-four-east-african-markets/,
"Djibouti Seeks ITU, Smart Africa Support for Telecoms and AI Development",We Are Tech Africa,Samira Njoya,2026-07-13,day,DJI; XEA,tech.ai; gov.policy; infra.connect; gov.regional; gov.standards,itu; smart-africa; eardip; vision-djibouti-2035,2026-07-14,https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-seeks-itu-smart-africa-support-for-telecoms-and-ai-development,
Le ministre Helem achève sa mission à Genève sur une série de rencontres avec les leaders du numérique,Agence Djiboutienne d'Information (ADI),,2026-07-10,day,DJI; XEA,gov.regional; gov.policy; tech.ai; infra.connect; geopol.china; include.divides,itu; smart-africa; eardip; djibouti-digital-foundation-dfn,2026-07-18,https://www.adi.dj/article/138749,
New Rwanda-Tanzania Payment Pilot could transform trade across East Africa,Burundi Times,Burundi Times,2026-07-10,day,RWA; TZA; XEA,dpi.pay; gov.regional; dpi.exchange,eac; eac-cross-border-payment-masterplan; tips-tanzania; rswitch-rwanda; world-bank; giz,2026-07-12,https://www.burunditimes.com/new-rwanda-tanzania-payment-pilot-could-transform-trade-across-east-africa/,
