title,publisher,author,published,date_precision,places,topics,entities,ingested,url
وزارة التربية تنظم دورة تكوينية لتعزيز قدرات المفتشين الرقمية,Le Quotidien de Nouakchott,,2026-09-08,day,MRT,capacity.training; dpi.govtech,ministry-of-education-mauritania,2026-09-10,https://lequotidien.mr/?p=40495
بنكيلي.. التطبيق الذي صنع الدفع الرقمي في موريتانيا,Le Quotidien de Nouakchott,,2026-09-08,day,MRT,dpi.pay; gov.discourse,banque-populaire-de-mauritanie,2026-09-10,https://lequotidien.mr/?p=40492
تنظيم ورشة تكوينية حول نظام الإنذار المبكر الزراعي والهيدرولوجي القائم على تقنيات الذكاء الاصطناعي,Agence Mauritanienne d'Information (AMI),,2026-09-08,day,MRT,tech.ai; capacity.training; digital.rural,office-national-meteorologie-mauritanie; undp,2026-09-10,https://www.ami.mr/archives/267828
Stratégie Nationale de Paiement Numérique (SNPN),Banque Centrale de Mauritanie,,2026-09-06,day,MRT,dpi.pay; gov.policy,bcm-mauritanie,2026-09-06,https://fintech.bcm.mr/fr/ressources/SNPN/
Le ministre des Finances recoit une mission d'assistance technique du FMI,Agence Mauritanienne d'Information (AMI),,2026-09-03,day,MRT,gov.standards; dpi.exchange,imf; afritac-ouest; ministry-of-finance-mauritania,2026-09-04,https://ami.mr/fr/archives/301765
Appel aux proprietaires fonciers ruraux de Nouakchott pour inscrire leurs dossiers,Agence Mauritanienne d'Information (AMI),,2026-09-02,day,MRT,dpi.registry; gov.policy,leegoud,2026-09-04,https://ami.mr/fr/archives/301729
Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026
Mauritanie : le numérique comme instrument de dépossession silencieuse du foncier - Kassataya Mauritanie,Kassataya Mauritanie,,2026-08-28,day,MRT,gov.discourse; dpi.registry; include.divides,government-of-mauritania,2026-09-01,https://kassataya.com/mauritanie-le-numerique-comme-instrument-de-depossession-silencieuse-du-foncier/
Le porte-parole du gouvernement salue l'élection du Mauritanien Ismail Ould Cheikh Ahmed à la tête de l'Organisation de la Coopération Islamique,Agence Mauritanienne d'Information (AMI),,2026-08-27,day,MRT,gov.legislate; dpi.registry,ministere-domaines-mauritanie; ministere-justice-mauritanie; government-of-mauritania,2026-09-06,https://ami.mr/fr/archives/301506
وزير الثقافة: انتخاب مرشح موريتانيا أمينا عاما لمنظمة التعاون الإسلامي نصر دبلوماسي باهر - الوكالة الموريتانية للأنباء,Agence Mauritanienne d'Information (AMI),,2026-08-27,day,MRT,dpi.registry; gov.legislate,government-of-mauritania; ministere-justice-mauritanie; ministere-affaires-foncieres-mauritanie,2026-08-29,https://www.ami.mr/archives/267317
نواذيبو.. افتتاح النسخة الأولى من المدرسة الصيفية لنماذج اللغات - الوكالة الموريتانية للأنباء,Agence Mauritanienne d'Information (AMI),,2026-08-25,day,MRT,tech.ai; capacity.training,universite-de-nouakchott; giz,2026-08-29,https://www.ami.mr/archives/267189
Transport par applications : un délai de 15 jours pour se conformer à la réglementation,Le Quotidien de Nouakchott,,2026-08-24,day,MRT,gov.policy; tech.industry,autorite-regulation-transports-routiers-mauritanie,2026-08-25,https://lequotidien.mr/?p=40128&lang=fr
موريتانيا والهند تبحثان تعزيز التعاون في التحول الرقمي,Taqadoumy,,2026-08-21,day,MRT; XGL,finance.mou; geopol.india,mtnima-mauritania,2026-08-23,https://ar.taqadoumy.mr/archives/82975
وزير التجهيز يتفقد مصالح النقل البري ويعلن عن رقمنة رخص السياقة ولوحات ترقيم السيارات قبل نهاية السنة,Agence Mauritanienne d'Information,,2026-08-21,day,MRT,dpi.registry; dpi.govtech,ministere-equipement-transports-mauritanie,2026-08-23,https://www.ami.mr/archives/266980
Concours de recrutement de 390 agents : les épreuves débutent à Nouakchott dans un cadre numérisé,Le Quotidien de Nouakchott,,2026-08-19,day,MRT,dpi.govtech,commission-nationale-concours-mauritania; ministry-digital-transformation-mauritania; khadematy,2026-08-21,https://lequotidien.mr/?p=40000&lang=fr
انطلاق مسابقة اكتتاب 390 موظفا.. والمترشحون يشيدون بشفافية ونزاهة الامتحانات,Agence Mauritanienne d'Information,,2026-08-18,day,MRT,dpi.govtech; gov.policy,mtnima-mauritania; commission-nationale-concours-mauritania; khidmaty-platform-mauritania,2026-08-23,https://www.ami.mr/archives/266841
La Mauritanie examine la regularisation de la situation de la communaute palestinienne dans le registre de l'etat civil,Sahara Medias,,2026-08-17,day,MRT,dpi.registry; include.access,anrpts-mauritania,2026-08-23,https://fr.saharamedias.net/la-mauritanie-examine-la-regularisation-de-la-situation-de-la-communaute-palestinienne-dans-le-registre-de-letat-civil/
Rapport de l'Inspection Generale d'Etat : que nous disent vraiment les chiffres sur notre gestion publique ?,La Depeche de Mauritanie et du Sahel,,2026-08-17,day,MRT,gov.discourse; dpi.govtech,inspection-generale-detat-mauritania,2026-08-23,https://ladepeche.mr/?p=23767
Le ministre délégué auprès du ministre de l'Intérieur s'entretient avec une délégation allemande au sujet de la numérisation de la gestion administrative,Agence Mauritanienne d'Information (AMI),,2026-08-13,day,MRT,dpi.exchange; gov.policy,giz,2026-08-18,https://ami.mr/fr/archives/300915
Réunion préparatoire au recrutement de 3.852 agents pour renforcer les ressources humaines du secteur de l'éducation,Agence Mauritanienne d'Information (AMI),,2026-08-12,day,MRT,gov.policy; dpi.govtech,ministry-digital-transformation-mauritania; commission-nationale-concours-mauritania,2026-08-18,https://ami.mr/fr/archives/300856
نائب رئيس البنك الدولي يتفقد مركز البيانات الوطني بنواكشوط (World Bank VP tours Mauritania's National Data Centre),Al Wiam National News Agency,,2026-08-11,day,MRT,infra.store; dpi.govtech,world-bank,2026-08-16,https://alwiam.info/ar/51206
« Houwiyeti » de nouveau opérationnelle… de la maintenance périodique à la question de la souveraineté numérique,Tech Rek,,2026-08-11,day,MRT,gov.discourse; include.access,anrpts-mauritania; houwiyeti; banque-centrale-de-mauritanie,2026-08-18,https://techrek.info/fr/houwiyeti-de-nouveau-operationnelle-de-la-maintenance-periodique-a-la-question-de-la-souverainete-numerique/
بإشراف وزير التحول الرقمي.. «شنقيتل» تطلق شبكة الجيل الخامس في موريتانيا (Chinguitel launches 5G network in Mauritania),Ghabess,,2026-08-11,day,MRT,infra.connect,chinguitel,2026-08-16,https://ghabess.net/23385
"شركة \""شنقيتل\"" تطلق شبكة الجيل الخامس \""5G\"" لأول مرة في موريتانيا",Le Quotidien de Nouakchott,,2026-08-10,day,MRT,infra.connect; tech.industry,chinguitel; sudatel,2026-08-11,https://lequotidien.mr/?p=39791
UNDP pushes blockchain from DPI pilots to deployment,Biometric Update,,2026-08-06,day,GMB; MWI; MRT,dpi.pay; dpi.id,undp,2026-08-11,https://www.biometricupdate.com/202608/undp-pushes-blockchain-from-dpi-pilots-to-deployment
Conseil des ministres : présentation d’une communication sur l’évolution des indicateurs de pauvreté et des conditions de vie des ménages entre 2019 et 2025,Agence Mauritanienne d'Information (AMI),,2026-08-05,day,MRT,data.statistics,ansade-mauritania; ministry-of-economic-affairs-mauritania,2026-09-06,https://ami.mr/fr/archives/300424
"إطلاق رقمنة خدمات الشركة الموريتانية للماء وربطها ببوابة \""خدماتي\""",الوكالة الموريتانية للأنباء (AMI),,2026-08-04,day,MRT,gov.policy; dpi.govtech,mtnima-mauritania; khidmaty-platform-mauritania; snde-mauritania; giz,2026-09-06,https://www.ami.mr/archives/265871
Lancement de la numérisation des services de la SNDE et de leur intégration au portail « Mes Services »,Agence Mauritanienne d'Information (AMI),,2026-08-04,day,MRT,dpi.govtech; include.access,mtnima-mauritania; snde-mauritania,2026-08-04,https://ami.mr/fr/archives/300346
5G in North Africa Shows Mixed Results One Year On,Ookla,,2026-08-03,day,DZA; EGY; MAR; TUN; LBY; MRT; XNA,infra.connect; gov.legislate,ookla; instance-nationale-des-telecommunications-tunisia; anrt-morocco; ntra-egypt; almadar-aljadid; chinguitel,2026-08-04,https://www.ookla.com/articles/5g-north-africa-2026
أطار: ورشة لعرض النتائج النهائية للتعداد العام الخامس للسكان والمساكن,Agence Mauritanienne d'Information (AMI),,2026-08-03,day,MRT,data.statistics,national-agency-for-statistics-and-demographic-and-economic-analysis-mauritania,2026-08-11,https://www.ami.mr/archives/265803
Inspection Generale d'Etat - Rapport annuel d'activites 2024-2025,Inspection Generale d'Etat (Republique Islamique de Mauritanie),,2026-08,month,MRT,gov.policy; dpi.govtech; data.open,inspection-generale-detat-mauritania,2026-08-23,http://ige.mr/sites/default/files/2026-08/IGE%20-%20Rapport%20annuel%20d%27activite%CC%81%202024%20-2025_0.pdf
"Oman, Mauritania sign 5 MoUs to boost digital economy cooperation",GCC Business News,,2026-07-31,day,MRT,finance.mou; geopol.gulf; tech.industry; capacity.training,mtnima-mauritania; oman-ministry-of-transport-communications-and-it,2026-08-08,https://www.gccbusinessnews.com/oman-mauritania-5-mous-digital-economy/
Accès universel: le gouvernement centralise les ressources du FAUS au Trésor public,Emergence (Mauritanie),,2026-07-31,day,MRT,include.divides,fonds-acces-universel-services-mauritanie; ministry-of-finance-mauritania; government-of-mauritania,2026-09-06,https://emergence.mr/2026/07/31/acces-universel-le-gouvernement-centralise-les-ressources-du-faus-au-tresor-public/
الجمعية الوطنية تجيز مشاريع قوانين لتمويل برامج تنموية في موريتانيا,الوكالة الموريتانية للأنباء (Agence mauritanienne d'information),,2026-07-31,day,MRT,infra.energy; finance.mou,islamic-development-bank; opec-fund-for-international-development; government-of-mauritania; assemblee-nationale-mauritanie; ministry-of-economic-affairs-mauritania,2026-09-06,https://www.ami.mr/archives/265522
توقيع 5 مذكرات تفاهم بين مؤسسات وشركات عُمانية وموريتانية,"وزارة الخارجية، سلطنة عُمان (Ministry of Foreign Affairs, Sultanate of Oman)",,2026-07-30,day,MRT,finance.mou,ministry-of-digital-transformation-mauritania; oman-ministry-of-transport-communications-and-it,2026-09-06,https://www.fm.gov.om/ar/52161/
افتتاح ورشة عمل حول النظام الجبائي للهيئات العمومية,Agence Mauritanienne d'Information (AMI),,2026-07-30,day,MRT,dpi.exchange; dpi.govtech; gov.standards,ministry-of-finance-mauritania; dgi-mauritania,2026-07-31,https://www.ami.mr/archives/265398
الميتا تريند: لماذا لا تكفي قراءة الترند لفهم ما يحدث؟ / أحمد بداه,Le Quotidien de Nouakchott,أحمد بداه,2026-07-30,day,MRT,gov.discourse,,2026-08-04,https://lequotidien.mr/?p=39473
اختتام المنتدى الموريتاني–العُماني للرقمنة بتوقيع اتفاقية شراكة ومذكرات تفاهم,Le Quotidien de Nouakchott,,2026-07-30,day,MRT,dpi.govtech; gov.policy; geopol.gulf; finance.mou,ministry-of-digital-transformation-mauritania; oman-ministry-of-transport-communications-and-it,2026-07-30,https://lequotidien.mr/?p=39490
انطلاق منتدى الأعمال الموريتاني – العماني للرقمنة,Agence Mauritanienne d'Information (AMI),,2026-07-30,day,MRT,gov.policy; dpi.govtech; geopol.gulf,ministry-of-digital-transformation-mauritania; oman-ministry-of-transport-communications-and-it; union-nationale-du-patronat-mauritanien,2026-07-30,https://www.ami.mr/archives/265445
Ouverture d’un atelier de travail sur le système fiscal des entités publiques,Agence Mauritanienne d'Information (AMI),,2026-07-30,day,MRT,dpi.pay,dgi-mauritania; ministry-of-finance-mauritania,2026-09-06,https://ami.mr/fr/archives/300004
"Le ministere mauritanien des Affaires etrangeres lance deux plateformes numeriques pour la prestation de services consulaires en Arabie saoudite, a Bahrein et aux Maldives",Sahara Medias,,2026-07-29,day,MRT,dpi.govtech; dpi.registry; include.access,ministry-of-foreign-affairs-mauritania,2026-07-31,https://fr.saharamedias.net/le-ministere-mauritanien-des-affaires-etrangeres-lance-deux-plateformes-numeriques-pour-la-prestation-de-services-consulaires-en-arabie-saoudite-a-bahrein-et-aux-maldives/
Mauritania Pushes Ahead With Blockchain to Modernize Public Services,Ecofin Agency,,2026-07-29,day,MRT,gov.policy; dpi.govtech; capacity.training,ministry-of-digital-transformation-mauritania; undp,2026-08-05,https://www.ecofinagency.com/news-digital/2907-57833-mauritania-pushes-ahead-with-blockchain-to-modernize-public-services
La Mauritanie dévoile son premier Indice national d’autonomisation des jeunes,Le Quotidien de Nouakchott,,2026-07-29,day,MRT,data.statistics; gov.policy,ministry-of-youth-empowerment-employment-mauritania,2026-07-30,https://lequotidien.mr/?p=39456&lang=fr
