row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
NGA-infra.energy-power-sequencing,NGA,infra.energy,Infrastructure,Power sequencing plan for the data-localisation deadline,"A CBN, NITDA or Ministry of Power statement sequencing grid and data-centre capacity milestones against the 2027-01-01 localisation deadline.",2026-08-04,"absence stands, dated — operators assert readiness for the deadline, and no government instrument sequences grid milestones against it"
NGA-infra.cybersec-breach-visibility,NGA,infra.cybersec,Infrastructure,Public breach disclosure regime,"An NDPC or NCC rule requiring breach notifications to be published, or an annual register of notified breaches naming the controllers involved.",2026-08-04,"absence stands, dated — 72-hour notification to the Commission is required and no published register of notified breaches exists"
NGA-dpi.id-interop-framework,NGA,dpi.exchange,Digital public infrastructure,Published interoperability framework under the NIMC Act 2026,"A gazetted regulation or published framework stating the lawful basis, consent mechanism, retention rule and audit arrangements for inter-agency sharing of identity data — or the gazetted text of the Act itself.",2026-08-04,acquisition line — the gazetted NIMC Act 2026; the Commission says implementing regulations will issue in due course
NGA-dpi.pay-cloud-qualification,NGA,gov.standards,Digital public infrastructure,Whether foreign cloud local zones satisfy the localisation directive,"A CBN clarification, FAQ or supervisory letter stating whether a hyperscaler's in-country availability zone meets the storage-and-management requirement of circular PSS/DIR/PUB/CIR/001/004.",2026-08-04,"absence stands, dated — named in the compliance analysis as the open question the circular does not answer"
NGA-gov.standards-federal-budget,NGA,finance.budget,Governance and regulation,Consolidated federal budget allocation to digital transformation,"A Budget Office appropriation extract or Ministry of Communications, Innovation and Digital Economy annual report carrying total digital and ICT spend across votes.",2026-08-04,"acquisition line — the 2026 Appropriation Bill, which carries the digital-economy ministry allocation"
NGA-tech.ai-n-raigf,NGA,tech.ai,Artificial intelligence and the technology sector,Proposed responsible-AI governance framework for public bodies,"The instrument, terms of reference or ministerial statement establishing the proposed responsible-AI governance framework for public institutions.",2026-08-14,open
NGA-gov.regional-malabo-convention-ratification,NGA,gov.regional,Governance and regulation,Malabo Convention ratification position,"An instrument of signature, ratification or accession to the African Union Convention on Cyber Security and Personal Data Protection, or an official statement of the government's position on it.",2026-08-14,"absence stands, dated - a peer-reviewed review of four countries' health-data governance records only Rwanda as a signatory"
NGA-tech.ai-automated-hiring-rules,NGA,tech.ai,Technology,Rules governing automated decisions in hiring,"a statute, labour-code provision, data-protection guidance note or regulator determination naming automated or algorithmic decisions in recruitment would settle it; probed 2026-09-08, a four-country comparative legal review finds none in the constitution, the labour code or the data-protection act",2026-09-08,absence
NGA-gov.protect-digital-complaints-framework,NGA,gov.protect,Governance,Coordinated framework for digital-ecosystem complaints,"A published framework, terms of reference or memorandum naming a lead body and a referral route for digital-ecosystem complaints, or a commission statement that one has been adopted.",2026-12-16,"absence stands, dated - the human rights commission itself states the gap and calls for a framework; nothing held names one"
NGA-finance.sustain-outturn,NGA,finance.sustain,Finance,Outturn against the digital appropriations,"A Budget Office implementation report or audited federal accounts giving actual spending against the 2024-2026 appropriations of the identity commission, the communications ministry and the other digital lines.",2026-09-25,absence
NGA-finance.sustain-transport-databank-terms,NGA,finance.sustain,Finance,Payment terms of the Smart National Transport Databank concession,"The ICRC concession summary or full business case stating how Asia-Arab Investment Nigeria Limited is paid (user charges, availability payments or revenue share) and what the state owes over the 20 years.",2026-09-25,acquisition
NGA-geopol.sovereignty-galaxy-huawei-terms,NGA,geopol.sovereignty,Geopolitics,Terms of Galaxy Backbone's technical partnership with Huawei,"A published agreement or disclosure stating the data jurisdiction, portability, exit and audit terms of Galaxy Backbone's partnership with Huawei.",2026-09-25,absence
NGA-geopol.sovereignty-id-hosting,NGA,geopol.sovereignty,Geopolitics,Where the national identity database is hosted,"A NIMC, NITDA or World Bank ID4D document stating where the identity database and NIMS 2.0 are hosted, who holds the keys and administrative access, and under whose jurisdiction.",2026-09-25,acquisition
