fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024/25,line,Construction of a Disaster Recovery Site,G627,infra.store,whole,external-loan,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,22528000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 43, project G627, source 63 row, column Estimates for 2024/25 Total, PDF p. 246",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 63, 'Various Financiers': the note calls it loan money and names no lender. The project's local-funds source is the domestic row. The project's source rows sum to its printed total."
2024,2024/25,line,Construction of a Disaster Recovery Site,G627,infra.store,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,3600000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 43, project G627, source 70 row, column Estimates for 2024/25 Total, PDF p. 246",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; the note puts it on consultancy and capacity building for the recovery facility. The project's source rows sum to its printed total."
2024,2024/25,line,Setting up a 5G Government Network,G650,infra.connect,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,36000000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 43, project G650, source 70 row, column Estimates for 2024/25 Total, PDF p. 246",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; the note funds buying and installing a 5G government network. No local funds on the project. The project's source rows sum to its printed total."
2024,2024/25,line,Establishment of a Digital Law Library at the Attorney General's Office,G651,dpi.mis,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,1440000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 46, project G651, source 70 row, column Estimates for 2024/25 Total, PDF p. 251",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; an electronic library system with its equipment and network cabinet. The project's source rows sum to its printed total."
2024,2024/25,line,Deeds Registration and Information Management,X511,dpi.registry,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,1170000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 10, project X511, source 70 row, column Estimates for 2024/25 Total, PDF p. 226",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; completes the deeds registration and information management system. The project's source rows sum to its printed total."
2024,2024/25,line,Construction of Computer Laboratories in Rural Primary and Secondary Schools,E466,capacity.literacy,partial,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,10800000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 30, project E466, source 70 row, column Estimates for 2024/25 Total, PDF p. 239",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; design and construction of school computer laboratories, which is building work for a digital-learning purpose. The project's source rows sum to its printed total."
2024,2024/25,line,Purchase of computers and accessories,E465,capacity.literacy,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,9000000,,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 30, project E465, source 70 row, column Estimates for 2024/25 Total, PDF p. 240",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,"Tabled estimate: the Appropriation Bill 2024's head capital totals include other-source money, and the Act is not held. Source code 70, Taiwan; computers and accessories for school computer laboratories. The project's source rows sum to its printed total."
2025,2025/26,line,Social Registry Development,S354,dpi.registry,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,10000000,,"Estimates 1 April 2025 to 31 March 2028, Part IV capital estimates, Head 06, project S354, source 68 row, column Estimates for 2025/26 Total, PDF p. 203",2025-02-14-swz-estimates-2025-26-2027-28-companion,2026-09-24,"Tabled estimate; no Act is held for the year. Source code 68, World Bank grant; information system and data collection for the social registry. The local funds are the domestic row. The project's source rows sum to its printed total."
2025,2025/26,line,Survey of Households with Poor Housing Conditions,G664,data.statistics,partial,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,2700000,,"Estimates 1 April 2025 to 31 March 2028, Part IV capital estimates, Head 23, project G664, source 70 row, column Estimates for 2025/26 Total, PDF p. 214",2025-02-14-swz-estimates-2025-26-2027-28-companion,2026-09-24,"Tabled estimate; no Act is held for the year. Source code 70, Taiwan; supports the statistics office's survey of households in poor housing, a fieldwork line. The project's source rows sum to its printed total."
2025,2025/26,line,Eswatini Business Digitalisation and Enhancement Project,M369,tech.industry,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,7200000,,"Estimates 1 April 2025 to 31 March 2028, Part IV capital estimates, Head 29, project M369, source 70 row, column Estimates for 2025/26 Total, PDF p. 217",2025-02-14-swz-estimates-2025-26-2027-28-companion,2026-09-24,"Tabled estimate; no Act is held for the year. Source code 70, Taiwan; adds payments and logistics to the Buy Eswatini business platform and builds its app. The project's source rows sum to its printed total."
2025,2025/26,line,Construction of Computer Laboratories in Rural Primary and Secondary Schools,E466,capacity.literacy,partial,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,10800000,,"Estimates 1 April 2025 to 31 March 2028, Part IV capital estimates, Head 30, project E466, source 70 row, column Estimates for 2025/26 Total, PDF p. 218",2025-02-14-swz-estimates-2025-26-2027-28-companion,2026-09-24,"Tabled estimate; no Act is held for the year. Source code 70, Taiwan; design and construction of computer laboratories in six schools. The project's source rows sum to its printed total."
2025,2025/26,line,Purchase of computers and accessories,E465,capacity.literacy,whole,external-grant,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",,9000000,,"Estimates 1 April 2025 to 31 March 2028, Part IV capital estimates, Head 30, project E465, source 70 row, column Estimates for 2025/26 Total, PDF p. 219",2025-02-14-swz-estimates-2025-26-2027-28-companion,2026-09-24,"Tabled estimate; no Act is held for the year. Source code 70, Taiwan; computers and accessories for school computer laboratories. The project's source rows sum to its printed total."
