row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
TCD-gov.policy-budget-framing-instrument-for-2027,TCD,gov.policy,Governance,instrument,Budget-framing instrument for 2027,Not held,,,,,,,,,
TCD-gov.policy-cesce-digital-transition-recommendations,TCD,gov.policy,Governance,instrument,Economic and social council recommendations on the digital transition,Implemented,2026-08-19,"Adopted at the close of the second ordinary session, 2026-08-19",,Advanced,Did not exist,"Recommendations adopted after a plenary session running 5 to 19 August on the public administration facing the digital transition, calling for an affirmed national digitalisation policy of wider scope, a durable national financing mechanism for the sector, adequate power supply, stronger public-agent skills and specialised digital training, and public-private partnerships",2026-08-19-digitalbusiness-africa-tchad-cesce-recommandations-numerique|2026-08-19-ndjamenaactu-tchad-cesce-transition-numerique|2026-08-19-alwihdainfo-tchad-cesce-recommandations-strategiques,,an advisory council's recommendations; nothing binds government to act and no response is on record
TCD-gov.policy-national-data-governance-strategy,TCD,gov.policy,Governance,instrument,National data governance strategy,In development,2026-05-13,"Support mission convened with the ministry, 2026-05-13",,Baseline not held,Did not exist,Under development with regional-commission and donor support; terms of reference issued by the ministry in April 2026,2026-05-13-uneca-giz-chad-national-data-governance-strategy-mission,,"what is held is the mission page and the ministry's terms of reference; no draft strategy, timetable or adoption date is published"
TCD-gov.policy-tchad-connexion-2030,TCD,gov.policy,Governance,instrument,Tchad Connexion 2030,Implemented,2026-03-16,"Launched with US$1.5bn of planned investment to 2030, developed with World Bank support and external analysis",,"Advanced, baseline not held",No record at the window's opening,"In force as the umbrella strategy, targeting at least 80 per cent national internet coverage and about 80 per cent mobile penetration by 2030; its regulatory components - reform of the regulator, privatisation of the state operator, a third operator and number portability - have no dated delivery on record",2025-07-18-techafricanews-tchad-connexion-2030-strategy-1-5b|2025-12-10 Chad Finalizes Digital Law to Align National Framework With Global Standards|2026-03-16 Chad uses national biometric registry to boost govt systems interoperability,,"No published implementation report, expenditure statement or monitoring framework is held, and the horizon is rendered by 2030 in one account and within six years in another"
TCD-gov.legislate-cemac-payments-regulation,TCD,gov.legislate,Governance,instrument,CEMAC payment systems regulation as Chad's operative payments law,Implemented,2026-09-02,"Regional regulation of 21 December 2016, directly applicable",2016-12-21,Baseline not held,,"Chad has no standalone national digital-payments statute. The operative law is the regional framework, directly applicable as a member state, and the central bank's own register names Reglement n. 03/CEMAC/UMAC/CM of 21 December 2016 on payment systems among the constitutive instruments in force. The national layer is contractual instead: the finance ministry pressed the four payment establishments for a framework convention in February 2026 and signed partnership conventions with them days later",2026-09-02-beac-registre-instructions-circulaires-reglements-paiement|2026-02-17-atpe-flux-financiers-etat-paiement-electronique|2026-02-18-tchadinfos-finances-convention-operateurs-mobile-money,,a country whose payments law is regional and whose payments practice is contractual has no national statute a citizen can be pointed to
TCD-gov.legislate-code-du-numerique,TCD,gov.legislate,Governance,instrument,Code du numerique,"In development, no adopted text",2026-04-29,A forty-five-day drafting deadline set 2026-04-27 expired about 2026-06-11 with no text on record,2025-12-09,Stalled,No record at the window's opening; the code's development is dated from December 2025,"No adopted text, number, promulgation date or gazette reference",2025-12-10 Chad Finalizes Digital Law to Align National Framework With Global Standards|2026-04-29-techafricanews-comite-cadre-juridique-numerique|2026-03-16-ecofin-ansice-cybersecurity-agency-reform,,
TCD-gov.legislate-committee-to-overhaul-the-digital,TCD,gov.legislate,Governance,instrument,"Committee to overhaul the digital, electronic communications and postal legal framework",Implemented,2026-04-29,Inaugurated with thirty-four members and a forty-five-day deadline,,"Advanced, then no output on record",Did not exist,"Inaugurated with a forty-five-day deadline, and no draft, report or text on record",2026-04-29-techafricanews-comite-cadre-juridique-numerique,,Mandated to build on prior regulator contributions
TCD-gov.legislate-cybercrime-law,TCD,gov.legislate,Governance,instrument,Cybercrime law,"Implemented, framework reformed 2026",2026-09-02,Loi 009/PR/2015; ANSICE reform promulgated 23 March 2026; cybercrime unit created 1 June 2026,2015-02-10,Advanced,A 2015 statute with no implementing body reformed since,"The regulator's own register of the laws it works under names Loi n. 009/PR/2015 on cybersecurity and the fight against cybercrime, alongside Loi n. 008/PR/2015 on electronic transactions and Loi n. 007/PR/2015 on the protection of personal data. Decret n. 148/PR/2026 of 23 March 2026 promulgated the law ratifying the January 2026 ordinance reforming the national agency for computer security and electronic certification, widening its remit to cybersecurity, personal data, electronic transactions, cybercrime, video surveillance, drones, social platforms and artificial-intelligence systems; the Senate had ratified it 58 votes to 3. Decret n. 2010/PR/2026 of 1 June 2026 then created a cybercrime unit inside the agency and appointed its coordinator and deputy",2026-09-02-arcep-tchad-registre-des-lois|2026-03-23-alwihda-promulgation-reforme-ansice|2026-06-01-alwihda-cellule-lutte-cybercriminalite-ansice|2026-03-14-atpe-reformes-adoptees-pour-renforcer-lansice,,"the register names the statutes without linking their texts, and no prosecution, caseload or enforcement figure under any of them is published"
TCD-gov.legislate-founding-instrument-of-the-telecommunications,TCD,gov.legislate,Governance,instrument,Founding instrument of the telecommunications regulator,Not held,,,,,,,,,
TCD-gov.legislate-loi-009-2015-cybersecurite,TCD,gov.legislate,Governance,instrument,Loi 009/PR/2015 on cybersecurity and Loi 008/PR/2015 on electronic transactions,Implemented,2026-09-02,Named in force by the regulator's own register of laws,2015-02-10,Baseline not held,,"The sector regulator's register of the laws it works under names Loi n. 009/PR/2015 on cybersecurity and the fight against cybercrime, Loi n. 008/PR/2015 on electronic transactions and Loi n. 007/PR/2015 on the protection of personal data as the operative statutes. The 2026 reform of the computer-security and electronic-certification agency was made against them, the government stating the 2015 frame had become insufficient",2026-09-02-arcep-tchad-registre-des-lois|2026-03-23-alwihda-promulgation-reforme-ansice,,"the register names the statutes and links none of their texts, so the base holds their existence and not their content"
TCD-gov.legislate-loi-026-2019-statistique,TCD,gov.legislate,Governance,instrument,Loi 026/PR/2019 organising statistical activity,Implemented,2026-09-02,Founding statute with four application decrees,2019,Baseline not held,,"The statute makes the statistics institute the central body of the national statistical system and gives it the status of a public administrative establishment with legal personality; four application decrees sit under it. It is also the instrument the microdata access policy is grounded in. Two instruments have been made under it in the window for the third census: a joint arrete of 6 May 2026 setting provincial, departmental and sub-prefectoral census commissions, and a decret of 20 July 2026 extending the main enumeration to 6 August 2026",2026-09-02-inseed-tchad-textes-reglementaires-loi-statistique|2026-05-07-tchadinfos-arrete-070-2026-organes-locaux-rgph3|2026-07-21-portail-td-decret-2087-prorogation-denombrement-rgph3|2026-09-02-inseed-anad-politique-dacces-microdonnees,,
TCD-gov.legislate-loi-n-013-pr-2014,TCD,gov.legislate,Governance,instrument,"Loi n 013/PR/2014 on electronic communications and postal regulation, as amended","Implemented, one article amended",2025-12-26,"The Senate ratified the amending ordinance on 2025-12-23 by 65 of 67, after the National Assembly on 2025-10-22 by 105 to 31 with 2 abstentions; the ordinance was signed 2025-08-05",2014-03-21,Advanced,In force unamended,"In force with article 18 amended; the amending ordinance's text is not held, so the article's current wording cannot be stated",2014-03-21-tchad-loi-013-pr-2014-regulation-communications-electroniques|2025-10-22-toumaiwebmedias-ratification-ordonnance-011-pr-2025-communications-electroniques|2025-12-26-afriqueitnews-parlement-cadre-juridique-communications,,"The 2014 law is held only as a degraded scan with a proxied date; the two accounts number the instruments differently, and the amendment's subject is described as licence award conditions while the held article sits under sanctions"
TCD-gov.legislate-ai-regime,TCD,gov.legislate,Governance,instrument,Statutory regime for artificial intelligence,Not held,2026-07-07,"Absence stated by UNESCO, June 2026",,Baseline not held,,"UNESCO's country profile, drawn from Chad's own readiness assessment, finds that Chad regulates cyberspace, that some provisions are obsolete and that at this stage no liability regime for artificial intelligence exists. Chad stated its adherence to the 2021 UNESCO recommendation at the first global dialogue on AI governance in Geneva in July 2026 and called for artificial intelligence that is ethical, frugal, balanced and sovereign; no national strategy is adopted. The March 2026 reform of the computer-security agency does name artificial-intelligence systems within its widened remit, which is the only statutory mention held",2026-07-07-atpe-gouvernance-ia-tchad-geneve|2026-06-05-unesco-tchad-profil-ia-ram|2026-07-06-tchadinfos-dialogue-mondial-gouvernance-intelligence-artificielle-geneve|2026-03-23-alwihda-promulgation-reforme-ansice,2026-09-06,"a dated, cited absence: the assessment names what is missing rather than the base failing to look"
TCD-gov.protect-general-data-protection-law-and,TCD,gov.protect,Governance,instrument,General data-protection law and supervisory authority,"Planned, none enacted and no authority - the function is assigned to the security agency",2026-03-16,"No enacted text, number or gazette reference, the function having been folded into the security agency on 2026-03-13",,"No change, administering agency now named but no law",None enacted and no authority; the base holds no Chadian data-protection statute at any date,"None enacted and no authority, with the security agency empowered to administer a regime that does not yet exist",2025-12-10 Chad Finalizes Digital Law to Align National Framework With Global Standards|2026-03-16-ecofin-ansice-cybersecurity-agency-reform,,An explicit dated vacuum on the intersection page rather than a provenance gap
TCD-gov.protect-law-on-biometric-data-in,TCD,gov.protect,Governance,instrument,Law on biometric data in judicial procedures,"In development, adopted with no promulgation or gazette on record",2026-04-11,Adopted by 138 votes to 1 at a plenary of the 2026 first ordinary session,,Advanced,Did not exist,"Adopted, its scope being the collection, processing, retention, use and destruction of biometric data exclusively within judicial and judicial-police procedures",2026-04-11-tchad-loi-donnees-biometriques-judiciaires,,"The gazetted text is not held, so retention periods, destruction procedure, oversight body and any requirement of judicial authorisation are unknown; deputies raised concerns in debate about inappropriate use"
TCD-gov.protect-ordonnance-n-001-pr-2026,TCD,gov.protect,Governance,instrument,Ordonnance n 001/PR/2026 reforming the security and electronic certification agency,"Implemented, gazetted text not held",2026-03-16,The Senate ratified after National Assembly approval,,Advanced,"A cybersecurity and electronic-certification agency, with no data-protection, artificial-intelligence, drone or video-surveillance remit on record","A mandate covering cybersecurity, personal-data protection, electronic-transaction security, cybercrime, protection of the national information space, video-surveillance systems, drones, social media, digital services and artificial-intelligence systems, plus a classification of entities of vital digital importance and expanded investigative and enforcement powers",2026-03-16-ecofin-ansice-cybersecurity-agency-reform,,"Data protection and artificial-intelligence governance sit inside the security agency, and there is no separate data-protection authority. The hub records a vote of 58 to 3 with no abstentions and an ordinance number, neither of which is in any held source"
TCD-gov.regional-azerbaijan-e-government-talks,TCD,gov.regional,Governance,instrument,Azerbaijan e-government cooperation talks,Planned,2026-08-27,"Delegation received in N’Djamena, 27 August 2026",2026-08-27,Advanced,Did not exist,"The telecommunications minister received an Azerbaijani delegation to explore e-government cooperation; nothing is agreed and no memorandum, scope or value is on file",2026-08-27-digitalbusiness-tchad-azerbaidjan-egov,,
TCD-gov.regional-cemac-financial-inclusion-strategy,TCD,gov.regional,Governance,instrument,CEMAC Regional Financial Inclusion Strategy 2025-2029,Implemented,2025-02-01,Validated by the monetary union's ministerial committee 21 December 2023,,Baseline not held,Baseline not held,"A 2025-2029 regional strategy adopted by the central bank for the six member states, validated by the monetary union's ministerial committee on 21 December 2023 and published in February 2025; the 83-page text is held in full",2025-02-01-beac-strategie-regionale-inclusion-financiere-cemac,,"the strategy is regional and the base holds no member-state implementation plan, target or outturn under it"
TCD-gov.regional-position-under-the-african-union,TCD,gov.regional,Governance,instrument,Position under the African Union Convention on Cyber Security and Personal Data Protection,"Planned, signed only",2026-02-02,"Signed 14 June 2015, with no ratification and no deposit on the depositary's status list of 2 February 2026",2015-06-14,No change,"Signed 2015-06-14, not ratified and not deposited","Signed 2015-06-14, not ratified and not deposited",2026-02-02-au-malabo-convention-status-list,,A country row because it is Chad's own act of accession; the Convention itself belongs to the regional ledger
