row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
GMB-gov.policy-cybersecurity-strategy,GMB,gov.policy,Governance,instrument,National Cybersecurity Strategy and Action Plan 2022-2026,Implemented,2022-09-01,"Revised edition published, superseding the Proposed Formulation and Action Plan of July 2016",2022-09-01,No change,"In force, on a period running to 2026 (2025-08)","Unchanged; no successor, mid-term review or implementation report is held, and the plan runs out at the end of 2026 (2026-08)",2022-09-01-gambia-national-cybersecurity-strategy-action-plan-2022-2026-revised,,"Four pillars: legal and regulatory strengthening, identification of critical information infrastructure, child online safety, and compliance with international cybersecurity standards and treaties. Its training and awareness uptake target was dated by 2023"
GMB-gov.policy-data-policy,GMB,gov.policy,Governance,instrument,National Data Policy 2025,In development,2025-01-01,Draft published by the communications ministry,2025-01-01,No change,"Draft, not adopted (2025-08)","Still a draft; no adoption, gazetting or implementation instrument is held (2026-08)",2025-01-01 National Data Policy 2025 - The Gambia (draft),,
GMB-gov.policy-masterplan,GMB,gov.policy,Governance,instrument,National Digital Economy Master Plan 2024-2034,Implemented,2024-01-01,Adopted for the period 2024 to 2034,2024-01-01,No change,In force as the framing instrument for the digital programme (2025-08),"Unchanged; no mid-term review, monitoring report or costed implementation plan is held (2026-08)",2024-01-01 Gambia National Digital Economy Master Plan 2024-2034,,
GMB-gov.policy-digital-id-strategy,GMB,gov.policy,Governance,instrument,National Digital Identity Strategy 2023-2028,Implemented,2024-05-17,"Validated at a UN Economic Commission for Africa-supported workshop, 17 May 2024",2024-05-17,No change,"In force, with the identity system it provides for not yet built (2025-08)",In force and now carrying a delivered identity system (2026-07),2024-05-17 Validation of The Gambia's National Digital ID and Digital Transformation Strategy|2024-01-01 Gambia National Digital Identity Strategy (Strategy Report),,
GMB-gov.policy-sti-policy-2027-2035,GMB,gov.policy,Governance,instrument,"Science, technology and innovation policy 2027-2035",In development,2026-08-31,Validated 2026-08-31,,Advanced,a previous policy its own minister concedes achieved none of its objectives,a validated ten-year successor policy,2026-08-31-thepoint-gambia-sti-policy-2027-2035-validation,,
GMB-gov.legislate-access-to-information-act,GMB,gov.legislate,Governance,instrument,Access to Information Act,"Implemented, largely unimplemented in practice",2026-08-07,Press union reported implementation ineffective 2026-08-07,,Baseline not held,,"In force, but with most public institutions yet to appoint the information officers the Act requires and twenty-one-day requests going unanswered",2026-08-07-gambia-gpu-access-to-information-implementation,,"the account of non-implementation is the press union's; no government response, compliance count or enforcement action is on record"
GMB-gov.legislate-broadcasting-online-content-framework,GMB,gov.legislate,Governance,instrument,"Broadcasting and Online Content Regulations, 2026",In development,2026-08-16,Draft issued for public consultation 2026-04-02; child-protection provisions set out by the information minister 2026-08-16,,Advanced,Did not exist,"A draft instrument made by the minister in charge of broadcasting content under section 226(1) of the Information and Communications Act (Cap. 74:03) in consultation with the regulator, issued for public consultation on 2 April 2026 as one of seven draft instruments released together — among them Journalists Registration Guidelines, 2026 and licensing, registration and authorisation guidelines. Its fourteen parts run from objectives and general obligations through a content complaints committee, licensing and professional standards, classification tiers, content monitoring, local-content promotion, coverage of public events, public service broadcasting, watershed and children's programming, complaints handling, and enforcement and sanctions; the child-protection provisions the information minister set out cover the identity of child victims, parental or guardian consent for interviews with children, and content that harms or exploits minors",2026-04-02-pura-gambia-draft-broadcasting-and-online-content-regulations-2026|2026-08-16-voice-gambia-le-ministre-de-l-information-exhorte,,"a draft: its execution block is unsigned and undated, and it is dated here from the regulator's own consultation notice; no consultation closing date or adoption date is published"
GMB-gov.legislate-communications-bill,GMB,gov.legislate,Governance,instrument,Communications Bill 2025,In development,2026-07-22,Sitting with National Assembly committees after second reading on 2 March 2026,,Advanced,Not introduced; first reading followed on 19 November 2025 (2025-08),"Passed second reading and referred to committee, with the Press Union pressing for repeal of the restrictive media laws around it (2026-07)",2026-03-03-lawmakers-back-communications-bill-2025-standard|2026-07-22-thepoint-lawmakers-engaged-communication-bill,,"The Bill covers electronic communications, broadcasting, electronic commerce, electronic signatures, computer misuse and cybercrime in one instrument."
GMB-gov.legislate-nardic-bill,GMB,gov.legislate,Governance,instrument,"National Research, Development and Innovation Council Bill",In development,2026-08-29,Approved by cabinet 2026-08-29,,Advanced,Did not exist,"a bill approved by cabinet to establish a national research, development and innovation council",2026-08-29-linkedin-cabinet-approves-national-research-development-and-innovation-council,,
GMB-gov.legislate-sis-bill,GMB,gov.legislate,Governance,instrument,State Intelligence Service Bill,In development,2026-07-31,"Draft validated at a stakeholder workshop, 31 July 2026",,Advanced,Did not exist,"Draft validated, reported to require judicial warrants and oversight for intrusive measures and to give the Assembly review of the Service's budgets and operations; not tabled (2026-07)",2026-07-31-sis-validates-bill-to-reposition-as-robust-futuristic-intelligence-service,,"The text is not held and the Bill does not appear in the National Assembly's bills library, checked 2026-08-08; the provisions are as reported from the workshop."
