title,publisher,author,published,date_precision,places,topics,entities,ingested,url
CreditChek rachète Algosys pour faciliter le crédit en Afrique de l'Est,wearetech.africa,,2026-09-10,day,NGA; UGA,dpi.pay; tech.industry,creditchek; algosys,2026-09-10,https://www.wearetech.africa/fr/fils/breves/breves-simple/creditchek-rachete-algosys-pour-faciliter-le-credit-en-afrique-de-lest
"Uganda Targets AI Sovereignty, Minister Says",Nile Post,,2026-09-10,day,UGA,tech.ai; gov.policy,ministry-of-science-technology-and-innovation-uganda,2026-09-10,https://nilepost.co.ug/news/370019/uganda-targets-ai-sovereignty-minister-says
Paratus expands East Africa connectivity ahead of ITW Africa,TechTrendsKE,,2026-09-09,day,COD; RWA; UGA; KEN,infra.connect; infra.store,paratus; starlink,2026-09-09,https://techtrendske.co.ke/2026/09/09/paratus-expands-east-africa-connectivity-itw-africa/
Bank of Uganda strengthens security measures,ITWeb Africa,,2026-09-09,day,UGA,infra.cybersec; dpi.pay,bank-of-uganda,2026-09-09,https://www.itweb.africa/article/bank-of-uganda-strengthens-security-measures/rW1xL75nyAeMRk6m
"Uganda’s Digital Economy: Rights Trends, Regulatory Gaps and Policy Responses",CIPESA,,2026-09-08,day,UGA,gov.policy; gov.protect,cipesa,2026-09-08,https://cipesa.org/2026/09/ugandas-digital-economy-rights-trends-regulatory-gaps-and-policy-responses/
URA Explains Use of NINs to Replace TINs,Nilepost,,2026-09-07,day,UGA,dpi.exchange; dpi.id; gov.protect,uganda-revenue-authority; nira-uganda,2026-09-07,https://nilepost.co.ug/business/369514/ura-explains-use-of-nins-to-replace-tins
NIRA to Host National ID Expo as Millions Remain Outside Register,Nile Post,Kenneth Kazibwe,2026-09-07,day,UGA,dpi.id,national-identification-and-registration-authority-uganda,2026-09-08,https://nilepost.co.ug/news/369498/nira-to-host-national-id-expo-as-millions-remain-outside-register
Mpigi Residents Decry Year-Long Delays in Getting National IDs,Nile Post,Ronald Ssekidde,2026-09-07,day,UGA,dpi.id; include.access,national-identification-and-registration-authority-uganda,2026-09-08,https://nilepost.co.ug/news/369629/mpigi-residents-decry-year-long-delays-in-getting-national-ids
Uganda Communications Commission explains internet shutdown,New Vision,,2026-09-07,day,UGA,infra.connect; gov.policy,uganda-communications-commission,2026-09-08,https://www.newvision.co.ug/category/news/uganda-communications-commission-explains-int-NV_226210_092026
UBOS partners with Samia Bugwe and Tieng Adhola to improve community data,Uganda Broadcasting Corporation,,2026-09-06,day,UGA,data.statistics; dpi.exchange; gov.standards,uganda-bureau-of-statistics; bugwe-kingdom; tieng-adhola,2026-09-07,https://ubc.go.ug/2026/09/06/ubos-partners-with-samia-bugwe-and-tieng-adhola-to-improve-community-data/
Parliament Probes Digital Plate Crisis as Delays Cost Uganda Shs4bn Weekly,Business Times Uganda,,2026-09-06,day,UGA,dpi.govtech; gov.discourse; dpi.registry,parliament-of-uganda; intelligent-transport-monitoring-system-uganda; ministry-of-works-and-transport-uganda; uganda-revenue-authority; kampala-city-traders-association,2026-09-07,https://businesstimesug.com/parliament-probes-digital-plate-crisis-as-delays-cost-uganda-shs4bn-weekly/
Ugandan Startup SANDI AI Wins Shs190M GoGettaz Agripreneur Prize,Nilepost,,2026-09-05,day,UGA,tech.innovate; tech.ai; dpi.pay; finance.new,sandi-ai-technologies; gogettaz-agripreneur-prize; africa-food-systems-forum,2026-09-07,https://nilepost.co.ug/technology/369117/ugandan-startup-sandi-ai-wins-shs190m-gogettaz-agripreneur-prize
"JICA, Makerere University Explore New Frontiers in AI and Research Collaboration",Makerere University News,,2026-09-04,day,UGA,finance.mou; capacity.research; tech.ai,jica; makerere-university,2026-09-04,https://news.mak.ac.ug/2026/09/jica-makerere-university-explore-new-frontiers-in-ai-and-research-collaboration/
UETCL in Spotlight Over Uganda-Tanzania Fibre Connection,Nile Post,Moses Namayo,2026-09-04,day,UGA,infra.connect; gov.policy,uganda-electricity-transmission-company; parliament-of-uganda,2026-09-08,https://nilepost.co.ug/news/368959/uetcl-in-spotlight-over-uganda-tanzania-fibre-connection
