indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
dpi.mis--education,DPI,Sectoral management information systems,dpi.mis,Education,3
dpi.mis--justice,DPI,Sectoral management information systems,dpi.mis,Justice,3
dpi.mis--land,DPI,Sectoral management information systems,dpi.mis,Land,3
dpi.mis--social-protection,DPI,Sectoral management information systems,dpi.mis,Social protection,3
dpi.mis--tax,DPI,Sectoral management information systems,dpi.mis,Tax,3
digital.localgov--digitalisation-of-local-government-records,Digitalisation,Digitalisation of sub-national government,digital.localgov,Digitalisation of local government records,1
digital.localgov--ict-infrastructure-for-local-government,Digitalisation,Digitalisation of sub-national government,digital.localgov,ICT infrastructure for local government,1
digital.rural--digitalisation-of-rural-police-stations,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural police stations,1
digital.rural--digitalisation-of-rural-primary-schools,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural primary schools,1
digital.rural--digitalisation-of-rural-registry-offices,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural registry offices,1
