indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
infra.connect--internet-exchange-points,ICT Infrastructure,Connectivity,infra.connect,Internet Exchange Points,8
infra.connect--internet-usage,ICT Infrastructure,Connectivity,infra.connect,Internet usage,8
infra.connect--mobile-affordability,ICT Infrastructure,Connectivity,infra.connect,Mobile affordability,8
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,ICT Infrastructure,Technical Capacity,infra.capacity,"Local capacity to maintain, manage and develop government systems",1
infra.capacity--robustness-of-government-hardware-and-software,ICT Infrastructure,Technical Capacity,infra.capacity,Robustness of government hardware and software,1
tech.ai--development-of-national-regional-ai-systems,Technology,AI,tech.ai,Development of national / regional AI systems,4
tech.ai--use-of-ai-in-sectoral-management-information-systems,Technology,AI,tech.ai,Use of AI in sectoral management information systems,4
tech.industry--national-capacity-in-dt-related-production,Technology,ICT Industry,tech.industry,National capacity in DT-related production,1
tech.innovate--tech-startup-ecosystem,Technology,Innovation ecosystem,tech.innovate,Tech startup ecosystem,0
tech.innovate--technology-hubs,Technology,Innovation ecosystem,tech.innovate,Technology hubs,0
