indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
gov.discourse--non-governmental-contribution-to-national-policy,Governance,Public debate and participation in policymaking,gov.discourse,Non-governmental contribution to national policy,0
gov.discourse--open-discussion-of-government-policy,Governance,Public debate and participation in policymaking,gov.discourse,Open discussion of government policy,0
gov.regional--cross-border-data-transfers,Governance,Regional collaboration,gov.regional,Cross-border data transfers,3
gov.regional--regional-legal-harmonisation,Governance,Regional collaboration,gov.regional,Regional legal harmonisation,3
gov.standards--adoption-of-international-standards,Governance,Standards,gov.standards,Adoption of international standards,1
gov.standards--national-interoperability-standards,Governance,Standards,gov.standards,National interoperability standards,1
finance.budget--sustainable-domestic-financing-of-digital-transformation,Finance,Domestic budget appropriations and expenditure,finance.budget,Sustainable domestic financing of digital transformation,1
finance.mou--strategic-relationships,Finance,MoUs and other agreements,finance.mou,Strategic relationships,0
infra.energy--rural-electrification,ICT Infrastructure,Energy,infra.energy,Rural electrification,1
infra.energy--sufficient-energy-and-water-for-data-centres,ICT Infrastructure,Energy,infra.energy,Sufficient energy and water for data centres,1
infra.store--local-data-centre-capacity-national-providers,ICT Infrastructure,Data Storage,infra.store,Local data centre capacity (national providers),3
infra.store--off-site-backup-capacity,ICT Infrastructure,Data Storage,infra.store,Off-site backup capacity,3
