field,definition,defined_in
recipient_country,ISO-3 code of the country the commitment is tagged to. The join key.,FINANCE-COMPILE.md
start_year,"Year the commitment starts, or the year it was announced where no start is stated.",FINANCE-COMPILE.md
end_year,"Year the commitment ends, where one is stated.",FINANCE-COMPILE.md
financier,"Canonical financier name, resolved from financier_slug. Never key analysis on this field.",FINANCE-COMPILE.md
sector,"Subject slug's display name, from the wiki taxonomy.",FINANCE-COMPILE.md
instrument,"Loan, grant, equity, guarantee or other form the money takes.",FINANCE-COMPILE.md
commitment_usd_m,"Amount committed, US$ millions, converted from the announcing party's own currency at a dated rate.",FINANCE-COMPILE.md
amount_basis,"What the figure is: commitment, disbursement, or other.",read off the data
amount_quality,"How firm the figure is: exact, rounded, estimated, reported, imputed, stated.",read off the data
status,"Status of the commitment as last reported — approved, launched, signed, completed.",FINANCE-COMPILE.md
title,"Record title: financier, what, and year.",FINANCE-COMPILE.md
description,"The full record block, including quoted source text.",FINANCE-COMPILE.md
beneficiary_type,"Government, private sector, civil society or other.",FINANCE-COMPILE.md
recipient_organisation,"Name of the receiving organisation, where stated.",FINANCE-COMPILE.md
original_amount,"The amount as announced, in the currency announced.",FINANCE-COMPILE.md
project_id,"Financier's own project identifier, where one is published.",FINANCE-COMPILE.md
iati_activity_id,"IATI activity identifier, where the financier publishes to IATI.",FINANCE-COMPILE.md
url,The publisher's own link to the source the record was read from.,FINANCE-COMPILE.md
financier_slug,Canonical financier identifier. The key to group or join financiers on.,FINANCE-COMPILE.md
record,Slug of the wiki record this row was compiled from.,FINANCE-COMPILE.md
