recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
ETH,2026,2028,Food and Agriculture Organization (FAO),Rural digital data capture,Standard grant (IATI finance-type 110),0,commitment,stated,Implementation,Digitally enabled Pluralistic Extension Services for inclusive Agrifood systems Transformation in Ethiopia,"To transform the catalytic start-up initiative into a sustainable long-term program that enhances agricultural production and productivity while improving nutrition, food security, and overall human health through scalable and lasting interventions.",Government (agricultural extension system),,,TCP/ETH/4102,XM-DAC-41301-763888,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-41301-763888,fao,2026-07-31-iati-xm-dac-41301-763888-ethiopia-digital-extension-services
ETH,2026,2030,U.S. Department of State,Sectoral management information systems,(not stated),19,commitment,verified,Pipeline,"U.S. Department of State — Ethiopia health data systems under the America First Global Health Strategy MOU, 2025","""2.5.3 Funding Plan: The U.S. Government intends to provide the following amount of funding for data systems in each of the specified years, subject to the availability of funds: 2026 $6,283,383; 2027 $5,026,706; 2028 $3,770,030; 2029 $2,513,353; 2030 $1,256,677."" Ethiopia ""intends to pay all reasonable and ongoing software licensing, cloud computing, hardware maintenance, hardware replacement, and other similar costs for the systems outlined in this Section 2.5 and Appendix 1 that are not specifically paid for by the U.S. Government.""

This is the smallest data-systems line of the five signed December 2025 AFGHS MOUs the wiki holds, on the second-largest headline package. The sum is one line of a wider MOU whose total planned US support is US$1,016,000,000 against Ethiopia's US$450,000,000 (Appendix 2), from which the US reserves 6% of the top-line budget for its own management and operations (6.8). Non-binding: ""This MOU is not an international agreement"" (6.9).",Government,Government of Ethiopia / Ministry of Health,,,,https://www.citizen.org/wp-content/uploads/2026-0004QN-Ethiopia-Health-12.23.2025.pdf,us-department-of-state,2025-12-23-state-eth-afghs-data-systems-2025-record
ETH,2025,2029,UK FCDO,AI,Grant,6,commitment,imputed,Active,Ethiopia Artificial Intelligence (EthiopiAI) Programme,"Supports the accelerated and responsible rollout of Artificial Intelligence (AI) for UK development and growth objectives in Ethiopia. Delivers through a specialist AI facility providing technical assistance to public sector and agency actors, operational support on use of appropriate AI models, and building local skills and capacities for utilising AI for good. The goal is to leverage AI to improve delivery across the UK country business plan in areas such as healthcare, education and government administration.",Government,Government of Ethiopia / FCDO Ethiopia country team,"GBP 4,499,996",GB-GOV-1-400750,GB-GOV-1-400750-401,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-400750/summary,uk-fcdo,2025-01-01-fcdo-eth-001-ethiopia-artificial-intelligence-ethiopiai-programme
ETH,2024,,Agence Française de Développement,Connectivity,Concessional loan,87,commitment,rounded,Active,Modernisation d'EEP pour une digitalisation plus pouss\u00e9e de l'\u00e9conomie \u00e9thiopienne,"Co-financing with EU, EIB and DGT. The project aims to improve access rates and quality of electricity and telecommunications networks, and to strengthen their efficiency and resilience. Sovereign loans: AFD €80M, EIB €83M, DGT €55M+; technical assistance and grants: EU €40M, AFD €1.7M. Hybrid energy + digital project; included as sovereign FR-3 AFD on user instruction (initially excluded by automated cascade per §1.1 energy primary-purpose; user override).",Government,Ethiopian Electric Power (EEP),"EUR 80,000,000",FR-3-CET1135,FR-3-CET1135,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=FR-3-CET1135,afd,2024-01-01-afd-eth-001-modernisation-deep-pour-une-digitalisation-plus
ETH,2024,2032,European Union,Training and skills,Grant,15,commitment,rounded,Active,Support to digital transformation in Ethiopia through digital skills development in Technical and Vocational Education andTraining (TVET),"The Action is part of the envisaged 360 degree approach to digital transformation in Ethiopia, aimed at narrowing the digital divide, contributing to the digital transformation of traditional industries, further developing the country¿s digital ecosystem, attracting private investments in Ethiopia¿s digital economy and fostering global digital socioeconomic growth and sustainable development. Fore",Government,,"EUR 14,000,000",2024604816,XI-IATI-EC_INTPA-2024-ACT-62753,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-ACT-62753,european-union,2024-01-01-ec-eth-001-support-to-digital-transformation-in-ethiopia
ETH,2024,2031,FMO,Digital Payments and Fintech,Commercial loan,31,commitment,exact,Active,Cooperative Bank Of Oromia Digital Lending App And Mobile Banking Ethiopia,"MASSIF senior loan facility to Cooperative Bank of Oromia (COOP), Ethiopia. COOP launched the sector's first digital lending app and alternative banking channels including mobile money and agency networks. The bank provides MSMEs and agriculture sector with digital financial services.",Private sector,Cooperative Bank Of Oromia,"EUR 29,000,000",fmo-NL-KVK-27078545-0000174287,NL-KVK-27078545-0000174287; NL-KVK-27078545-0000181014,https://www.iatistandard.org/en/,fmo,2024-01-01-fmo-eth-coop-bank-digital-lending-2024-cooperative-bank-of-oromia-digital-lending
ETH,2024,2027,Gates Foundation,Digital Payments and Fintech,Grant,11,commitment,exact,Active,National Financial Inclusion Strategy Implementation Support,To enable FSD Ethiopia to support the national financial inclusion agenda. of National Financial Inclusion Strategy Implementation Support from 03/21/2024 to 03/31/2027. Grantee name: Financial Sector Deepening Africa.,NGO/CS,Financial Sector Deepening Africa,,INV-061217,DAC-1601-INV-061217,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-061217,gates-foundation,2024-01-01-gates-eth-001-national-financial-inclusion-strategy-implementation-support
ETH,2024,2025,Gates Foundation,Strategies plans and policies,Grant,1,commitment,rounded,Active,Strengthening the Data Governance and Sharing Framework,To support the strengthening of data governance and sharing mechanisms and frameworks in Ethiopia to facilitate effective and safe data exchange in the growing digital ecosystem,NGO/CS,Capital for Good,,INV-080135,DAC-1601-INV-080135,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-080135,gates-foundation,2024-01-01-gates-eth-004-strengthening-the-data-governance-and-sharing
ETH,2024,2034,International Finance Corporation (IFC),Connectivity,Commercial loan,200,commitment,rounded,Active,Safaricom Ethiopia \u2014 IFC Second Debt Facility (2024),"IFC is considering providing a second loan of up to $350 million total ($150-200 million own account plus $150-200 million mobilised from other DFIs) to Safaricom Telecommunications Ethiopia Private Limited Company (STEP). This second debt tranche supports Safaricom Ethiopia's continued expansion of its 4G/5G network, M-PESA mobile money platform, and broadband connectivity infrastructure across Ethiopia. The Company plans to invest over $8 billion in Ethiopia over 10 years. This follows IFC's first $100M A-loan in 2023.",Private sector,Safaricom Telecommunications Ethiopia Private Limited Company (STEP),,SII-49097,XM-DAC-903-SII-49097,https://disclosures.ifc.org/project-detail/SII/49097/safaricom-ethiopia-debt-ii,ifc,2024-01-01-ifc-eth-003-safaricom-ethiopia-ifc-second-debt-facility
ETH,2024,2026,United Nations Development Programme (UNDP),ICT Industry,Grant,2,commitment,exact,Active,timbuktoo Ethiopia - Pan-African Start-up and Innovation Ecosystem,"Strengthen the pan-African start-up and innovation ecosystem through UNDP's timbuktoo initiative in Ethiopia. Blended catalytic and commercial financing facility to support Ethiopian startups. Focus on fintech, agritech, and digital entrepreneurship. Ethiopia component of the timbuktoo hub network.",Government,Government of Ethiopia / Innovation ecosystem,,1003093,XM-DAC-41114-OUTPUT-01003093,https://open.undp.org/projects/01003093,undp,2024-01-01-undp-eth-timbuktoo-2024-timbuktoo-ethiopia---pan-african-start-up-and
