title,publisher,author,published,date_precision,places,topics,entities,ingested,url
O pais avanca para uma Administracao Publica com Inteligencia Artificial,Portal de T.I (pti.ao),,2026-09-08,day,AGO,tech.ai; dpi.govtech; finance.new,world-bank; ima-angola; projecto-de-aceleracao-digital-de-angola-pada,2026-09-09,https://pti.ao/o-pais-avanca-para-uma-administracao-publica-com-inteligencia-artificial/
Projecto ″Paga3″ acusa Standard Bank Angola de uso indevido de start-up - Banco rejeita acusação e considera reclamação abusiva,Novo Jornal,,2026-09-07,day,AGO,dpi.pay; tech.innovate,standard-bank-angola; paga3; cafeje-comercio-e-industria,2026-09-08,https://www.novojornal.co.ao/economia/detalhe/projecto-paga3-acusa-standard-bank-angola-de-uso-indevido-de-start-up---banco-rejeita-acusacao-e-considera-reclamacao-abusiva-74476.html
Sistema de Internet em Madimba e Serra da Kanda volta a funcionar,Angop (Angola Press Agency),,2026-09-06,day,AGO,infra.connect; digital.rural; data.satellite,ggpen; angosat-2; conecta-angola,2026-09-08,https://angop.ao/noticias/tecnologia/sistema-de-internet-em-madimba-e-serra-da-kanda-volta-a-funcionar/
Sete instituições do ensino superior recebem mais 20 milhões de dólares,ANGOP — Agência Angola Press,,2026-09-06,day,AGO,finance.new; capacity.training; capacity.research,world-bank; global-partnership-for-education; ministerio-do-ensino-superior-ciencia-tecnologia-e-inovacao-angola,2026-09-07,https://angop.ao/noticias/educacao/sete-instituicoes-do-ensino-superior-recebem-mais-20-milhoes-de-dolares/
Secretário de Estado reconhece contributo das telecomunicações na economia,Angop (Angola Press Agency),,2026-09-05,day,AGO,gov.discourse; infra.connect; infra.cybersec,ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; angola-telecom,2026-09-08,https://angop.ao/noticias/economia/secretario-de-estado-reconhece-contributo-das-telecomunicacoes-na-economia/
ITEL e TV Cabo assinam acordo de cooperação para capacitar jovens,Angop (Angola Press Agency),,2026-09-04,day,AGO,capacity.training; infra.connect,itel-angola; tv-cabo-angola,2026-09-08,https://angop.ao/noticias/economia/itel-e-tv-cabo-assinam-acordo-de-cooperacao-para-capacitar-jovens/
Angola: Governante anuncia a construção de mais oito subunidades do SIAC até 2027,"Ministério da Administração Pública, Trabalho e Segurança Social (Angola), via Africa Newsroom/APO Group",,2026-09-04,day,AGO,dpi.govtech; include.access; gov.policy,maptss-angola; siac-angola,2026-09-07,https://www.africa-newsroom.com/press/angola-governante-anuncia-a-construcao-de-mais-oito-subunidades-do-siac-ate-2027?lang=pt
INFOSI disponibiliza site para candidaturas a est\u00e1gios,Portal de T.I,,2026-09-03,day,AGO,dpi.govtech; capacity.training,infosi; fadcom,2026-09-04,https://pti.ao/infosi-disponibiliza-site-para-candidaturas-a-estagios/
Ministro defende aposta na investigação para futuro digital de Angola,ANGOP — Agência Angola Press,,2026-09-03,day,AGO,capacity.training; infra.cybersec; gov.legislate,ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; itel-angola; assembleia-nacional-angola,2026-09-07,https://angop.ao/noticias/economia/ministro-defende-aposta-na-investigacao-para-futuro-digital-de-angola/
Ministro Mário Oliveira inaugura ZAP Fibra em Benguela,Angop - Agência Angola Press,,2026-09-02,day,AGO,infra.connect; infra.store,ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; zap-angola; governo-provincial-de-benguela,2026-09-02,https://angop.ao/noticias/tecnologia/ministro-mario-oliveira-inaugura-zap-fibra-em-benguela/
Governo pretende estender fibra \u00f3ptica a todo o pa\u00eds,ANGOP,,2026-09-02,day,AGO,infra.connect; gov.policy,ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola; zap-angola,2026-09-04,https://angop.ao/noticias/tecnologia/governo-pretende-estender-fibra-optica-a-todo-o-pais/
Executivo desembolsa USD 6 milh\u00f5es para plataforma de intelig\u00eancia artificial na administra\u00e7\u00e3o p\u00fablica,Portal de T.I,,2026-09-01,day,AGO,finance.new; tech.ai; dpi.govtech,instituto-modernizacao-administrativa; world-bank,2026-09-04,https://pti.ao/executivo-desembolsa-usd-6-milhoes-para-plataforma-de-inteligencia-artificial-na-administracao-publica/
Banco BCS and Mastercard Partner to Expand Digital Payment Services in Angola,Tech Africa News,,2026-08-31,day,AGO,dpi.pay,banco-bcs; mastercard,2026-08-31,https://techafricanews.com/2026/08/31/banco-bcs-mastercard-expand-digital-payments-angola/
Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026
Verifica.ao revela: Relat\u00f3rio da Intelwatch sobre biometria em Angola mistura factos confirmados com alega\u00e7\u00f5es n\u00e3o comprovadas,Verifica.ao,,2026-08-31,day,AGO,gov.discourse; dpi.id; gov.protect,intelwatch; ministerio-do-interior-angola; t4b; dolinveste,2026-09-04,https://verifica.ao/verifica-ao-revela-relatorio-da-intelwatch-sobre-biometria-em-angola-mistura-factos-confirmados-com-alegacoes-nao-comprovadas/
PR autoriza 13 milhões de dólares para plataforma de interoperabilidade da administração pública,Portal de T.I. (PTI),,2026-08-31,day,AGO,dpi.exchange; finance.new; gov.standards; dpi.govtech,joao-lourenco; ima-angola; projecto-de-aceleracao-digital-de-angola-pada; world-bank,2026-09-01,https://pti.ao/pr-autoriza-13-milhoes-de-dolares-para-plataforma-de-interoperabilidade-da-administracao-publica/
Governo investe USD 210 milhões na digitalização da Administração Pública,ANGOP — Agência Angola Press,,2026-08-31,day,AGO,finance.new; gov.policy; dpi.govtech; dpi.id; dpi.exchange; infra.cybersec,joao-lourenco; ima-angola; projecto-de-aceleracao-digital-de-angola-pada; world-bank; ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola,2026-09-01,https://angop.ao/noticias/economia/governo-investe-usd-210-milhoes-na-digitalizacao-da-administracao-publica/
"Governo investe 4,6 milhões de dólares para reforçar cibersegurança do Estado",Diário dos Negócios,,2026-08-31,day,AGO,infra.cybersec; finance.new; gov.policy,joao-lourenco; projecto-de-aceleracao-digital-de-angola-pada; world-bank; unitel,2026-09-01,https://diariodosnegocios.com/governo-investe-46-milhoes-de-dolares-para-reforcar-ciberseguranca-do-estado/
Plataforma Observa Mais refor\u00e7a monitoriza\u00e7\u00e3o agr\u00edcola no Qu\u00e9ssua,ANGOP,,2026-08-30,day,AGO,dpi.mis; include.access,ggpen; angola-ministry-of-telecommunications-minttics,2026-09-04,https://angop.ao/noticias/tecnologia/plataforma-observa-mais-reforca-monitorizacao-agricola-no-quessua/
População do Quirimbo entra na era da conectividade com ANGOSAT-2,Angop - Agência Angola Press,,2026-08-28,day,AGO,infra.connect; include.access; data.satellite,ggpen; angosat-2; ministerio-das-telecomunicacoes-tecnologias-de-informacao-e-comunicacao-social-angola,2026-08-28,https://angop.ao/noticias/economia/populacao-do-quirimbo-entra-na-era-da-conectividade-com-angosat-2/
"MAT aproveita peregrinação a Muxima para \""pescar\"" dados eleitorais",Novo Jornal,,2026-08-28,day,AGO,dpi.id; dpi.govtech,ministerio-da-administracao-do-territorio-angola; balcao-unico-de-atendimento-ao-publico-angola; registo-eleitoral-oficioso-angola,2026-08-29,https://novojornal.co.ao/politica/detalhe/mat-aproveita-peregrinacao-a-muxima-para-pescar-dados-eleitorais-74244.html
"O Estado biometrico angolano: Seguranca, soberania e risco democratico antes de 2027",Novo Jornal,,2026-08-28,day,AGO,dpi.id; gov.discourse; gov.protect; infra.cybersec,intelwatch; servico-de-migracao-e-estrangeiros-angola; sinse-angola; ministerio-do-interior-angola; t4b; any-security-printing,2026-08-29,https://novojornal.co.ao/opiniao/detalhe/o-estado-biometrico-angolano-seguranca-soberania-e-risco-democratico-antes-de-2027-74262.html
Docente advoga interoperabilidade activa para governação do mar,Angop (Agência Angola Press),,2026-08-28,day,AGO,dpi.exchange; gov.discourse; data.satellite,ggpen,2026-09-02,https://angop.ao/noticias/politica/docente-advoga-interoperabilidade-activa-para-governacao-do-mar/
ISO - INIQ - National Institute of Quality Infrastructure,International Organization for Standardization (ISO),,2026-08-27,day,AGO,gov.standards,international-organization-for-standardization; iniq-angola,2026-08-27,https://www.iso.org/member/316519.html
