row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
SWZ-infra.connect-affordability,SWZ,infra.connect,Infrastructure,measure,Cost of data as a share of income per head,,2025-08-04,Above the international affordability threshold,,,,Baseline not held,Baseline not held,3.47% of gross national income per head,2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g,,
SWZ-infra.connect-smartcity,SWZ,infra.connect,Infrastructure,instrument,Mbabane smart-city deployment,In development,2025-08-04,"5G network, 59 AI-enabled cameras and public Wi-Fi being fitted in the capital",,,,Advanced,Did not exist,Under installation; no completion date published,2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g,,
SWZ-infra.connect-minspeed,SWZ,infra.connect,Infrastructure,instrument,Minimum internet service standard,Planned,2026-07-20,ESCCOM proposed raising the minimum from 2 Mbps to 10 Mbps in Notice 08/2026,,,,Advanced,2 Mbps minimum,10 Mbps proposed; the 2 Mbps standard remains in force,2026-07-20-eswatini-esccom-10mbps,,
SWZ-infra.connect-coverage,SWZ,infra.connect,Infrastructure,measure,Mobile coverage against mobile-internet use,,2026-07-22,Ministry of ICT figures given at the Digital Eswatini change-management workshop,,,,No change,About 95% 4G coverage against about 58% internet use,95% mobile coverage against 57% mobile-internet subscription (2026-07),2026-07-22-independentnews-digital-eswatini-project-leadership|2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g,,
SWZ-infra.connect-fibre,SWZ,infra.connect,Infrastructure,instrument,National fibre-optic backbone,In development,2026-02-13,"International capacity raised from 47 to 72 Gbps, above target",,,,Advanced,47 Gbps international capacity,72 Gbps international capacity; rollout continuing,2026-02-13-optical-fibre-rollout-strengthens-business-ecosystem|2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g,,
SWZ-infra.connect-institutions,SWZ,infra.connect,Infrastructure,instrument,Public-institution connectivity programme,In development,2026-07-22,"1,031 institutions targeted under the Digital Eswatini Project",,,,Advanced,Did not exist,"859 schools, 134 health facilities and 38 tinkhundla centres to be connected",2026-07-22-independentnews-digital-eswatini-project-leadership,,
SWZ-infra.connect-complaints,SWZ,infra.connect,Infrastructure,instrument,Statutory complaint adjudication by ESCCOM,Implemented,2026-08-04,"Free adjudication under the Eswatini Communications Commission Act 2013, with windows of one month for post and courier, three for broadcasting and six for telecommunications",,,,No change,In force,In force,2026-08-04-esccom-consumer-guide-type-approved-equipment,,"Structural provisions of the Act, not dated state."
SWZ-infra.store-ndc,SWZ,infra.store,Infrastructure,instrument,National Data Centre,Implemented,2026-05-21,Government assessment finds ministries depend heavily on it with no internal fallback,,,,No change,"Operating; no capacity, tenant, uptime tier or utilisation disclosed","Operating and named a structural concentration risk; still no capacity, tenant, uptime tier or utilisation on file",2026-05-21-critical-state-information-at-risk-in-9-govt-ministries|2021-01-01 The National Data Centre - Royal Science and Technology Park,,
SWZ-infra.energy-ndc,SWZ,infra.energy,Infrastructure,instrument,Power supply to the National Data Centre,Planned,2026-02-06,ICT minister met an Abu Dhabi clean-energy firm to discuss dedicated supply; nothing signed,,,,Baseline not held,Baseline not held,"Still being sourced five years after the facility opened; no capacity, price or timetable stated",2026-02-06-eswatini-explores-green-energy-for-national-data-centre,,
SWZ-infra.capacity-none,SWZ,infra.capacity,Infrastructure,instrument,Compute or high-performance computing capacity,Not held,,The National Data Centre states high-performance computing as an objective but discloses no capacity,,,,Baseline not held,Not held,Not held,,2026-08-09,
SWZ-infra.cybersec-govservices,SWZ,infra.cybersec,Infrastructure,measure,Government services available online,,2026-05-21,Digital Landscape Assessment count,,,,Baseline not held,Baseline not held,31 of 419 services online; 15 of 22 ministries run on 1 Mbps or less; 18 ICT professionals support the assessed estate,2026-05-21-critical-state-information-at-risk-in-9-govt-ministries,,
SWZ-infra.cybersec-backups,SWZ,infra.cybersec,Infrastructure,measure,Ministry data backup and ICT maintenance,,2026-05-21,Digital Landscape Assessment received and endorsed by the ICT ministry,,,,Baseline not held,Baseline not held,"9 of 21 ministries keep no regular backups, 11 have no ICT maintenance contract, and the finance ministry runs mainframe software past end of life",2026-05-21-critical-state-information-at-risk-in-9-govt-ministries,,
SWZ-infra.cybersec-month,SWZ,infra.cybersec,Infrastructure,instrument,National cybersecurity awareness programme,Implemented,2025-10-07,Cybersecurity Awareness Month opened by the prime minister,,,,Baseline not held,Baseline not held,Run annually; no national cybersecurity strategy or CERT on file,2025-10-07-eswatini-calls-for-collaboration-to-protect-cyber-space,,
SWZ-infra.cybersec-sadc,SWZ,infra.cybersec,Infrastructure,instrument,SADC regional cybersecurity framework,Enacted,2026-07-30,Finalised and approved by the SADC Committee of Central Bank Governors subcommittee at Ezulwini,,,,Advanced,Did not exist,Approved regionally; no national implementing instrument on file,2026-07-30-independentnews-sadc-ccbg-cyber-frameworks,,
SWZ-dpi.exchange-interop,SWZ,dpi.exchange,Digital public infrastructure,measure,Government system interoperability,,2026-05-21,Digital Landscape Assessment finding,,,,Baseline not held,Baseline not held,More than half of ministries lack meaningful interoperability or central-repository connectivity,2026-05-21-critical-state-information-at-risk-in-9-govt-ministries,,
SWZ-dpi.id-digitalid,SWZ,dpi.id,Digital public infrastructure,instrument,Digital identity,Planned,2026-06-24,Electronic IDs planned under the Digital Eswatini Project for a 2027 rollout,,,,Advanced,Conceptualised only,Planned under the Digital Eswatini Project; nothing issued,"2026-06-24-ict-trains-change-agents-e1-2bn-digitization|2024-11-22 Eswatini unveils readiness report for digital ID, transformation push",,
SWZ-dpi.id-ekyc,SWZ,dpi.id,Digital public infrastructure,instrument,National e-KYC registry,In development,2025-09-26,Central bank standing it up to digitise identity verification,,,,Advanced,Did not exist,"Under construction, with a SADC cross-border dimension; the FinTech Strategy targets 500,000 users by 2028",2025-09-26-eswatini-national-ekyc-system,,
SWZ-dpi.id-nationalid,SWZ,dpi.id,Digital public infrastructure,instrument,National identity card,"Implemented, not a digital identity",2026-02-22,Production resumed 22 February 2026 after suspension in late September 2025,,,,Advanced,Production suspended over technical failures,Production resumed; the card does not meet the criteria for digital identification,2026-02-22-home-affairs-resumes-id-card-production|2024-07-22 Risk of human rights infringement as Eswatini rushes to regulate the ICT sector,,
SWZ-dpi.pay-charges,SWZ,dpi.pay,Digital public infrastructure,measure,Bank transaction charges,,2026-07-27,Finance portfolio committee report tabled,,,,Baseline not held,Baseline not held,"A withdrawal of E4,000 attracting E79 to E89 in fees (2026-07)",2026-07-29-cbe-called-to-probe-bank-charges-eswatini,,
SWZ-dpi.pay-cash,SWZ,dpi.pay,Digital public infrastructure,measure,Cash share of person-to-business payments,,2025-08-05,World Bank assessment,,,,Baseline not held,Baseline not held,More than 90% still cash-based (2025-08),"2025-08-05 Robust DPI inevitable for Eswatini's economic, jobs boom - World Bank",,
SWZ-dpi.pay-benchmark,SWZ,dpi.pay,Digital public infrastructure,instrument,Comparative benchmark of bank charges,Planned,2026-07-27,Portfolio committee recommended the central bank report within 30 days of adoption,,,,Advanced,Did not exist,"Recommended, benchmarked against SACU and Common Monetary Area banks",2026-07-29-cbe-called-to-probe-bank-charges-eswatini,,
SWZ-dpi.pay-switch,SWZ,dpi.pay,Digital public infrastructure,instrument,Eswatini Payment Switch,Implemented,2024-12-11,"Fast Payments launched at Ezulwini, phase one of three",2024-12-11,,,No change,Fast Payments live with three of eight integrating participants,"Fast Payments live; open banking and card, point-of-sale and ATM switching still to come",2025-01-14 Phil Mnisi - Eswatini Payment Switch Fast Payments product launch|2025-09-28-eswatini-payment-switch-explainer,,No source held confirms whether the remaining five participants went live as expected by end-January 2025.
SWZ-dpi.pay-tcib,SWZ,dpi.pay,Digital public infrastructure,instrument,Migration of Common Monetary Area low-value flows to TCIB,In development,2026-07-21,"Reported as under way; no timetable, volume, value or mandating instrument given",,,,Baseline not held,Baseline not held,Low-value transactions moving off domestic electronic-funds-transfer rails onto the regional scheme,2026-07-21-egypt-eswatini-deepen-banking-cooperation,,
SWZ-dpi.pay-fintech,SWZ,dpi.pay,Digital public infrastructure,instrument,National FinTech Strategy 2025-2030,Implemented,2025-12-05,Launched by the central bank governor and the finance minister,,,,Advanced,Did not exist,"In force, targeting 500,000 e-KYC users and 80% interoperability by 2028",2025-12-05-fintech-to-reduce-cash-reliance|2025-12-07-fintech-strategy-to-transform-eswatini-digital-future,,
SWZ-dpi.pay-papss,SWZ,dpi.pay,Digital public infrastructure,instrument,PAPSS accession,Planned,2026-07-21,Central bank governor discussed leveraging Egyptian experience to accelerate accession,,,,No change,Not a participant,"Not a participant; no accession date, target or application status stated",2026-07-21-egypt-eswatini-deepen-banking-cooperation,,
SWZ-dpi.pay-postoffices,SWZ,dpi.pay,Digital public infrastructure,instrument,Post offices as government payment points,Implemented,2025-09-26,35 post offices opened for government-service payments,,,,Advanced,Did not exist,35 post offices accepting government-service payments,2025-09-26-eswatini-post-office-based-govt-payment-system,,
