row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
NAM-tech.ai-consultancy-engagement-artificial-intelligence-framework,NAM,tech.ai,Artificial intelligence and the technology sector,Consultancy engagement on the artificial-intelligence framework,"A procurement award notice, terms of reference or signed advisory agreement; the base carries two accounts of a 2026-08-03 meeting and the minister's statement that the research council leads, and no contract, scope of work, procurement route or value, with none listed on the central procurement board",2026-08-06,absence
NAM-tech.ai-high-performance-computing-facility,NAM,tech.ai,Artificial intelligence and the technology sector,National high-performance computing facility,"A research council or ministry announcement, procurement notice or budget line for a national compute facility; the base carries the council's own statement that its data committee is to provide such centres and that securing computing infrastructure is a next step, and separately that a vendor is building a data centre for artificial-intelligence workloads, with no named facility, site, capacity, cost or operator",2026-08-06,acquisition
NAM-tech.innovate-start-up-act,NAM,tech.innovate,Artificial intelligence and the technology sector,Start-up act,"A gazetted act or a published bill; a held source records that at 2026-08-09 no gazetted or tabled start-up legislation could be located and that the nearest policy instrument, the National Informal Economy, Start-ups and Entrepreneurship Development Policy, is not published at any URL, so what is outstanding is confirmation that none exists rather than a document",2026-08-06,acquisition
NAM-dpi.exchange-government-interoperability-framework,NAM,dpi.exchange,Digital public infrastructure,Government interoperability framework,"A published interoperability framework, standard or governing instrument; the base names three data-exchange objects across ten years and establishes no relationship between them, no operating body and no governance rules",2026-08-06,acquisition
NAM-dpi.pay-payments-association-2025-annual-report,NAM,dpi.pay,Digital public infrastructure,Payments association 2025 annual report,"The report itself; the base holds two press accounts of its 2026-07-28 release and no primary, and the association's own site publishes only a memorandum and a board release, so four payment rows stand on press reporting of one unheld document",2026-08-06,acquisition
NAM-data.open-open-data-policy-or-government,NAM,data.open,Governance and regulation,National open data policy or government portal,"A portal address, a dataset catalogue or a policy document; the subject holds nothing for Namibia, and the nearest held material is central bank and statistics agency statements on administrative data, which concern data quality rather than publication",2026-08-06,acquisition
NAM-gov.discourse-published-draft-consultation-record-data,NAM,gov.discourse,Governance and regulation,Published draft and consultation record of the Data Protection Bill,"A ministry consultation notice, submissions register or committee record; the base carries only two sources on this subject and a researcher's statement that the public had not seen the latest draft at 2025-08-17",2026-08-06,acquisition
NAM-gov.protect-smart-city-grant-agreement-annexures,NAM,gov.protect,Governance and regulation,Smart-city grant agreement and annexures,"The signed grant agreement, its annexures, the contractor list and the data architecture; the base carries an opposition member's characterisation and a presidential acknowledgement of the amount, with no instrument text, and does not establish the Chinese disbursing agency",2026-08-06,absence
NAM-gov.regional-ratification-continental-convention-cyber-security,NAM,gov.regional,Governance and regulation,Ratification of the continental convention on cyber security and personal data protection,"The continental depositary list entry or a Namibian instrument of ratification or accession; the base carries 20 sources on this subject, all bilateral or convened by an industry body, and none names a continental or regional data-governance instrument Namibia has acceded to",2026-08-06,acquisition
NAM-capacity.literacy-digital-literacy-programme,NAM,capacity.literacy,Inclusion and capacity,National digital literacy programme,"A named ministry or regulator digital-literacy strategy, curriculum or programme document; the subject carries exactly one Namibian source, the regulator and chamber memorandum of 2026-07-30, which names digital literacy as a workstream with no funding, deliverable or target",2026-08-06,acquisition
NAM-finance.budget-information-communications-technology-ministry-budget,NAM,finance.budget,Finance,Information and communications technology ministry budget vote,"The ministry's vote in the appropriation bill or its budget-vote motivation speech; the base holds no Namibian technology appropriation of any year, and the one appropriation figure held anywhere in the base is the civil registration department's, on a source tagged to other subjects",2026-08-06,acquisition
NAM-finance.new-universal-service-fund-annual-accounts,NAM,finance.new,Finance,Universal Service Fund annual accounts,"The fund's annual report, or the regulator's disclosure of levy receipts and project disbursements; the base establishes the fund exists, its launch month, its initial endowment and two in-kind outputs, all from secondary reporting of ministerial statements, and carries no levy rate, contribution base, receipts or project list",2026-08-06,acquisition
NAM-infra.energy-power-supply-plan-data-centre,NAM,infra.energy,Infrastructure,Power supply plan for the national data centre,"A power purchase agreement, grid-connection study or energy annex to the data-centre project proposal; the subject carries one Namibian source, a signed opinion piece arguing the case for hosting compute locally, so there is no held statement of how any planned facility would be powered, at what cost, or by whom",2026-08-06,absence
