fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024/2025,line,Implementation of Last Mile County Connectivity Network Phase IV,1122100102,infra.connect,whole,external-loan,KES,full Kenya shillings as printed (KShs.),,2500000000,,"Development Estimates 2024/25 Vol. III (Votes D1092-D2141), Vote D1122, Section III 'Development Expenditure Estimates and Source of Funding', project 1122100102, External Funding Loans A-I-A column (PDF p. 408)",2024-06-01-ken-development-estimates-fy2024-25-vol3-d1092-2141-companion,2026-09-25,"Foreign borrowing paid directly (appropriations-in-aid) on a 2,528,700,000 project; the rest is domestic and sits in the ICT Infrastructure Connectivity row. The volume names no lender. The development volume is held by OSINT (md5 matches lookups/artefact-md5-index.csv) but its companion has no raw/ page, so the slug is the index's record name."
2024,2024/2025,line,Horn of Africa Gateway Development Project,1122102001,infra.connect,whole,external-loan,KES,full Kenya shillings as printed (KShs.),,450000000,,"Development Estimates 2024/25 Vol. III (Votes D1092-D2141), Vote D1122, Section III 'Development Expenditure Estimates and Source of Funding', project 1122102001, External Funding Loans Revenue column (PDF p. 414)",2024-06-01-ken-development-estimates-fy2024-25-vol3-d1092-2141-companion,2026-09-25,"Loan revenue on a 491,000,000 project in the ICT Infrastructure Connectivity sub-programme; no lender named. The development volume is held by OSINT (md5 matches lookups/artefact-md5-index.csv) but its companion has no raw/ page, so the slug is the index's record name."
2024,2024/2025,line,Construction of KAIST at Konza Technopolis,1122102301,capacity.research,partial,external-loan,KES,full Kenya shillings as printed (KShs.),,2300000000,,"Development Estimates 2024/25 Vol. III (Votes D1092-D2141), Vote D1122, Section III 'Development Expenditure Estimates and Source of Funding', project 1122102301, External Funding Loans A-I-A column (PDF p. 415)",2024-06-01-ken-development-estimates-fy2024-25-vol3-d1092-2141-companion,2026-09-25,"Foreign borrowing paid directly on a 2,349,200,000 capital grant for building the Kenya Advanced Institute of Science and Technology; the PBB names its ICT infrastructure as an output, but most of the money is construction, so partial. The development volume is held by OSINT (md5 matches lookups/artefact-md5-index.csv) but its companion has no raw/ page, so the slug is the index's record name."
2024,2024/2025,line,Kenya Digital Economy Acceleration Project,1122103001,infra.connect,whole,external-loan,KES,full Kenya shillings as printed (KShs.),,2800000000,,"Development Estimates 2024/25 Vol. III (Votes D1092-D2141), Vote D1122, Section III 'Development Expenditure Estimates and Source of Funding', project 1122103001, External Funding Loans Revenue column (PDF p. 416)",2024-06-01-ken-development-estimates-fy2024-25-vol3-d1092-2141-companion,2026-09-25,"The whole 2,800,000,000 project is loan revenue; the volume names no lender. The development volume is held by OSINT (md5 matches lookups/artefact-md5-index.csv) but its companion has no raw/ page, so the slug is the index's record name."
2024,2024/2025,line,Konza data Center & Smart City Facilities,1122101801,infra.store,whole,external-loan,KES,full Kenya shillings as printed (KShs.),,4954000000,,"Development Estimates 2024/25 Vol. III (Votes D1092-D2141), Vote D1122, Section III 'Development Expenditure Estimates and Source of Funding', project 1122101801, External Funding Loans A-I-A column (PDF p. 413)",2024-06-01-ken-development-estimates-fy2024-25-vol3-d1092-2141-companion,2026-09-25,"Foreign borrowing paid directly on a 5,159,000,000 capital grant; the domestic 205,000,000 sits in the ICT and BPO Development row. The same schedule's 1,408,000,000 loan for Konza horizontal infrastructure is roads and utilities and is not recorded. The development volume is held by OSINT (md5 matches lookups/artefact-md5-index.csv) but its companion has no raw/ page, so the slug is the index's record name."
2024,2024/2025,line,Data Collection and Data Base Development,1072100901,data.statistics,whole,external-grant,KES,full Kenya shillings as printed (KShs.),,66820000,,"Development Estimates 2024/25 Vol. I (Votes D1011-D1083), Section III 'Development Expenditure Estimates and Source of Funding', Vote D1072, project 1072100901, External Funding Grants Revenue column (PDF pp. 540-541)",2024-06-01-ken-pbb-fy2024-25-companion,2026-09-25,"The whole project is grant revenue, in the KNBS sub-programme (Census and Surveys). OSINT holds no copy of the 2024/25 development estimates Vol. I; read from the publisher's copy and cited to the year's PBB, the estimates volume it accompanies."
2024,2024/2025,line,National Information Platform for Food & Nutrition in Kenya,1072108501,data.statistics,whole,external-grant,KES,full Kenya shillings as printed (KShs.),,140000000,,"Development Estimates 2024/25 Vol. I (Votes D1011-D1083), Section III 'Development Expenditure Estimates and Source of Funding', Vote D1072, project 1072108501, External Funding Grants Revenue column (PDF p. 546)",2024-06-01-ken-pbb-fy2024-25-companion,2026-09-25,"The whole project is grant revenue, in the KNBS sub-programme. OSINT holds no copy of the 2024/25 development estimates Vol. I; read from the publisher's copy and cited to the year's PBB, the estimates volume it accompanies."
2024,2024/2025,line,Making Every Woman and Girl Count,1072108701,data.statistics,whole,external-grant,KES,full Kenya shillings as printed (KShs.),,22700000,,"Development Estimates 2024/25 Vol. I (Votes D1011-D1083), Section III 'Development Expenditure Estimates and Source of Funding', Vote D1072, project 1072108701, External Funding Grants Revenue column (PDF p. 546)",2024-06-01-ken-pbb-fy2024-25-companion,2026-09-25,"Gender statistics project, wholly grant revenue, in the KNBS sub-programme. OSINT holds no copy of the 2024/25 development estimates Vol. I; read from the publisher's copy and cited to the year's PBB, the estimates volume it accompanies."
2024,2024/2025,line,Institutional Support to KNBS,1072109401,data.statistics,whole,external-grant,KES,full Kenya shillings as printed (KShs.),,60000000,,"Development Estimates 2024/25 Vol. I (Votes D1011-D1083), Section III 'Development Expenditure Estimates and Source of Funding', Vote D1072, project 1072109401, External Funding Grants A-I-A column (PDF p. 548)",2024-06-01-ken-pbb-fy2024-25-companion,2026-09-25,"Grant paid directly (appropriations-in-aid), the whole of the project. OSINT holds no copy of the 2024/25 development estimates Vol. I; read from the publisher's copy and cited to the year's PBB, the estimates volume it accompanies."
2024,2024/2025,line,Improvement of Civil Registration System,1024103601,dpi.registry,whole,external-grant,KES,full Kenya shillings as printed (KShs.),,16200000,,"Development Estimates 2024/25 Vol. I (Votes D1011-D1083), Section III 'Development Expenditure Estimates and Source of Funding', Vote D1024, project 1024103601, External Funding Grants Revenue column (PDF p. 107)",2024-06-01-ken-pbb-fy2024-25-companion,2026-09-25,"The whole project is grant revenue, in the Civil Registration Services sub-programme. OSINT holds no copy of the 2024/25 development estimates Vol. I; read from the publisher's copy and cited to the year's PBB, the estimates volume it accompanies."
