row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
UGA-infra.connect-spectrum-assignment-5g-licensing,UGA,infra.connect,Infrastructure,Spectrum assignment and 5G licensing,a UCC spectrum award notice or a National Radio Frequency Plan,,
UGA-infra.store-data-centre-installed-capacity,UGA,infra.store,Infrastructure,National data-centre installed capacity,a UCC or NITA-U facility register with MW or rack counts,,
UGA-infra.energy-grid-power-at-backbone,UGA,infra.energy,Infrastructure,Grid power at national backbone sites,a NITA-U or energy-ministry statement of how many backbone points of presence are grid-connected,,
UGA-infra.capacity-ict-cybersecurity-workforce-baseline,UGA,infra.capacity,Infrastructure,National ICT and cybersecurity workforce baseline,"a UCC or NITA-U ICT skills survey, or a named certified-professional count",,
UGA-gov.protect-pdpo-action-election-period,UGA,gov.protect,Governance and regulation,PDPO action on election-period personal-data processing,"any data-protection decision, complaint-register entry or public statement on the January 2026 electoral processing",,
UGA-geopol.eu-eu-uganda-bilateral-digital,UGA,geopol.eu,Governance and regulation,EU-Uganda bilateral digital cooperation instrument,"a Global Gateway country package, an EU-Uganda digital memorandum, or a financing agreement naming Uganda",,
UGA-tech.industry-uganda-ict-sector-output,UGA,tech.industry,Artificial intelligence and the technology sector,Uganda ICT sector output and employment series,"a statistics-bureau or UCC sector statistic, or the ICT ministry's development-plan sector targets",,
UGA-capacity.literacy-digital-literacy-rate,UGA,capacity.literacy,Inclusion and capacity,National digital-literacy rate,a statistics-bureau or UCC household ICT survey reporting a digital-literacy or digital-skills rate,,
UGA-gov.legislate-startup-bill,UGA,gov.legislate,Governance,Startup Bill,"the bill's text or gazetted draft, an order paper or committee report placing it in Parliament, or a ministerial statement of its timetable",,
UGA-gov.legislate-ai-legal-framework,UGA,gov.legislate,Governance,Legal and regulatory framework for artificial intelligence,"an enacted statute, a gazetted regulation, or a named regulator with a mandate over artificial intelligence",2026-08-29,
UGA-tech.ai-automated-hiring-rules,UGA,tech.ai,Technology,Rules governing automated decisions in hiring,"a statute, labour-code provision, data-protection guidance note or regulator determination naming automated or algorithmic decisions in recruitment would settle it; probed 2026-09-08, a four-country comparative legal review finds none in the constitution, the labour code or the data-protection act",2026-09-08,absence
UGA-finance.sustain-fy2025-26-outturn,UGA,finance.sustain,Finance,Outturn against the 2025/26 digital appropriations,"The Annual Budget Performance Report for FY2025/26, printing releases and spending by department and project; only the semi-annual report is held for that year.",2026-09-25,acquisition
UGA-geopol.sovereignty-tahaluf-contract-terms,UGA,geopol.sovereignty,Geopolitics,"Operating, hosting and exit terms of the national identity system contract","Publication of NIRA's contract of 8 July 2024 with Tahaluf, or a NIRA or Auditor General statement, setting out who operates and hosts the system, what skills transfer it requires and on what terms it can be ended.",2026-09-25,absence
UGA-geopol.sovereignty-us-health-data-agreement,UGA,geopol.sovereignty,Geopolitics,Text of the December 2025 health data agreement with the United States,"Publication by either government of the data-sharing agreement signed on 10 December 2025, stating the systems covered, the access granted, jurisdiction over the data and the terms of exit.",2026-09-25,absence
