slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-31-dailynews-tanzania-somalia-egovernance-model,Somalia eyes Tanzania's e-governance model,Daily News (Tanzania),,2026-08-31,day,TZA; SOM,dpi.govtech; dpi.mis; gov.regional,government-of-tanzania; presidents-office-public-service-management-tanzania; office-of-the-prime-minister-somalia,,full,False,,396,2026-09-01,https://dailynews.co.tz/somalia-eyes-tanzanias-e-governance-model/
2026-08-30-somalia-payroll-nira-id-database-link,Somalia to Link Government Payroll System With National ID Database,Goobjoog News,,2026-08-30,day,SOM,dpi.id; dpi.exchange; dpi.govtech,nira-somalia; office-of-the-accountant-general-somalia; ministry-of-finance-somalia; national-civil-service-commission-somalia,,full,False,,287,2026-09-01,https://en.goobjoog.com/somalia-to-link-government-payroll-system-with-national-id-database/
2026-08-29-swalim-remote-sensing-service,Remote sensing,FAO SWALIM (Somalia Water and Land Information Management),,2026-08-29,day,SOM,data.satellite,fao-swalim,,excerpt,False,,584,2026-09-02,https://faoswalim.org/information-management/information-services/remote-sensing
2026-08-29-somalia-senate-cybersecurity-bill-first-reading,"Somalia Senate Holds First Reading of Cybersecurity, Meteorological Agency Bills",Dawan Africa,,2026-08-29,day,SOM,gov.legislate; infra.cybersec,somalia-cybersecurity-law; somalia-senate,,full,False,,147,2026-08-30,https://www.dawan.africa/news/somalia-senate-holds-first-reading-of-cybersecurity-meteorological-agency-bills
2026-08-29-somalia-mobile-data-prices-smartphone-financing,Somalia's Mobile Data Prices Rank Among Africa's Cheapest,Radio Dalsan,,2026-08-29,day,SOM,finance.new; infra.connect; include.access; gov.policy,hormuud-telecom; somtel; nca-somalia; itu,,full,False,,879,2026-09-01,https://radiodalsan.com/2026/08/29/somalia-mobile-data-prices/
2026-08-29-iso-somali-bureau-of-standards-member-record,ISO — SoBS — Somali Bureau of Standards,International Organization for Standardization (ISO),,2026-08-29,day,SOM,gov.standards,somali-bureau-of-standards,,full,False,,295,2026-09-02,https://www.iso.org/member/8867946.html
2026-08-29-dalkom-somalia-disaster-recovery,Disaster Recovery - Local And International | Dalkom Somalia,Dalkom Somalia,,2026-08-29,day,SOM,infra.store,dalkom-somalia,,full,False,,90,2026-09-02,http://www.dalkomsomalia.com/managed-national.php?id=186
2026-08-28-kazigo-tanzania-somalia-labour-digital-systems,Somalia Yakoshwa na Mifumo ya Kidijitali Sekta ya Kazi na Ajira,"President's Office - Labour, Employment and Youth, Tanzania",,2026-08-28,day,TZA; SOM,dpi.mis; dpi.govtech; gov.regional,pmo-labour-employment-tanzania; office-of-the-prime-minister-somalia; labour-market-information-system-tanzania; e-utatuzi-tanzania,,full,False,,348,2026-09-01,https://www.kazi.go.tz/news/somalia-yakoshwa-na-mifumo-ya-kidijitali-sekta-ya-kazi-na-ajira
2026-08-26-somalilandcurrent-credit-registry-ifc-worldbank,Somaliland Central Bank and IFC/World Bank Forge Path Forward on Credit Registry Project,Somaliland Current,,2026-08-26,day,SOM,dpi.registry; include.access,central-bank-of-somaliland; ifc; world-bank,,full,False,,205,2026-08-27,https://www.somalilandcurrent.com/somaliland-central-bank-and-ifc-world-bank-forge-path-forward-on-credit-registry-project/
2026-08-26-dawan-somalia-financial-inclusion-opinion,Opinion: Somalia's Financial Inclusion Story: Beyond Access to Economic Resilience,Dawan Africa,,2026-08-26,day,SOM,dpi.pay; include.access; gov.discourse,central-bank-of-somalia,,full,False,,1093,2026-08-27,https://www.dawan.africa/news/opinionsomalias-financial-inclusion-story-beyond-access-to-economic-resilience
