row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
SOM-tech.ai-ai-policy,SOM,tech.ai,Artificial intelligence and the technology sector,National artificial intelligence policy,"An adopted or draft national AI strategy, a ministerial mandate, or a government statement setting an AI position.",,not probed on this run; probe capped at four across the three units
SOM-data.satellite-earth-observation-or-geospatial-data-pro,SOM,data.satellite,Digital public infrastructure,Earth observation or geospatial data programme,"A national geospatial or earth-observation programme document, or an agency mandate covering satellite data.",,not probed on this run; probe capped at four across the three units
SOM-digital.rural-rural-digital-data-capture,SOM,digital.rural,Digital public infrastructure,Rural digital data capture,"A pastoralist, agricultural or rural registry, or a field data-collection programme covering rural populations.",,not probed on this run; probe capped at four across the three units
SOM-gov.discourse-public-debate-on-digital-policy,SOM,gov.discourse,Governance and regulation,Public debate on digital policy,"Published civil-society analysis, a parliamentary debate record, or a consultation response on a digital instrument.",,not probed on this run; probe capped at four across the three units
SOM-data.open-open-government-data,SOM,data.open,Governance and regulation,Open government data,"An open-data portal, a published dataset release policy, or an agency statement on publishing government data.",,not probed on this run; probe capped at four across the three units
SOM-capacity.literacy-digital-literacy-programmes,SOM,capacity.literacy,Inclusion and capacity,Digital literacy programmes,"A national digital literacy curriculum, campaign or programme document.",,not probed on this run; probe capped at four across the three units
SOM-finance.budget-domestic-budget-appropriations-for-the-d,SOM,finance.budget,Finance,Domestic budget appropriations for the digital sector,"The federal appropriation act or budget statement showing the votes for the communications ministry, the regulator and the identity authority.",,not probed on this run; probe capped at four across the three units
SOM-geopol.eu-european-union-digital-cooperation-with,SOM,geopol.eu,Governance and regulation,European Union digital cooperation with Somalia,"A Global Gateway or EU delegation announcement, a financing agreement, or a programme document naming Somalia beyond the innovation project already held.",,not probed on this run; probe capped at four across the three units
SOM-geopol.china-chinese-digital-cooperation-with-somalia,SOM,geopol.china,Artificial intelligence and the technology sector,Chinese digital cooperation with Somalia,"A bilateral agreement, vendor contract or financing arrangement naming Somalia.",,not probed on this run; probe capped at four across the three units
SOM-geopol.india-indian-digital-cooperation-with-somalia,SOM,geopol.india,Artificial intelligence and the technology sector,Indian digital cooperation with Somalia,"A bilateral memorandum, a line-of-credit agreement, or an India Stack or ITEC programme document naming Somalia.",,not probed on this run; probe capped at four across the three units
