title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Le fonds AfricInvest investit dans la société mauricienne Spoon Consulting,wearetech.africa,,2026-09-07,day,MUS,finance.new,africinvest; spoon-consulting,2026-09-08,https://www.wearetech.africa/fr/fils/breves/breves-simple/le-fonds-africinvest-investit-dans-la-societe-mauricienne-spoon-consulting,
«Road Traffic (Amendment) Bill» : Avinash Ramtohul : «Bâtir un avenir où les services publics suivent l'évolution technologique»,L'Express (Maurice),,2026-09-03,day,MUS,dpi.id; gov.legislate; dpi.govtech; dpi.pay,ministry-of-information-technology-communication-and-innovation-mauritius; government-of-mauritius,2026-09-05,https://lexpress.mu/s/avinash-ramtohul-batir-un-avenir-ou-les-services-publics-suivent-levolution-technologique-562186,
"PM unveils BOMStats, a new gateway to trusted, timely economic and financial data","Government Information Service, Mauritius",,2026-09-03,day,MUS,gov.standards; data.statistics; dpi.exchange,bank-of-mauritius; imf; african-development-bank,2026-09-04,https://gis.govmu.org/gis/?page_id=4008,
Bank of Mauritius expands access to official statistics with rollout of BOMStats platform,Bank of Mauritius,,2026-09-03,day,MUS,data.statistics; gov.standards; data.open; dpi.exchange,bank-of-mauritius; imf; african-development-bank,2026-09-07,https://www.bom.mu/media/media-releases/bank-mauritius-expands-access-official-statistics-rollout-bomstats-platform,
Virtual Reality in Primary Schools (VRPS),Mauritius Digital Promotion Agency,,2026-09-01,day,MUS,digital.rural,mauritius-digital-promotion-agency; ministry-ict-mauritius; ministry-of-education-mauritius; rodrigues-regional-assembly,2026-09-02,https://mdpa.govmu.org/mdpa/index.php/virtual-reality-in-primary-schools-vrps/,
Justice,Government of Mauritius,,2026-09-01,day,MUS,dpi.mis,judiciary-of-mauritius; supreme-court-of-mauritius; government-of-mauritius; investment-climate-facility-for-africa,2026-09-02,https://govmu.org/EN/infoservices/justiceanddefence/Pages/justice.aspx,
Digital Service Framework to strengthen Government digital services,"Government Information Service, Mauritius",,2026-09-01,day,MUS,gov.standards; dpi.govtech; infra.cybersec,government-of-mauritius,2026-09-01,https://gis.govmu.org/gis/?page_id=4022,
Computer Support (Central Backup Service),"Central Information Systems Division (CISD), Ministry of Information Technology, Communication and Innovation",,2026-09-01,day,MUS,infra.store,central-information-systems-division-mauritius; ministry-of-information-technology-communication-and-innovation-mauritius,2026-09-02,https://cisd.govmu.org/Pages/support.aspx,
Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026,
” We cannot purchase our way into becoming an AI nation”,Mauritius Times,,2026-08-31,day,MUS,tech.ai; gov.policy; include.access; dpi.govtech,ministry-of-information-technology-communication-and-innovation-mauritius; data-protection-office-mauritius; international-labour-organization,2026-09-01,https://www.mauritiustimes.com/mt/we-cannot-purchase-our-way-into-becoming-an-ai-nation/,
Saint-Brandon : L’île Raphaël se connecte à Internet,lexpress.mu,,2026-08-30,day,MUS,finance.new; infra.connect; include.divides,emtel; icta-mauritius; universal-service-fund-mauritius; ministry-of-information-technology-communication-and-innovation-mauritius,2026-09-01,https://lexpress.mu/s/lile-raphael-se-connecte-a-internet-562034,
EMTEL is awarded ICTA contract to bring internet connectivity to St. Brandon,Platform Africa,,2026-08-28,day,MUS,infra.connect,emtel; icta-mauritius; ministry-of-information-technology-communication-and-innovation-mauritius,2026-08-29,https://platformafrica.com/2026/08/28/emtel-is-awarded-icta-contract-to-bring-internet-connectivity-to-st-brandon/,
Délibérations du Conseil des ministres du 28 août 2026 - Maurice Info - Partager et informer en toute intégralité,Maurice Info - Partager et informer en toute intégralité - Partager et informer en toute intégralité,,2026-08-28,day,MUS,gov.standards; dpi.govtech; gov.regional; include.access,government-of-mauritius; sadc; world-trade-organization; economic-development-board-mauritius; mauritius-digital-service-framework,2026-09-01,https://maurice-info.mu/2026/08/28/deliberations-du-conseil-des-ministres-du-28-aout-2026.html,
FIFAfrica26 Is One Month Away – It's Time to Connect!,Collaboration on International ICT Policy for East and Southern Africa (CIPESA),,2026-08-28,day,MUS,gov.discourse,cipesa,2026-09-02,https://cipesa.org/2026/08/fifafrica26-is-one-month-away-its-time-to-connect/,
