row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
GNQ-data.open-portal,GNQ,data.open,Governance and regulation,National open data portal,"A government open-data portal or published open-data policy, or an official statement that none exists. The EITI reporting process is the only open-data commitment on the record.",,
GNQ-dpi.registry-address,GNQ,dpi.registry,DPI,National addressing,"A national addressing decree, a street-naming and numbering programme, or a postcode scheme filed with the postal union.",2026-09-04,
GNQ-include.access-refugee-framework,GNQ,include.access,Inclusion,Refugee legal framework,"A domestic refugee status determination law, an asylum procedure decree, or a registration and documentation instrument for refugees and asylum seekers.",2026-09-04,
GNQ-include.access-disability,GNQ,include.access,Inclusion,Disability rights framework,"A disability rights statute, an accessibility regulation, or a digital accessibility standard for public services.",2026-09-04,
GNQ-geopol.usa-engagement,GNQ,geopol.usa,Geopolitics,United States digital engagement,"A bilateral investment treaty, a development finance project, or a memorandum with a United States cloud or platform company.",2026-09-04,
GNQ-geopol.eu-engagement,GNQ,geopol.eu,Geopolitics,European Union digital cooperation,"A Global Gateway commitment, a country programme allocation, or a financing agreement naming Equatorial Guinea.",2026-09-04,
GNQ-finance.sustain-fy2025-investment,GNQ,finance.sustain,Finance,"FY2025 enacted budget, digital investment lines","The Ley de Presupuestos Generales del Estado 2025 volume with its Programa de Inversiones Públicas, read into the budget extract; FY2025 is held only from the comparator columns of the 2026 law.",2026-09-25,acquisition
GNQ-geopol.sovereignty-hosting-rule,GNQ,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"A decree, government cloud policy or implementing regulation of Ley 1/2016 fixing where state data is held and under whose law.",2026-09-25,absence
GNQ-geopol.sovereignty-id-hosting,GNQ,geopol.sovereignty,Geopolitics,Hosting and supplier of the national identity database,"A CNEDOGE, interior ministry or supplier statement naming where the identity and passport database is hosted and who built and maintains it.",2026-09-25,absence
GNQ-geopol.sovereignty-agreement-terms,GNQ,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the Huawei and BCN agreements","Publication of the December 2025 Huawei e-government memorandum or the February 2026 Backbone Connectivity Network agreement text.",2026-09-25,absence
