title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Câmara Municipal de Bissau anuncia para quarta-feira lançamento do projeto de Modernização e Transformação Digital da instituição,Agência de Noticias da Guine (ANG),,2026-09-07,day,GNB,digital.localgov; dpi.govtech,camara-municipal-de-bissau,2026-09-08,https://ang.gw/camara-municipal-de-bissau-anuncia-para-quarta-feira-lancamento-do-projeto-de-modernizacao-e-transformacao-digital-da-instituicao/,
COVID-19 exposed the global digital divide among adolescents in Guinea-Bissau,University of Iceland,,2026-09-03,day,GNB,include.divides; capacity.research,university-of-iceland; inep-guine-bissau; jean-piaget-university-bissau,2026-09-07,https://english.hi.is/news/covid-19-exposed-global-digital-divide-among-adolescents-guinea-bissau,
ISO - DSNPQ - Direction de Service de Normalisation et Promotion de la Qualité (Guinée-Bissau member organization record),International Organization for Standardization (ISO),,2026-08-27,year,GNB,gov.standards,iso; dsnpq-guinea-bissau,2026-08-27,https://www.iso.org/fr/organization/382301.html,
UN Treaty Body Database - Ratification status for Guinea-Bissau,Office of the United Nations High Commissioner for Human Rights (OHCHR),,2026-08-27,day,GNB,include.access; gov.protect,ohchr,2026-08-27,https://tbinternet.ohchr.org/_layouts/TreatyBodyExternal/Treaty.aspx?CountryID=72&Lang=EN,
"FAO GIEWS Earth Observation - Guinea-Bissau, Country Indicators",FAO Global Information and Early Warning System (GIEWS),,2026-08-27,day,GNB,data.satellite; data.open,fao,2026-08-27,https://www.fao.org/giews/earthobservation/country/index.jsp?code=GNB&lang=en,
Fonds pour la Transformation Digitale en Afrique de l'Ouest (FTD) - le site du programme BOAD/KfW,BOAD (Banque Ouest Africaine de Developpement) / KfW Entwicklungsbank,,2026-08-23,day,XWA; BEN; BFA; CIV; GNB; MLI; NER; SEN; TGO,dpi.govtech; finance.new; gov.regional; infra.cybersec,boad; kfw; waemu,2026-08-23,https://ftd.boad.org/,
UEMOA : deux visages pour un même marché numérique plein d'avenir,Sikafinance,,2026-08-21,day,GNB; CIV; SEN; BFA; BEN; MLI; NER; XWA,finance.new; infra.connect; gov.regional,internet-society,2026-08-23,https://www.sikafinance.com/marches/uemoa-deux-visages-pour-un-meme-marche-numerique-plein-d-avenir_63760,
Packet Clearing House Report on Internet Exchange Point Locations,Packet Clearing House (PCH),,2026-08-21,day,GNB,infra.connect,packet-clearing-house,2026-08-27,https://www.pch.net/ixp/summary,
Comunicacao Social/Construcao de visao comum sobre futuro dos media domina Forum China/Africa,Agencia de Noticias da Guine (ANG),,2026-08-21,day,GNB,geopol.china; gov.discourse; tech.ai,focac; union-africaine-de-radiodiffusion; national-radio-and-television-administration-china,2026-08-25,https://ang.gw/comunicacao-social-construcao-de-visao-comum-sobre-futuro-dos-media-domina-forum-china-africa/,
WATAF launches AfDB-financed US$5.3m project,In Profile Daily,,2026-08-20,day,XWA; BFA; GMB; GIN; GNB; LBR; SLE,finance.new; dpi.govtech; gov.regional,wataf; african-development-bank; ecowas,2026-08-23,https://inprofiledailynews.com/wataf-launches-afdb-financed-us5-3m-project/,
