indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
infra.connect--mobile-penetration,ICT Infrastructure,Connectivity,infra.connect,Mobile penetration,7
infra.connect--internet-usage,ICT Infrastructure,Connectivity,infra.connect,Internet usage,7
infra.connect--mobile-affordability,ICT Infrastructure,Connectivity,infra.connect,Mobile affordability,7
infra.connect--international-internet-bandwidth,ICT Infrastructure,Connectivity,infra.connect,International internet bandwidth,7
infra.store--local-data-centre-capacity-all-providers,ICT Infrastructure,Data Storage,infra.store,Local data centre capacity (all providers),1
infra.store--off-site-backup-capacity,ICT Infrastructure,Data Storage,infra.store,Off-site backup capacity,1
infra.energy--sufficient-energy-and-water-for-data-centres,ICT Infrastructure,Energy,infra.energy,Sufficient energy and water for data centres,1
infra.energy--grid-reliability,ICT Infrastructure,Energy,infra.energy,Grid reliability,1
infra.energy--rural-electrification,ICT Infrastructure,Energy,infra.energy,Rural electrification,1
infra.capacity--robustness-of-government-hardware-and-software,ICT Infrastructure,Technical Capacity,infra.capacity,Robustness of government hardware and software,1
