indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
dpi.registry--address-register,DPI,Registries,dpi.registry,Address register,8
dpi.registry--business-register,DPI,Registries,dpi.registry,Business register,8
dpi.registry--social-protection-register,DPI,Registries,dpi.registry,Social protection register,8
dpi.registry--electoral-register,DPI,Registries,dpi.registry,Electoral register,8
dpi.registry--tax-register,DPI,Registries,dpi.registry,Tax register,8
dpi.registry--land-register,DPI,Registries,dpi.registry,Land register,8
dpi.mis--education,DPI,Sectoral management information systems,dpi.mis,Education,2
dpi.mis--social-protection,DPI,Sectoral management information systems,dpi.mis,Social protection,2
dpi.mis--justice,DPI,Sectoral management information systems,dpi.mis,Justice,2
dpi.mis--customs,DPI,Sectoral management information systems,dpi.mis,Customs,2
dpi.mis--land,DPI,Sectoral management information systems,dpi.mis,Land,2
dpi.govtech--e-government-services,DPI,Other GovTech and e-Gov,dpi.govtech,e-government services,1
