indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
digital.localgov--ict-infrastructure-for-local-government,Digitalisation,Digitalisation of sub-national government,digital.localgov,ICT infrastructure for local government,1
digital.rural--digitalisation-of-rural-health-clinics,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural health clinics,1
digital.rural--digitalisation-of-rural-primary-schools,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural primary schools,1
digital.rural--digitalisation-of-rural-police-stations,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural police stations,1
tech.ai--use-of-ai-in-sectoral-management-information-systems,Technology,AI,tech.ai,Use of AI in sectoral management information systems,1
tech.ai--development-of-national-regional-ai-systems,Technology,AI,tech.ai,Development of national / regional AI systems,1
tech.ai--control-of-ai-abuse,Technology,AI,tech.ai,Control of AI abuse,1
capacity.literacy--digital-literacy-general-population,Capacity,Literacy,capacity.literacy,Digital literacy (general population),0
capacity.training--dt-related-training-in-secondary-education,Capacity,Training and skills,capacity.training,DT-related training in secondary education,3
capacity.training--dt-related-university-facilities-and-qualifications,Capacity,Training and skills,capacity.training,DT-related university facilities and qualifications,3
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,Capacity,Research institutions,capacity.research,Think tanks and academic departments contributing to DT policy,1
