indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
gov.legislate--ai-legislation-regulations,Governance,Legislation and regulation,gov.legislate,AI legislation / regulations,3
gov.legislate--e-commerce-legislation,Governance,Legislation and regulation,gov.legislate,E-commerce legislation,3
gov.legislate--statistics-legislation,Governance,Legislation and regulation,gov.legislate,Statistics legislation,3
gov.legislate--access-to-information-legislation,Governance,Legislation and regulation,gov.legislate,Access to information legislation,3
gov.protect--national-data-protection-readiness,Governance,Data protection,gov.protect,National data protection readiness,3
gov.regional--cross-border-data-transfers,Governance,Regional collaboration,gov.regional,Cross-border data transfers,2
gov.standards--national-interoperability-standards,Governance,Standards,gov.standards,National interoperability standards,2
gov.standards--adoption-of-international-standards,Governance,Standards,gov.standards,Adoption of international standards,2
gov.discourse--open-discussion-of-government-policy,Governance,Public debate and participation in policymaking,gov.discourse,Open discussion of government policy,1
finance.budget--sustainable-domestic-financing-of-digital-transformation,Finance,Domestic budget appropriations and expenditure,finance.budget,Sustainable domestic financing of digital transformation,1
finance.mou--strategic-relationships,Finance,MoUs and other agreements,finance.mou,Strategic relationships,0
finance.new--mobilisation-of-non-state-finance,Finance,New investments,finance.new,Mobilisation of non-state finance,1
