indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
include.access--citizen-feedback-portals,Inclusion,Access to services,include.access,Citizen feedback portals,1
include.access--citizen-participation-in-policy,Inclusion,Access to services,include.access,Citizen participation in policy,1
include.access--gender-equity,Inclusion,Access to services,include.access,Gender equity,1
include.access--inclusion-of-persons-with-disabilities,Inclusion,Access to services,include.access,Inclusion of persons with disabilities,1
include.access--inclusion-of-refugees-and-idps,Inclusion,Access to services,include.access,Inclusion of refugees and IDPs,1
data.statistics--national-strategy-for-development-of-statistics,Data,National statistics,data.statistics,National strategy for development of statistics,2
data.statistics--statistics-from-administrative-data,Data,National statistics,data.statistics,Statistics from administrative data,2
data.satellite--meteorological-use-of-satellite-data,Data,Use of satellite data,data.satellite,Meteorological use of satellite data,1
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,Geopolitics,US / hyperscaler activities,geopol.usa,"USA / hyperscaler MoUs, engagements and commitments",0
geopol.india--india-mous-engagements-and-commitments,Geopolitics,India activities,geopol.india,"India MoUs, engagements and commitments",0
