indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,"Mixed, a presidential directive to digitalise four named services against a strategy still pre-adoption and a service bus that has never operated","The President [directed all agencies to digitalise passports, identity cards, licences and procurement](2026-02-16 Malawi President orders digital revolution), while a [draft transformation strategy](2026-02-20 Malawi validates AI strategy, digital transformation policy - CAJ News Africa) is still in validation under the [2023-28 digitalisation policy](2026-05-20-local-authorities-ict-policy-dowa-malawi24).","The directive was given in the State of the Nation Address against a target of 80 per cent internet usage by 2026, with no baseline given against which it could be assessed ([directive](2026-02-16 Malawi President orders digital revolution)); of the four named services only public procurement is evidenced as delivered inside the window ([directive](2026-02-16 Malawi President orders digital revolution)).

A draft national digital transformation strategy went to a validation workshop in February 2026 and remains pre-adoption ([validation](2026-02-20 Malawi validates AI strategy, digital transformation policy - CAJ News Africa), [consultations](2025-09-25-national-ai-strategy-consultation-itweb)).

The 2023-28 policy remains the reference framework, with the e-government department under pressure to onboard all agencies onto the service bus intended to let ministries exchange data ([framework](2026-05-20-local-authorities-ict-policy-dowa-malawi24), [implementation](2026-01-13-ict-sector-2025-implementation-woes-times), [enforcement](2026-01-27-ict-sector-eyes-policy-enforcement-times)).",MWI-gov.policy-presidential-digitalisation-directive|MWI-gov.policy-national-digital-transformation-strategy|MWI-gov.policy-digitalisation-policy-2023-28
gov.policy--ai-strategy,Advanced,"A [draft National AI Strategy](2026-02-20 Malawi validates AI strategy, digital transformation policy - CAJ News Africa) has been through validation and a citizen-feedback portal, guided by a [readiness assessment](2026-07-24-malawi-strengthen-ai-ecosystem) validated in July 2026.","Regional consultative workshops began in September 2025 and a two-day validation workshop was held in Lilongwe in February 2026; the strategy is pre-adoption with no adoption date on record ([workshops](2025-09-25-national-ai-strategy-consultation-itweb), [validation](2026-02-20 Malawi validates AI strategy, digital transformation policy - CAJ News Africa), [assessment](2026-07-24-malawi-strengthen-ai-ecosystem)).

The readiness assessment was validated in July 2026 to guide it, finding gaps in policy, infrastructure, institutional capacity and education readiness, with 27.7 per cent of the population online against household computer ownership of 4.2 per cent ([readiness](2026-07-24-malawi-strengthen-ai-ecosystem)). It was run by the education ministry rather than the ICT ministry that owns the strategy ([regional framework](2026-06-26-itweb-sadc-regional-ai-strategy-regulatory-framework)).",MWI-gov.policy-national-ai-strategy|MWI-tech.ai-unesco-ai-readiness-assessment
gov.policy--broadband-strategy,Advanced,Spectrum licence fees were [cut by 20 per cent](2025-06-25-macra-spectrum-fees-cut-20pc-ecofin) and the regulator is building a [harmonised national broadband map](2026-08-25-itu-sub-saharan-broadband-push) under a regional project.,"The reduction across all bands followed review of the regulator's 2016 incentive pricing model; no fee schedule, gazette notice or statutory instrument is held, so the base amounts and the effective date are unknown ([reduction](2025-06-25-macra-spectrum-fees-cut-20pc-ecofin), [account](2025-06-26-macra-spectrum-fees-cut-20pc-techafricanews)). The minister told Parliament in July 2026 that the cut was 50 per cent ([reduction](2025-06-25-macra-spectrum-fees-cut-20pc-ecofin)); five contemporaneous accounts say 20 and no source records a second reduction ([parliament](2026-07-18-namalomba-parliament-new-operators-nyasatimes)).

The regulator hosted a five-day training at Lilongwe in August 2026 for broadband-mapping practitioners from four countries, under a 2025-2028 project to establish harmonised national broadband mapping in eleven sub-Saharan regulators ([mapping](2026-08-25-itu-sub-saharan-broadband-push)).",MWI-infra.connect-spectrum-fee-reduction|MWI-infra.connect-national-broadband-mapping
gov.legislate--data-protection-legislation,"Advanced, grace period elapsed","The [Data Protection Act 2024](2024-02-02-malawi-data-protection-act-2024) exempted most controllers for twenty-four months from commencement, and that exemption elapsed in early June 2026.","The Act commenced in June 2024 with the regulator designated data protection authority, and exempted controllers and processors not of significant importance from compliance for twenty-four months, so most of the economy sat outside its obligations ([Act](2024-02-02-malawi-data-protection-act-2024)).

The general exemption elapsed in early June 2026 so that all controllers and processors are now within scope, while the subsidiary instruments to operate registration and enforcement were still in draft ([compliance](2026-07-16-macra-data-protection-registration-compliance-malawi24), [terms of reference](2025-10-01-dmap-tor-operationalization-data-protection-authority)). The commencement day cannot be settled from this base: the circulating expiry date implies a 2 June 2024 commencement and the commencement notice is not held.",MWI-gov.legislate-data-protection-act-2024
gov.legislate--ai-legislation-regulations,Advanced,"An [AI Bill](2026-08-20-timesmw-malawi-government-eyes-ai-laws) is targeted to reach parliament before December 2026, and the [copyright body will not register wholly AI-generated works](2026-07-23-malawi24-cosoma-ai-music-rules).","The bill is announced as the statutory backing for the strategy, to establish a framework promoting innovation while safeguarding citizen privacy and ensuring operational accountability; the minister put the target at before December 2026, no draft text is stated, and the strategy it would ground is itself pre-adoption ([bill](2026-08-20-timesmw-malawi-government-eyes-ai-laws), [drafting](2026-08-10-malawi-drafts-ai-bill), [scope](2026-08-06-malawi-drafts-ai-bill-to-govern-public-sector-tech)).

The statutory copyright body will not register works created entirely by artificial intelligence or distribute royalties on them; the rule is known only as reported, with no test stated for how much assistance is admissible, and the body's own statement is not held ([rule](2026-07-23-malawi24-cosoma-ai-music-rules)).",MWI-gov.legislate-ai-bill|MWI-gov.standards-cosoma-ai-rule
gov.legislate--digital-payments-legislation,Advanced,"A [financial crimes amendment](2026-08-07-malawi-mps-digital-finance-reform-bills) removing all references to cheques passed Parliament in August 2026, one of four bills effecting the cheque phase-out.","The bill was passed alongside amendments to the payment systems and deposit insurance statutes, following a bills of exchange amendment that effects the phase-out ([bills](2026-08-07-malawi-mps-digital-finance-reform-bills)).

Assent, gazette date and commencement are not published, and the safeguarding regulations the finance minister promised are not drafted. A member warned that rural users risk being left behind by the switch away from cheques ([warning](2026-08-06-mcp-mp-warns-rural-malawi-risks-being-left-behind-in-switch-away-from-cheques)), and the base holds no primary for the discontinuation itself and no date for it.",MWI-gov.legislate-financial-crimes-amendment-2026
gov.legislate--legislation-enabling-data-interoperability,Advanced,"A proposed [government data sharing regulation](2026-06-11-government-data-sharing-regulation-boma-lathu-itweb) would route all data requests through the national data centre and require binding sharing agreements, and it is not made.","Ministries and agencies had been sharing citizen data by email, USB drive and paper, and the platform operated without binding rules ([regulation](2026-06-11-government-data-sharing-regulation-boma-lathu-itweb)).

The proposal would require encryption in transit and at rest, set a common digital standard for system-to-system exchange, and require binding data sharing agreements with usage limits and audit trails. No draft text is held, and the minister described a binding regulation as the missing piece in an account given during a vendor meeting abroad.",MWI-gov.legislate-data-sharing-regulation
gov.legislate--legislation-covering-digital-id,Advanced,The [National Registration Act is under review](2026-07-13 Malawi outlines plans to transition to digital IDs - CAJ News Africa) and [registration service fees were raised](2026-08-17-malawi-nrb-registration-fees-e-kyc) by regulations gazetted in July 2026.,"A consultative meeting under the acceleration project reviewed the registration Act and the marriage and family relations statute, the bureau stating the aim is a modern and secure civil registration and identification system; no bill, draft or timetable is on record ([review](2026-07-13 Malawi outlines plans to transition to digital IDs - CAJ News Africa)).

Amendment regulations gazetted on 31 July 2026 raised fees for identity card replacement, electronic know-your-customer verification, civil registration and marriage services; the individual levels and their previous values are not carried in the record held, so the size of the increase is not established, and the electronic verification charge is a charge on third parties for using the identity system ([fees](2026-08-17-malawi-nrb-registration-fees-e-kyc)).",MWI-gov.legislate-national-registration-act-review|MWI-dpi.id-registration-service-fees
gov.protect--data-protection-authority,Advanced,"The [authority now operates as a unit inside the regulator](2026-07-16-macra-data-protection-registration-compliance-malawi24) with a named head, [draft regulations and a registration fee schedule](2026-07-14-macra-data-protection-registration-fees-consultation-itweb) out for consultation, and [independence stated as intended](2026-03-26-world-bank-cybersecurity-data-protection-support-techafricanews).","The unit has a named head of data protection and a stated implementation framework, with no organogram, enforcement record or registration data published ([unit](2026-07-16-macra-data-protection-registration-compliance-malawi24)).

Draft regulations, guidelines and a turnover-based registration fee schedule ranging from MWK 50,000 for small and medium enterprises to MWK 7 million for the largest controllers of significant importance were published and consulted on before finalisation ([fees](2026-07-14-macra-data-protection-registration-fees-consultation-itweb)); no commencement date is on record ([fees](2026-07-14-macra-data-protection-registration-fees-consultation-itweb), [consultation](2026-07-16-macra-data-protection-registration-compliance-malawi24)).

The regulator states it intends to establish both the authority and the response team as independent institutions with donor technical assistance, with no legislative vehicle, timetable or funding model on record ([separation](2026-03-26-world-bank-cybersecurity-data-protection-support-techafricanews)); a consultancy to design the authority's structure was tendered in October 2025 with no award on file ([consultancy](2025-10-01-dmap-tor-operationalization-data-protection-authority)).",MWI-gov.protect-data-protection-authority|MWI-gov.protect-draft-data-protection-regulations|MWI-gov.protect-authority-cert-separation|MWI-capacity.training-data-protection-consultancy
gov.regional--regional-policy-collaboration,Advanced,"A delegation went to [Accra to structure digital-government cooperation](2026-08-25-malawi-ghana-digital-government-support-biometricupdate), the minister [urged regional artificial-intelligence investment priorities](2026-08-20-malawi-urges-comesa-to-target-ai-investments), and the [regulator opened talks with a development agency](2026-07-10-macra-undp-ai-digital-id-collaboration-itweb).","The Accra visit was to structure cooperation under which Ghana is to make more than a dozen technology companies available to help build systems and infrastructure, with Ghana's identity card cited as the reference implementation and Malawi bringing a high-coverage identity system, a data centre and a data exchange; no memorandum, budget or timetable is named ([visit](2026-08-25-malawi-ghana-digital-government-support-biometricupdate)).

At a regional workshop in Lilongwe the minister named agriculture, healthcare, climate resilience, education, financial services and regional trade as bloc investment priorities, framing connectivity, data quality, skills and cybersecurity policy as the precondition; no bloc decision, instrument or envelope follows it ([priorities](2026-08-20-malawi-urges-comesa-to-target-ai-investments)).

Regulator talks with a development agency named identity integration with SIM verification, responsible artificial intelligence, data protection and secondary-school skills as priorities, with no memorandum, funding figure or timetable ([talks](2026-07-10-macra-undp-ai-digital-id-collaboration-itweb)).",MWI-gov.regional-ghana-digital-government-cooperation|MWI-gov.regional-comesa-ai-investment|MWI-gov.regional-macra-undp-collaboration
