row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
SWZ-gov.policy-broadband-regulatory-strategy,SWZ,gov.policy,Governance,instrument,Broadband and broadcasting universal access strategy,"Discontinued, its period expired with no located renewal",2018-01-01,Covered 2018 to 2021,,Baseline not held,Not held,"The regulator's own strategy for 2018 to 2021 is the most substantive broadband instrument held, and it states that national broadband targets awaited a separate National Broadband Plan and Strategy, substituting SADC targets in the meantime; neither that plan nor a renewal is held",2018-01-01-esccom-uas-regulatory-strategy-broadband-broadcasting,,Held as an excerpt truncated within the strategic objectives
SWZ-gov.policy-central-bank-annual-integrated-reports,SWZ,gov.policy,Governance,instrument,Central bank annual integrated reports,Implemented,2026-01-01,Successor edition for 2025/26 acquired,,Advanced,The 2024/25 edition held,"Two consecutive annual integrated reports are now held, 2024/25 and 2025/26, giving the base the central bank's own account of the payment switch and its digital programme across two years rather than at second hand",2026-01-01-cbe-eswatini-annual-integrated-report-2025-26|2025-01-01-cbe-eswatini-annual-integrated-report-2024-25,,"the 2025/26 edition supersedes a payment-switch participation series the base carried from earlier reporting, which is the reason for holding both"
SWZ-gov.policy-digital-readiness-assessment,SWZ,gov.policy,Governance,instrument,Digital Readiness Assessment,Implemented,2024-11-01,Launched November 2024 by the ICT ministry with a development agency,,Baseline not held,No position held,"Published, placing the country at the systematic stage across all six pillars - digital public infrastructure, connectivity, government, regulation, economy and people - and finding only moderate political support for digitalisation despite a national strategy being in place",2024-11-01-eswatini-digital-readiness-assessment,,
SWZ-gov.policy-datapolicy,SWZ,gov.policy,Governance,instrument,National Data Governance Policy,In development,2026-08-10,"ICT minister told the Senate the policy is targeted for completion before end-2026, with government undecided between a standalone data-governance law and amendments to existing legislation",,Advanced,Being procured through a Smart Africa tender (2025-07),"Validated; targeted for completion before the end of the year, and drafted for 2027 to 2031 on a tell-government-once principle under which a citizen supplies information once and authorised institutions reach it when delivering a service",2026-07-27-eswatini-validates-national-data-governance-policy|2026-07-22-mchumanisi-data-exchange-platform|2026-04-30-eswatini-first-national-data-policy-workshop|2026-04-29-eu-eswatini-national-data-policy-support,,"Minister's completion target was stated as aspirational (hoping, planning) in Senate debate, not a statutory deadline."
SWZ-gov.policy-national-ict-policy,SWZ,gov.policy,Governance,instrument,National information and communication infrastructure policy,"Implemented, twenty years old",2006-08-01,Adopted by Cabinet August 2006,,Baseline not held,Not held,"The 2006 policy is the identifiable national ICT policy, with an implementation plan drafted for 2012 to 2016 and no located replacement; the ICT ministry's own report to Parliament for 2024/25 still runs against it",2006-08-01-swaziland-nici-policy-and-implementation-plan|2025-01-01-eswatini-mict-annual-performance-report-2024-25,,Held as an excerpt truncated partway through section 1.2
SWZ-gov.policy-science-technology-and-innovation-policy,SWZ,gov.policy,Governance,instrument,"Science, technology and innovation policy review and 4IR/5IR strategy",In development,2026-02-24,Stakeholder validation opened 2026-02-24,,Advanced,Did not exist,"The ICT ministry's research and innovation department opened stakeholder validation of a reviewed national science, technology and innovation policy together with a combined fourth and fifth industrial revolution strategy, presented as a re-engineering of national systems around a human-centred economy; neither document is held",2026-02-24-eswatini-mict-sti-policy-4ir-5ir-validation|2025-11-23-advancing-eswatinis-4ir-and-5ir-agenda-ministry-of-ict-collaborates-with-eseparc,,
SWZ-gov.legislate-access-to-information-bill,SWZ,gov.legislate,Governance,instrument,Access to Information Bill,Planned,2026-02-27,"A departmental action-plan item, not tabled",,No change,Named as an action-plan item and not tabled,Named as an action-plan item and not tabled,2026-02-27-eswatini-misa-engages-government-media-freedom|2025-01-01-eswatini-mict-annual-performance-report-2024-25,,A media-freedom body said in February 2026 it was on standby to support enactment; the ministry reaffirmed cooperation and made no enactment commitment
SWZ-gov.legislate-critical-infrastructure-protection-bill,SWZ,gov.legislate,Governance,instrument,Critical Infrastructure Protection Bill,In development,2026-02-26,"Bill No. 16 of 2025, resumed in the Senate 2026-02-26",,Advanced,Did not exist,"The Senate moved to suspend its standing orders and take the Bill at the stage it had reached in the preceding session, sponsored by the ICT minister; no Act, commencement or text is held",2026-02-26-eswatini-senate-order-paper-1-2026,,
SWZ-gov.legislate-bills,SWZ,gov.legislate,Governance,instrument,"Cybersecurity, critical infrastructure, e-commerce and AI legislation",Planned,2025-08-04,Named as forthcoming alongside the Mbabane smart-city deployment,,Advanced,Did not exist,Announced as forthcoming; no bill text or tabling date on file,2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g,2026-08-09,
SWZ-gov.legislate-electronic-communications-and-transactions-act,SWZ,gov.legislate,Governance,instrument,"Electronic Communications and Transactions Act, 2022",Implemented,2022-03-04,Act No. 3 of 2022,,Baseline not held,Not held,"The operative electronic-transactions statute, and the closest instrument to a legal basis for data exchange between public bodies; the base holds no Act creating an interoperability duty",2022-03-04-eswatini-electronic-communications-and-transactions-act-2022,,
