indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,,,,,,,,,2026-08-31,0,"Only a national digital council recommended; no strategy drafted or adopted on record, and no cited absence",
gov.policy--ict-strategy,2,MLI-gov.policy-mali-numerique-2020|MLI-dpi.govtech-agetic-digital-week,,,,,,,2026-08-31,0,Mali Numerique 2020 expired with no successor strategy adopted; only Digital Week recommendations taken by Council,
gov.policy--broadband-strategy,2,MLI-infra.connect-universal2030,,,,,,,2026-08-31,0,"2030 target with a roadmap drafted; updated universal-access strategy only recommended, no plan adopted",
gov.policy--data-storage-cloud-strategy,2,MLI-infra.capacity-datacentrecapacity|MLI-infra.store-datacentre,,,,,,,2026-08-31,0,National data centre in service; no adopted hosting or cloud policy located; data law only recommended,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,2026-08-31,0,Only recommendations and an intranet on record; no interoperability framework drafted or announced,
gov.policy--ai-strategy,,,,,,,,,2026-08-31,0,AI strategy recommended at the Semaine du Numerique; no draft or task force on record,
gov.policy--data-localisation-policies,,,,,,,,,2026-08-31,0,Data centre and data protection law held; no localisation rule on record,
gov.policy--data-governance-policy,,,,,,,,,2026-08-31,0,Data-management law only recommended; no data policy in drafting on record,
gov.policy--open-data-policy,2,MLI-data.open-portal,,,,,,,2026-08-31,0,Statistics institute licence and portal migration only; no open-data policy instrument held,
gov.legislate--data-protection-legislation,3,MLI-gov.protect-loi2013,,,,,,,2026-08-31,0,Law 2013-015 in force; no implementing regulations on record for stage 4,
gov.legislate--cybersecurity-legislation,3,MLI-gov.legislate-loi-2019-056-cybercriminalite,,,,,,,2026-08-31,0,Cybercrime law 2019-056 in force; agency creation only approved June 2026 and no regulations on record,
gov.legislate--legislation-covering-digital-id,3,MLI-dpi.id-nina|MLI-dpi.id-secure-biometric-national-identity-card,,,,,,,2026-08-31,0,NINA law 06-040 and decrees in force; grievance and oversight provisions not on record,
gov.legislate--digital-payments-legislation,,,,,,,,,2026-08-31,0,No payment-systems law or e-money regulation held; only a decree on digital payment of public-service dues,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-08-31,0,No instrument on public-body data sharing on record; customs pilot and e-transactions law do not place a rung,
gov.legislate--ai-legislation-regulations,2,MLI-tech.ai-niyel,,,,,,,2026-08-31,0,Regional AI governance guidelines without legal effect; no AI rule in law,
gov.legislate--e-commerce-legislation,3,MLI-gov.legislate-loi-2016-012-transactions-electroniques,,,,,,,2026-08-31,0,E-transactions law 2016-012 in force; no e-signature service or accredited provider on record,
gov.legislate--statistics-legislation,3,MLI-gov.legislate-loi-2016-005-statistiques-publiques,,,,,,,2026-08-31,0,Law 2016-005 in force; no independence or confidentiality provision extracted,
gov.legislate--access-to-information-legislation,3,MLI-gov.legislate-decret-03-580-relations-administration-usagers|MLI-data.open-portal,,,,,,,2026-08-31,0,No oversight mechanism or requests on record for stage 4,
gov.protect--data-protection-authority,3,MLI-gov.protect-apdp,,,,,,,2026-08-31,0,Authority operating with 1000+ files in session; no sanction or enforcement decision published,
gov.protect--national-data-protection-readiness,3,MLI-gov.protect-loi2013,,,,,,,2026-08-31,0,Law in force and authority operating; Guidelines' practices (impact assessments; breach notification) not on record,
gov.regional--regional-policy-collaboration,3,MLI-gov.regional-aes-dpa-roadmap|MLI-gov.regional-atu,,,,,,,2026-08-31,0,Active participation on record; no regional guidelines domesticated in more than one area,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-08-31,0,AES AI protocol only recommended; ECOWAS withdrawal leaves harmonisation unresolved,
gov.regional--shared-regional-infrastructure,,,,,,,,,2026-08-31,0,Only an AES frequency coordination agreement; no regional infrastructure project on record in these rows,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-08-31,0,Transfer provisions of law 2013-015 not extracted in the rows; no mechanism or decision on record,
gov.standards--national-interoperability-standards,,,,,,,,,2026-08-31,0,Standards agency held with no standard adopted; no interoperability standards on record,
gov.standards--national-quality-standards,2,MLI-gov.standards-amanorm,,,,,,,2026-08-31,0,Standards agency operating; no ICT or data quality standard adopted and no quality policy on record,
gov.standards--adoption-of-international-standards,2,MLI-gov.standards-amanorm|MLI-dpi.id-eaes,,,,,,,2026-08-31,0,ISO membership held with category not stated; ICAO passport specification the only adoption on record,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,2026-08-31,0,A CSO content-reporting app only; no consultation on a digital instrument on record,
gov.discourse--open-discussion-of-government-policy,2,MLI-gov.legislate-platformenforcement|MLI-include.access-main-news-source-shares,,,,,,,2026-08-31,0,Platform-content instruction and August cybercrime prosecutions of journalists on record,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,MLI-finance.budget-agefaubudget|MLI-finance.new-agefau,,,,,,,2026-08-31,0,Universal access fund budget and execution on record; its legal basis is not held,
finance.new--mobilisation-of-non-state-finance,1,,0,per cent of GDP,2026,outputs/non-state-finance/MLI-nonstate.csv@2025-11-01,,,2026-08-31,0,"1 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,3,,69.2,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-08-31,0,"on the compiler's modelled estimate (itu-sdg-5b1-mobile-ownership-10plus), no survey since 2019",
infra.connect--internet-usage,2,,36.8,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-08-31,0,"on the compiler's modelled estimate (itu-sdg-17-8-1-internet-use), no survey since 2019",
infra.connect--mobile-affordability,1,,9.38,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-08-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,2,MLI-infra.connect-moovfibre,,,,,,,2026-08-31,0,Operator fibre in six cities; national transport operator only recommended,
infra.connect--internet-exchange-points,2,MLI-infra.connect-internet-exchange-point,,,,,,,2026-08-31,0,IXP steering committee created by decree 2017; no exchange point in service on record,
infra.connect--satellite-broadband-licensing-and-availability,1,MLI-infra.connect-starlink,,,,,,,2026-08-31,0,Regulator enforces a ban on unlicensed satellite kits; Orange satellite backhaul is not user broadband,
infra.store--local-data-centre-capacity-all-providers,1,,0,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-08-31,,,2026-08-31,0,no multi-tenant data centre in service in Corpus's dataset of the 54,
infra.store--off-site-backup-capacity,,,,,,,,,2026-08-31,0,National data centre in service; no backup or recovery site on record,
