fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,Digital Governance and Identification Management System Project (PRODIGY),01-138-206,dpi.id,whole,external-loan,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",92407373000,46110800000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 79; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 342, ministère 01, programme 138, project 206, activity 70-111-001-A (EE-IDA), column Emprunt",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"IDA loan. The project's other line is a 10 grant, the next row. Programme 138's PIP external total equals its Annexe 4 Financement Extérieur in both volumes (96,536,383 and 48,022,246)."
2024,2024,line,Digital Governance and Identification Management System Project (PRODIGY),01-138-206,dpi.id,whole,external-grant,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",10000,5000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 79; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 342, project 206, activity 60-111-111-B (SUB-IDA), column Subvention",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"IDA grant line, printed at a token 10 and 5 thousand."
2024,2024,line,Programme Intégré de Croissance 3 - Développement du secteur numérique,21-013-263,tech.industry,whole,external-loan,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",69474488000,36888640000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 91; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 353, ministère 21, programme 013, project 263, activity 70-111-001-A (EE-IDA), column Emprunt",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"IDA loan in the finance ministry's administration programme. Programme 013's PIP external total equals its Annexe 4 Financement Extérieur in both volumes (394,966,017 and 215,781,084)."
2024,2024,line,Projet de renforcement de la gouvernance par la digitalisation,21-013-268,dpi.govtech,whole,external-grant,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",2780946000,1287386000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 91; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 353, programme 013, project 268, activity 60-180-180-A (SUB-BAD/FAT), column Subvention",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,African Development Fund grant.
2024,2024,line,Projet Mobil Banking,21-117-179,dpi.pay,whole,external-grant,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",10000,6000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 93; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 355, ministère 21, programme 117 Trésor, project 179, activity 60-202-202-A (SUB-AFD), column Subvention",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"AFD grant, printed at a token 10 and 6 thousand."
2024,2024,line,Connectivité numérique et énergétique pour l'inclusion à Madagascar (DECIM),51-203-C50,infra.connect,partial,external-loan,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",92851855000,91068830000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 122; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 385, ministère 51, programme 203, project C50 (LFI) / 199 (LFR), activity 70-111-001-A (EE-IDA), column Emprunt",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"IDA loan in the energy ministry's vote. Partial: the project finances digital connectivity and electricity access together and the volume prints no split. Programme 203's PIP external total equals its Annexe 4 Financement Extérieur (696,516,387 and 350,553,327)."
2024,2024,line,"Renforcement du système d'information, du suivi et évaluation (santé)",71-505-C45,dpi.mis,partial,external-grant,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",1376706000,637320000,"LFI 2024 Tome 2 Livre 2 Annexe 9 PIP, PDF p. 111; LFR 2024 Tome 2 Annexe 9 PIP, PDF p. 373, ministère 71, programme 505, project C45 (LFI) / 119 (LFR), activity 60-116-116-A (SUB-OMS), column Subvention",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,WHO grant. Partial: the project covers monitoring and evaluation as well as the information system.
2024,2024,line,TIC - Développement des réseaux d'accès aux TIC dans les zones rurales (external part),60-670-210,infra.connect,whole,external-loan,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",868431000,922216000,"LFR 2024 (Loi n° 2024-003), Tome 2 *Document budgétaire*, Annexe 4 *Prévision Dépenses*, columns LFI 2024 and LFR 2024, PDF p. 84, ministère 60, programme 210, Financement Extérieur / 70 EE; project 060 Modernisation du réseau de télécommunication, LFI 2024 PIP p. 133 and LFR 2024 PIP p. 395 (EE-CHINE)",2024-07-01-mdg-lfr-2024-tome-2-companion,2026-09-24,"Loan from China. The programme's domestic part (5,455,088 and 2,597,998) is the FY2024 domestic row."
2025,2025,line,Digital Governance and Identification Management System Project (PRODIGY),01-138-206,dpi.id,whole,external-loan,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",92276111000,,"LFI 2025 Tome 2 Annexe 9 PIP, PDF p. 348, ministère 01, programme 138, project 206, activity 70-111-001-A (EE-IDA), column Emprunt",2024-12-18-mdg-lfi-2025-tome-2-companion,2026-09-24,"IDA loan. Programme 138's PIP external total equals its Annexe 4 Financement Extérieur (130,193,808)."
2025,2025,line,Digital Governance and Identification Management System Project (PRODIGY),01-138-206,dpi.id,whole,external-grant,MGA,"thousands of ariary as printed; stored normalised to units (x1,000)",37917687000,,"LFI 2025 Tome 2 Annexe 9 PIP, PDF p. 348, project 206, activity 60-111-111-B (SUB-IDA), column Subvention",2024-12-18-mdg-lfi-2025-tome-2-companion,2026-09-24,"IDA grant; project total 130,193,798."
