row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
STP-data.open-none,STP,data.open,Governance and regulation,Open government data portal,A public-sector open-data portal or policy document.,,
STP-gov.policy-ai-strategy,STP,gov.policy,Governance,National AI strategy (Lei da Estrategia Nacional de IA),"A national AI strategy adopted by the Council of Ministers, or the Lei da Estrategia Nacional de IA UNESCO recommends.",2026-09-04,
STP-gov.legislate-access-to-information,STP,gov.legislate,Governance,Access to information statute,"An access-to-information statute creating a request procedure, deadlines, exemptions, appeal or an oversight body.",2026-09-04,
STP-gov.legislate-ai-law,STP,gov.legislate,Governance,AI-specific legislation or regulation,"An AI-specific law or regulation, or an instrument creating a national AI ethics body.",2026-09-04,
STP-infra.connect-ixp,STP,infra.connect,ICT Infrastructure,Internet Exchange Point,"A PeeringDB listing, an operator announcement or a regulator decision establishing an exchange point.",2026-09-04,
STP-dpi.registry-address-register,STP,dpi.registry,DPI,National address register,"Enactment of the postal base law, or any other instrument establishing a national address or postcode database.",2026-09-04,
STP-finance.sustain-fy2025-2026-digital-lines,STP,finance.sustain,Finance,"2025 and 2026 budgets, digital lines","The expenditure volumes of the approved OGE 2025 and of the 2026 budget under Lei n. 3/2026, read into the budget extract; only FY2024 is extracted.",2026-09-25,acquisition
STP-finance.sustain-digital-outturn,STP,finance.sustain,Finance,Outturn against the digital appropriations,"A budget execution report or Conta Geral do Estado for 2024 or 2025 giving execution by project and activity for the digital lines, read into the budget extract.",2026-09-25,acquisition
STP-finance.sustain-cbs-post-2027-financing,STP,finance.sustain,Finance,Financing of the central bank core banking system after project-paid support ends,A central bank budget or statement providing for the core banking system's licensing and support once the two years paid by the Institutional Capacity Building Project run out.,2026-09-25,absence
STP-geopol.sovereignty-hosting-rule,STP,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,A decree or government hosting policy giving force to INIC's position that vital state data and systems be hosted in national territory.,2026-09-25,absence
STP-geopol.sovereignty-vendor-contract-terms,STP,geopol.sovereignty,Geopolitics,"Data, portability and exit terms of the passport, payment-switch and civil-register agreements","Publication of the INCM passport contract, the SIBS Dobra24 supply contract, or the University of Aveiro and Camoes agreement for SIGA, with their data and exit clauses.",2026-09-25,absence
