indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,No change,"A [National Strategy for Digital Governance](2024-01-01 National Strategy for Digital Governance in São Tomé and Príncipe) adopted in 2020 runs on nine thematic axes, and a [Public Administration Reform Strategy](2025-06-18-ministra-justica-digitalizacao-setor-publico) approved in 2025 names electronic governance its essential pillar.","The digital governance strategy is a whole-of-government instrument on nine axes; the source page is undated and the year is taken from its context, so even the strategy's own date rests on inference ([strategy](2024-01-01 National Strategy for Digital Governance in São Tomé and Príncipe)).

The reform strategy was presented as newly approved in June 2025 with electronic governance named as its essential pillar ([reform](2025-06-18-ministra-justica-digitalizacao-setor-publico)).

Neither carries a target, budget, milestone or review published anywhere the base can reach, so what either instrument commits the state to is unstated.",STP-gov.policy-digital-governance-strategy|STP-gov.policy-par-strategy
gov.policy--ict-strategy,Advanced,A [revision of the regulatory framework](2025-09-17-world-bank-ajuda-memoria-stp-digital-setembro-2025) covering the regulatory entities law and the electronic communications law was approved by the Council of Ministers and sent to the National Assembly.,"The regulator's own statute was already approved, and the two laws went to the Assembly in 2025; no later source confirms parliamentary passage ([revision](2025-09-17-world-bank-ajuda-memoria-stp-digital-setembro-2025)).

The 2020 digital governance strategy remains the framing instrument, on nine thematic axes ([strategy](2024-01-01 National Strategy for Digital Governance in São Tomé and Príncipe)), and a published national data strategy joined it in July 2025 ([data strategy](2025-07-01-inic-sao-tome-estrategia-politica-governanca-de-dados)).

What is missing is the sector instrument between them: no ICT or broadband plan with targets, costings or a delivery timetable is held, and the two bills have sat with the legislature for a year with nothing published about their progress.",STP-gov.legislate-ager-revision
gov.policy--broadband-strategy,No change,No broadband strategy is held; the only dated instrument in the window is the regulator's [provisional authorisation of an IPTV service](2026-01-01-ager-autoriza-provisoriamente-cst-iptv-plataforma-cst-on) over the incumbent's platform.,"The regulator approved a resolution provisionally authorising the incumbent to carry IPTV over its own platform, stating the aim as developing and diversifying electronic communications services ([authorisation](2026-01-01-ager-autoriza-provisoriamente-cst-iptv-plataforma-cst-on)).

That is a service authorisation, not a plan for broadband coverage, targets or funding. No broadband strategy, national broadband plan or coverage target is published anywhere the base reaches, and the universal service instrument that would carry one dates from 2012 ([universal service](2012-08-20-sao-tome-decreto-lei-19-2012-servico-universal-telecomunicacoes)).",STP-gov.policy-cst-on-iptv
gov.policy--data-interoperability-framework-roadmap,No change,"A [national interoperability framework](2021-11-01-inic-sao-tome-quadro-nacional-interoperabilidade-qni-v01) has stood at draft version 0.1 since November 2021, with mandatory and recommended technical specifications and no later version held.","Version 0.1 was developed by two United Nations bodies in consultation with the identity institute and published on its portal, setting out scope, per-dimension policies, a compliance regime and technical specifications ([framework](2021-11-01-inic-sao-tome-quadro-nacional-interoperabilidade-qni-v01)).

A sectoral interoperability platform was delivered in the window: the electoral reform project presented a platform linking the civil registry databases to the electoral roll, built by a Portuguese university ([platform](2025-09-01-prese-nota-imprensa-recenseamento-eleitoral-automatico-interoperabilidade)).

So the framework a whole-of-government exchange would be built to remains a draft five years old, while the one working linkage was built to a project's own design.",STP-gov.policy-qni
gov.policy--ai-strategy,No change,There is [no national AI strategy](2025-01-01-unesco-sao-tome-ai-readiness-assessment-full-report); the readiness assessment puts approval of an AI law at 2027 or 2028 and rates it low priority against four legal updates it rates high.,"The assessment's roadmap puts approval of a National AI Strategy Law at 2027 or 2028 at low priority, arguing the instrument must be a law because personal-rights matters are reserved to the National Assembly, and rates four updates high priority for 2024 or 2025 instead: the data protection agency's 2017 organic law, the 2008 decree creating the innovation institute, the 2020 resolution adopting the digital governance strategy, and the statistics institute's capacity ([roadmap](2025-01-01-unesco-sao-tome-ai-readiness-assessment-full-report)).

The education minister's preface states the country is not prepared to implement artificial intelligence ethically, having neither a strategy nor an AI-specific law nor a national AI ethics commission ([preface](2025-01-01-unesco-sao-tome-ai-readiness-assessment-full-report)); a later country profile drawn from the same assessment restates the absence ([profile](2026-01-22-unesco-sao-tome-ai-ethics-governance-country-profile)).

What has happened instead is training: a two-day intensive on digitalisation and artificial intelligence for the public administration ran in April 2026, financed by a bilateral agency ([training](2026-04-22-rstp-pnud-capacitacao-digitalizacao-inteligencia-artificial)). Preparation is under way and the instrument is not.",STP-gov.policy-ai-strategy
gov.policy--data-localisation-policies,No change,"The identity institute states that hosting the country's vital systems [in national territory is an imperative of security and sovereignty](2026-01-01-inic-sao-tome-alojamento-web-soberania-territorio-nacional), and offers the hosting service itself.","The institute's own service page states the sovereignty position and adds that the personal data protection law restricts hosting personal information outside the country; it offers hosting to the whole public administration and invites private bodies to use it ([hosting](2026-01-01-inic-sao-tome-alojamento-web-soberania-territorio-nacional)).

That is a stated position and a service, not a binding localisation rule: the page is undated, no instrument setting a residency requirement is held, and the restriction it cites is a transfer condition in the data protection law rather than a localisation mandate.

The data protection authority named international data transfer among the priority themes of a new Lusophone regulators' network in August 2025, which is cooperation rather than a national rule ([network](2025-09-02-anpdp-primeiro-encontro-rede-lusofona-protecao-dados)).",STP-gov.policy-data-localisation
gov.policy--data-governance-policy,Advanced,"The identity institute published [version 1 of a national data strategy and roadmap](2025-07-01-inic-sao-tome-estrategia-politica-governanca-de-dados) in July 2025, and a [capacity building workshop](2026-07-13 D4D Hub on Sao Tome and Principe) on adopting the continental framework followed in July 2026.","The strategy sets objectives for responsible and ethical data use, data-based decision-making and an innovation-oriented culture, and treats artificial intelligence as an opportunity to be explored using public data rather than as anything in operation ([strategy](2025-07-01-inic-sao-tome-estrategia-politica-governanca-de-dados)).

The workshop ran over two days with a European development hub, a continental development agency and a regional civil-society network ([workshop](2026-07-13 D4D Hub on Sao Tome and Principe)).

A lender mission had reported the data strategy as remaining in draft ([mission](2025-09-17-world-bank-ajuda-memoria-stp-digital-setembro-2025)); a published version 1 is the movement. No adoption instrument, budget or implementation report follows either document.",STP-gov.policy-data-strategy|STP-gov.policy-audpf
gov.legislate--data-protection-legislation,No change,The [2016 personal data protection law](2016-05-10-sao-tome-lei-03-2016-proteccao-dados-pessoais) is in force and establishes the national authority; it is modelled on a European directive Europe itself replaced in 2018.,"The gazette text is now held: the law guarantees and protects the personal data of natural persons and establishes the national personal data protection agency as supervisory authority ([law](2016-05-10-sao-tome-lei-03-2016-proteccao-dados-pessoais)). The capture is truncated inside Artigo 45, so the later articles are not readable here.

A secondary legal survey records the modelling on the superseded European directive and the penalties, and remains the only source describing the regime's operation ([survey](2024-01-01 São Tomé and Príncipe - Digital Regulations in the Metaverse Era (Data))).

Modelling on a directive replaced in 2018 is the substantive point: the regime the authority enforces is a generation behind the standard its cooperation partners work to.

The country is a signatory to the continental cyber and data convention, with ratification status not stated ([convention](2024-01-01 São Tomé and Príncipe - Digital Regulations in the Metaverse Era (Data))).",STP-gov.legislate-data-protection-law|STP-gov.protect-malabo-convention
gov.legislate--cybersecurity-legislation,No change,"A [2017 cybercrime statute](2017-10-06-sao-tome-lei-15-2017-lei-sobre-cibercrime) creates the computer-crime offences, sets the procedural powers for electronic evidence and requires a 24-hour police contact point.","Artigo 1 states that the law establishes substantive and procedural criminal provisions and provisions on international cooperation relating to cybercrime and the collection of electronic evidence, adapting domestic law to the international conventions ([statute](2017-10-06-sao-tome-lei-15-2017-lei-sobre-cibercrime)).

It creates offences of computer forgery, damage to programs or data, computer sabotage, illegal access, illegal interception and illegitimate reproduction of a protected program, and requires the judicial police to keep a permanent international cooperation contact point ([statute](2017-10-06-sao-tome-lei-15-2017-lei-sobre-cibercrime)).

A national cybersecurity strategy for 2024 to 2028 exists in draft and went to public consultation in September 2025 ([consultation](2025-09-01-ager-sao-tome-consulta-publica-estrategia-nacional-ciberseguranca)); the statute is in force and the strategy is not.",STP-gov.legislate-cybercrime-law
gov.legislate--legislation-covering-digital-id,No change,"An [aggregated identification document law](2025-09-17-world-bank-ajuda-memoria-stp-digital-setembro-2025) was flagged as urgent by a lender mission in 2025, its absence stated as a potential constraint on data collection, and no later source confirms passage.","The mission flagged review, public consultation, finalisation and approval as urgent ([law](2025-09-17-world-bank-ajuda-memoria-stp-digital-setembro-2025)).

A year later nothing records movement. The foundational digital identity it would govern has live prototypes and a system integrator engaged, so the build is running ahead of the statute — the same order this frame finds in most units.",STP-gov.legislate-identification-law
gov.legislate--digital-payments-legislation,Advanced,"The [2018 payment system law](2018-09-07-sao-tome-lei-17-2018-sistema-nacional-de-pagamentos) is in force, a [new central bank organic law](2025-06-05-sao-tome-lei-3-2025-lei-organica-do-bcstp) replaced the 1992 statute in 2025, and the [2026 budget law caps cash payments](2026-03-23-sao-tome-lei-3-2026-orcamento-geral-do-estado) at 10,000 dobras.","The payment system law applies to payment systems and providers operating in the country, makes the central bank regulator and overseer, and carries a chapter on electronic funds transfers between individuals, commercial entities and financial institutions ([law](2018-09-07-sao-tome-lei-17-2018-sistema-nacional-de-pagamentos)).

The 2025 organic law sets the bank's attributions to regulate and oversee payment systems and to license and supervise financial institutions ([organic law](2025-06-05-sao-tome-lei-3-2025-lei-organica-do-bcstp)).

Article 9 of the 2026 budget law prohibits taxpayers with organised accounting from making or receiving cash payments of 10,000 dobras or more and requires a means identifying the payee, with cash spending above the limit not tax-deductible ([budget law](2026-03-23-sao-tome-lei-3-2026-orcamento-geral-do-estado)). That is the first instrument in this base compelling electronic settlement rather than enabling it.",STP-gov.legislate-payment-system-law|STP-dpi.pay-bcstp-organic-law|STP-dpi.pay-cash-payment-cap
