indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,No change,"A [Digital Economy Strategic Framework 2024-2034](2026-01-22-digital-economy-1bn-gdp-2034) opened its implementation year, and the base holds no dated 2025 progress position against any of its targets.","Targets were restated at an annual conference in January 2026, and the framework is held as stated intent only ([framework](2026-01-22-digital-economy-1bn-gdp-2034)).

The sector's contribution to gross domestic product carried into that restatement is a 2022/23 figure carried forward, with nothing dated 2025 or 2026 on file ([contribution](2026-01-22-digital-economy-1bn-gdp-2034)).

A ten-year framework whose headline economic measure is three years stale at its own implementation launch is the position, and it is the frame for the delivery counted below.",TZA-tech.industry-digital-economy-strategic-framework|TZA-tech.industry-ict-sector-contribution-gdp
gov.policy--data-governance-policy,No change,"A [National Data Management Framework](2025-08-29-tanzania-ukinara-usimamizi-data) was reported at stakeholder stage with completion targeted for January 2026, and eleven months have passed with nothing later on file.","It is positioned within a continental data policy framework ([framework](2025-08-29-tanzania-ukinara-usimamizi-data)).

Nothing has entered the base since August 2025. The country has a data protection Act in force and an active commission, so what is missing is the management layer above them rather than the protection layer itself.",TZA-gov.policy-data-management-framework
gov.policy--ai-strategy,Stalled,"A [national artificial-intelligence strategy or guidelines](2026-07-30-mwananchi-maeneo-manne-wataalamu-tehama-ictc) missed a stated 2025 release, with government still drafting, and [health-data localisation and approval conditions](2026-07-31-tanzania-ai-drive-in-healthcare-amid-data-privacy-push) were asserted at a conference before any national instrument exists.","An archives officer told a training event that government is still drafting guidelines, and an external outlook the same day placed the country among states still developing strategies; the sources name guidelines and a strategy separately and the base does not establish whether they are the same object ([drafting](2026-07-30-mwananchi-maeneo-manne-wataalamu-tehama-ictc), [outlook](2026-07-30-cipit-east-african-ai-policy-outlook-report), [path](2025-07-29-tanzania-charts-path-responsible-ai)).

Health-data localisation and approval conditions for artificial intelligence were stated at a university health conference in July 2026: a sectoral permissioning claim arriving before any national instrument, with no instrument and no named approving authority, and a dedicated regulator called for from the floor rather than announced ([health](2026-07-31-tanzania-ai-drive-in-healthcare-amid-data-privacy-push)).

Sectoral permissioning asserted ahead of the national rule is how the gap is being filled in practice.",TZA-tech.ai-ai-strategy-or-guidelines|TZA-gov.policy-health-data-localisation-approval
gov.standards--national-quality-standards,Advanced,A [digital trust initiative](2026-08-09-tanzania-digital-trust-forum-tppa-launch) was launched at an inaugural forum by a private-sector-founded body naming public regulators as partners.,"No constitution, funding, membership list or statement of the regulators' role in it is held ([initiative](2026-08-09-tanzania-digital-trust-forum-tppa-launch), [sandbox](2026-08-08-tanzania-digital-trust-initiative-launch-sandbox)).

A private body naming regulators as partners, with no published account of what that partnership commits either side to, is worth recording as exactly that.",TZA-gov.policy-digital-trust-initiative
gov.legislate--e-commerce-legislation,Advanced,"The [Electronic Transactions Act was amended by the Finance Act 2026](2026-06-30-tanzania-finance-act-2026), and a [review of more than 1,000 laws](2026-08-12-tanzania-review-1000-laws-attract-tech-investment) was announced with no list, sequencing, responsible body or timetable.","Section 13 of the Act was amended on 30 June 2026; the land, building and motor-vehicle requirement is a substantive obligation in its own right and is not part of the scheduled transaction classes the separate order lists ([amendment](2026-06-30-tanzania-finance-act-2026)).

The thousand-law review was announced in August 2026 with nothing stated about scope, sequencing, responsible body, timetable or consultation route ([review](2026-08-12-tanzania-review-1000-laws-attract-tech-investment)).

Distinguishing the Act amendment from the order made under it matters: secondary accounts treat the mandatory-payment regime as regulations, and it is neither.",TZA-gov.legislate-electronic-transactions-act-amendment|TZA-gov.legislate-review-of-laws-for-technology-investment
gov.legislate--data-protection-legislation,No change,"The [Personal Data Protection Act, 2022](2026-02-09 Notification obligations arising from personal data breaches in Tanzania) commenced in May 2023 with regulations in force, and practitioners record that key terms remain undefined and there is no adequacy mechanism for cross-border transfers.","Practitioners record that security breach and without undue delay remain undefined, that there is no adequacy mechanism for cross-border transfers, and that there is no duty to notify data subjects ([Act](2026-02-09 Notification obligations arising from personal data breaches in Tanzania)).

Those three gaps bear directly on the rest of this unit: the identity register connects to more than 138 institutions, the social-media tax-credential rule publishes trader identifiers, and the financial consumer-protection regulations cross-reference this Act as their data basis.",TZA-gov.protect-personal-data-protection-act
gov.protect--data-protection-authority,Advanced,"The commission issued a [seven-day completion ultimatum](2026-06-12-wananchi-waonywa-kutoa-taarifa-binafsi) on registration and officer duties, and launched a [certified data-protection officer programme](2026-07-14 OUT, PDPC Launch National Data Protection Programme) with the open university.","Inspections were announced to begin in April 2026 and the ultimatum followed in June; the base holds no count of registered controllers and no inspection outcome, fine or enforcement decision after that start date ([ultimatum](2026-06-12-wananchi-waonywa-kutoa-taarifa-binafsi), [inspections](2026-02-12-pdpc-to-begin-data-protection-inspections-april)).

The officer programme is the capacity answer to the statutory mandatory-officer duty, with no intake number, fee or first cohort date on file ([programme](2026-07-14 OUT, PDPC Launch National Data Protection Programme)).

An inspection regime announced, an ultimatum issued and no outcome published is the enforcement position here.",TZA-gov.protect-registration-data-protection-officer|TZA-gov.protect-certified-data-protection-officer
gov.protect--national-data-protection-readiness,Advanced,"[39,117 numbers were blocked](2026-08-14-tanzania-39000-numbers-blocked-fraud-tcra) for registration fraud against 56 incident reports to the police — blocking is not prosecution.","The regulator gave full-year and quarterly enforcement figures to parliament in August 2026 ([enforcement](2026-08-14-tanzania-39000-numbers-blocked-fraud-tcra), [joint response](2026-08-11-tanzania-mobile-fraud-tcra-telecoms-joint-response), [fraud](2026-07-13-nyuma-ya-pazia-utapeli-mtandaoni)).

Fifty-six incident reports stand against 39,117 numbers blocked ([figures](2026-08-14-tanzania-39000-numbers-blocked-fraud-tcra)), and no conviction or restitution figure is held. Administrative disconnection in those numbers, with prosecution three orders of magnitude below it, is the shape of enforcement rather than a gap in reporting.",TZA-infra.cybersec-sim-registration-fraud-enforcement
gov.discourse--open-discussion-of-government-policy,Regressed,An influencer sued a platform company alleging government-directed account suspensions ([suit](2026-09-01-techcabal-tanzania-kimambi-sues-meta)).,"An activist and social-media influencer sued a platform company in the United States, alleging her accounts were disabled at the government's direction ([suit](2026-09-01-techcabal-tanzania-kimambi-sues-meta)). The allegation is untested and the base holds no government response.

No gazetted instrument, directive or regulator order for the shutdown is held; the record is third-party monitoring only, and the monitor states its counts are subject to revision ([shutdown](2026-03-01 Rising Repression Meets Global Resistance Internet Shutdowns in 2025), [integrity](2026-03-05 Safeguarding Tanzania's information integrity), [economy](2026-06-09-tanzania-getting-online-digital-economy-igp-report)).

Licensed online content outlets fell on the regulator's quarterly count to June 2026 ([licences](2026-08-19-thecitizen-tanzania-online-content-licensing-decline)).

A civil-society study measures online gendered violence against election candidates across cycles; the base holds no regulator, electoral-commission or platform figure for the same phenomenon, so it is the only measurement on file and it is the researcher's own ([violence](2026-08-18-pollicy-cost-of-candidacy-ogbv-elections)).",TZA-gov.policy-election-period-internet-shutdowns|TZA-gov.discourse-licensed-online-media|TZA-gov.discourse-election-online-gendered-violence|TZA-gov.discourse-platform-account-suspension-suit
gov.regional--regional-policy-collaboration,Advanced,Somalia sent a delegation to study the labour digital systems and is seeking the wider e-governance model ([visit](2026-08-28-kazigo-tanzania-somalia-labour-digital-systems)).,"A Somali government delegation studied the labour and employment digital systems in Dodoma on 28 August 2026 ([visit](2026-08-28-kazigo-tanzania-somalia-labour-digital-systems)), and Somalia is seeking to learn from the public-service digitalisation experience more broadly ([report](2026-08-31-dailynews-tanzania-somalia-egovernance-model)).

The consultations were held in February 2026; no adoption date, text or national ratification step is on file and the source is held as an excerpt ([strategy](2026-03-31 EAC moves to create unified AI Sovereignty bloc)).

The pipeline consultancy was tendered in August 2026 under a European and regional programme; the record is a procurement notice, so it fixes the consultancy stage and nothing about any project it may prepare ([pipeline](2026-08-05-eac-dpi-consulting-ostafrika-giz-bmz-tender)).

The country is consulting on a regional artificial-intelligence strategy while its own has missed its release date.",TZA-gov.regional-eac-regional-ai-strategy|TZA-dpi.govtech-eac-deep-dpi-pipeline|TZA-gov.regional-somalia-knowledge-exchange
gov.regional--shared-regional-infrastructure,Advanced,"A [twenty-year Zanzibar broadband agreement](2026-06-25-yas-zictia-expand-broadband-zanzibar) was signed, ten months after the [same agency signed an unpriced memorandum](2025-08-19-airtel-tanzania-zictia-broadband-zanzibar) with another operator that produced nothing on file.","Nothing is on record being built under the twenty-year agreement and no first-phase start date is held ([agreement](2026-06-25-yas-zictia-expand-broadband-zanzibar), [memorandum](2025-08-19-airtel-tanzania-zictia-broadband-zanzibar)).

The earlier memorandum covered broadband, digital inclusion and public services and produced nothing on file ([earlier](2025-08-19-airtel-tanzania-zictia-broadband-zanzibar)).

One agency, two operators, one priced and one not, and no build under either — which is why the priced agreement is recorded as planned rather than as delivery.",TZA-infra.connect-zanzibar-broadband-partnership|TZA-finance.mou-zanzibar-broadband-memorandum-with
finance.budget--sustainable-domestic-financing-of-digital-transformation,No change,"The [communications vote fell 24 per cent year on year](2026-04-30-tz-hotuba-bajeti-mawasiliano-2026-27), and the whole reduction is external finance — domestic development finance is unchanged.","Estimates were presented to Parliament in April 2026 ([estimates](2026-04-30-tz-hotuba-bajeti-mawasiliano-2026-27), [vote](2026-04-30-tza-2026-68), [forward](2026-04-30-tza-2027-68)).

That the entire fall sits in external finance while the domestic line holds is the finding, and it is the opposite of the pattern most units in this frame show, where the domestic share shrinks.",TZA-finance.budget-domestic-state-appropriation-digital
finance.new--development-partner-project-financing,Advanced,"A [US$150m digital project](2021-05-27-wb-tza-001-digital-tanzania-project) scheduled to close in 2026 has no closure, disbursement figure or completion report on file, and a [US$170m concessional loan](2026-08-23-moef-korea-edcf-159th-committee-tanzania-ai-institute) was approved for an artificial-intelligence training institute.","The digital project was board-approved in 2021 covering broadband, digital government, digital financial services and digital skills. It is the largest single commitment in the base and nothing marks its closure ([project](2021-05-27-wb-tza-001-digital-tanzania-project)).

The loan was approved at a lender's 159th management committee in August 2026; it is an approval rather than a signature or a disbursement, and no site, intake, curriculum or completion date is stated ([approval](2026-08-23-moef-korea-edcf-159th-committee-tanzania-ai-institute), [loan](2026-08-25-south-korea-loan-ai-digital-training-tanzania), [committee](2026-08-23-edcf-tza-ai-digital-training-institute-2026-tanzania-ai-institute)).

The lender's own press release is in the base and is not citable, so the approval reaches this report through secondary accounts.",TZA-finance.new-digital-tanzania-project|TZA-finance.new-artificial-intelligence-training-institute-loan|TZA-finance.new-ai-and-digital-technology-training-institute-loan
finance.new--mobilisation-of-non-state-finance,Advanced,"A [US$25m credit facility extendable to US$50m](2026-05-29-nala-raises-50m-payment-rails) was announced for payment rails, and [startups raising disclosed funding](2026-02-03-disrupt-africa-african-tech-startups-funding-report-2025) fell on an annual tracker.","The facility is debt rather than equity; the base's prior record for the same company is a different instrument, and no local-currency figure is published ([facility](2026-05-29-nala-raises-50m-payment-rails)).

The startup count comes from a third-party tracker of disclosed rounds only, with both ends from the same report ([startups](2026-02-03-disrupt-africa-african-tech-startups-funding-report-2025)).

The leading operator reported network investment and coverage at its annual general meeting; those are the operator's own figures, not a regulator series ([operator](2026-08-21-tra-vodacom-tanzania-10th-agm)).",TZA-finance.new-payment-rails-credit-facility|TZA-tech.innovate-startups-raising-disclosed-funding|TZA-infra.connect-leading-operator-network-investment
finance.mou--strategic-relationships,Advanced,"[Three bilateral cooperation tracks](2026-07-17-tza-brazil-poland-wsis-mous) were opened in one week with no signed instrument, and a [digital economy memorandum](2026-07-24-tanzania-huawei-mou-uchumi-wa-kidijitali-na-ubunifu) was signed with a Chinese vendor.","Cooperation frameworks with three states were agreed at an international summit, memoranda proposed and none signed; no signed instrument, amount or timetable is held for any of the three ([tracks](2026-07-17-tza-brazil-poland-wsis-mous), [frontier](2026-07-20-tza-russia-tech-frontier)).

The vendor memorandum was signed in Shanghai by the ministry's permanent secretary and witnessed by the minister; no commitment amount, term or financing structure is stated in the ministry's own release, and device manufacture is placed inside a vendor memorandum rather than an industrial policy ([memorandum](2026-07-24-tanzania-huawei-mou-uchumi-wa-kidijitali-na-ubunifu)).

Putting domestic device manufacture inside a supplier agreement rather than a policy instrument is the substantive point.",TZA-finance.mou-bilateral-digital-cooperation-tracks|TZA-finance.mou-digital-economy-memorandum-with
infra.connect--mobile-penetration,"Mixed, fifth-generation facilities up 139 per cent while the smartphone user count fell quarter on quarter","[Fifth-generation facilities rose 139 per cent](2026-06-18-nationwide-5g-rollout-gains-momentum) from 754 in June 2024 with data consumption up from 426 to 932 petabytes, while the [smartphone user count fell](2026-06-10-telecom-infrastructure-5g-expansion-low-smartphone) quarter on quarter as the percentage rose.","The regulator's quarterly report to March 2026 carries the facilities and consumption figures ([deployment](2026-06-18-nationwide-5g-rollout-gains-momentum), [expansion](2026-06-10-telecom-infrastructure-5g-expansion-low-smartphone)).

The smartphone user count fell quarter on quarter while the percentage rose and the base does not reconcile the two; the regulator names low smartphone penetration and a 23.7 per cent geographic broadband gap as sector challenges ([smartphones](2026-06-10-telecom-infrastructure-5g-expansion-low-smartphone)).

Active subscriptions and penetration come from the regulator's own quarterly report for the quarter to June 2026, now held first-hand ([subscriptions](2026-08-10-tcra-communications-sector-performance-report-quarter-ending-june-2026), [report](2026-08-17-dailynews-tanzania-tcra-communications-sector-report-june-2026), [regional](2026-08-03-eaco-regional-communications-sector-statistics-report-2025)).",TZA-infra.connect-5g-deployment|TZA-infra.connect-smartphone-users-penetration|TZA-infra.connect-active-mobile-subscriptions
infra.connect--national-fibre-backbone,Advanced,The prime minister committed to further national backbone investment and higher rural fund allocations ([statement](2026-08-27-ippmedia-tanzania-rural-telecom-pm-statement)).,"The prime minister committed to continued investment in the communications sector, including strengthening the national backbone and raising funding for the rural communications fund ([statement](2026-08-27-ippmedia-tanzania-rural-telecom-pm-statement)). No amount or route length is stated.

A contradiction between three figures is resolved: 16,280 km is the planned total, 13,820 km the length laid at April 2025, and 15,167 km the length at December 2025 ([backbone](2026-05-13-tz-minister-statement-wtisd-2026)); the ""over 15,000 km"" quoted at an international summit in July 2026 is that December figure, correctly stated ([backbone](2026-05-13-tz-minister-statement-wtisd-2026), [budget](2025-05-16-tz-hotuba-bajeti-mawasiliano-2025-26), [zanzibar](2026-08-24-tanzania-mwinyi-ttcl-zanzibar-connectivity), [sector](2026-04-10-communications-sector-surges-400pc)).

It is built as a state network: the regional manager states phase one connected government offices and public institutions, with individual citizens only next. A backbone user figure for one region was given to the minister and no national connected-user total is held ([users](2026-07-24-mwananchi-kairuki-mkongo-wa-taifa-dodoma)).

A cross-border terrestrial link was launched in July 2026 with no capacity, cost or financing stated, and its relation to a 2025 connection is unreconciled ([link](2026-07-29-kenya-and-tanzania-launch-terrestrial-fiber-link-connection)).",TZA-infra.connect-ict-broadband-backbone|TZA-infra.connect-backbone-users-connected-dodoma|TZA-infra.connect-kenya-border-terrestrial-fibre|TZA-infra.connect-national-backbone-investment
infra.connect--international-internet-bandwidth,Advanced,"A [submarine cable](2025-11-12-tanzania-kilimanjaro-one-submarine-cable) was announced in November 2025 with no construction start, contractor or cost confirmed since, and [cables and landing stations](2026-04-10-communications-sector-surges-400pc) are counted on two unreconciled bases.","The cable announcement has produced nothing further in the base ([cable](2025-11-12-tanzania-kilimanjaro-one-submarine-cable)).

Cables and landing stations are not the same unit and nothing in the base reconciles the two counts, one from the regulator to December 2025 and one from a ministerial statement at an international summit ([cables](2026-04-10-communications-sector-surges-400pc), [summit](2026-07-24-tanzania-mafanikio-akili-unde-ai-waico-2026-shanghai)).",TZA-infra.connect-kilimanjaro-one-submarine-cable|TZA-infra.store-international-submarine-cables-landing
