indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,NAM-infra.store-digital-strategy,,,,,,,2026-08-31,0,"Strategy published August 2025, text not held; no costed plan or progress report on record",
gov.policy--ict-strategy,3,NAM-infra.connect-ministry-strategic-plan-2025-2030,,,,,,,2026-08-31,0,Policy adopted on launch reporting; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,3,NAM-gov.policy-national-broadband-policy,,,,,,,2026-08-31,0,Broadband policy gazetted 2020; no funding cited against it or progress reported on its targets,
gov.policy--data-storage-cloud-strategy,2,NAM-infra.store-public-data-centre,,,,,,,2026-08-31,0,National data centre still planned in the 2026/27 budget; no hosting policy adopted,
gov.policy--data-interoperability-framework-roadmap,2,NAM-dpi.exchange-government-interoperability-framework,,,,,,,2026-08-31,0,Framework drafted 2016 on the Estonian model; never gazetted or adopted,
gov.policy--ai-strategy,2,NAM-gov.policy-artificial-intelligence-strategy,,,,,,,2026-08-31,0,Strategy in development under advisory committees; not adopted,
gov.policy--data-localisation-policies,2,NAM-gov.policy-cloud-computing-determination,,,,,,,2026-08-31,0,Residency rule binds banks only; no category-based instrument for state data,
gov.policy--data-governance-policy,,,,,,,,,2026-08-31,0,No national data policy in drafting on record; rows show sectoral statistics instruments and the data protection bill only,
gov.policy--open-data-policy,2,NAM-data.open-spatial-data-geoportal,,,,,,,2026-08-31,0,Agency portals publish data with no government-wide open data policy behind them,
gov.legislate--data-protection-legislation,2,NAM-gov.legislate-data-protection-bill|NAM-gov.legislate-data-protection-bill-latest-draft,,,,,,,2026-08-31,0,Bill drafted and not tabled; no statute in force,
gov.legislate--cybersecurity-legislation,2,NAM-gov.legislate-cybercrime-bill,,,,,,,2026-08-31,0,Cybercrime bill being finalised; no draft published or tabled,
gov.legislate--legislation-covering-digital-id,3,NAM-dpi.registry-civil-registration-identification-act-13,,,,,,,2026-08-31,0,Act assented December 2024; commencement not established and no data protection law in force,
gov.legislate--digital-payments-legislation,3,NAM-dpi.pay-payment-system-management-act-14|NAM-gov.legislate-payment-service-provider-licensing-determination,,,,,,,2026-08-31,0,Act in force and licensing determination effective 2026; no licences issued or interoperability rules on record,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-08-31,0,E-transactions and e-signature instruments and a PKI are held; none permits data sharing between public bodies,
gov.legislate--ai-legislation-regulations,,,,,,,,,2026-08-31,0,AI law only announced as following the strategy; no gap analysis or consultation and no cited absence row,
gov.legislate--e-commerce-legislation,3,NAM-gov.legislate-electronic-transactions-act-2019,,,,,,,2026-08-31,0,Electronic Transactions Act in force since 2021; consumer provisions and accreditation acts not on record here,
gov.legislate--statistics-legislation,3,NAM-gov.legislate-statistics-act-2011,,,,,,,2026-08-31,0,Act constitutes the agency; independence and confidentiality provisions not shown in the rows,
gov.legislate--access-to-information-legislation,3,NAM-data.open-access-information-statute-information-commissioner,,,,,,,2026-08-31,0,Act 8 of 2022 enacted but not commenced; commissioner recruitment opened February 2026,
gov.protect--data-protection-authority,,,,,,,,,2026-08-31,0,Authority exists only in an unenacted draft bill; no statutory provision or ministry unit on record,
gov.protect--national-data-protection-readiness,2,NAM-gov.legislate-data-protection-bill|NAM-gov.legislate-data-protection-bill-latest-draft,,,,,,,2026-08-31,0,Bill drafted and not tabled; no law or authority,
gov.regional--regional-policy-collaboration,,,,,,,,,2026-08-31,0,Bilateral memoranda with Angola and Botswana only; no regional or continental policy process or membership on record here,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-08-31,0,Regulators' committee met in Windhoek; no REC model law referenced in a draft or domesticated,
gov.regional--shared-regional-infrastructure,2,NAM-infra.connect-regional-subsea-satellite-integration-agreement,,,,,,,2026-08-31,0,Angola subsea and satellite integration agreement signed June 2026; not yet in service,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-08-31,0,Malabo ratified but no transfer rules shown in a bill or law,
gov.standards--national-interoperability-standards,2,NAM-dpi.exchange-government-interoperability-framework,,,,,,,2026-08-31,0,Interoperability framework drafted 2016; no standards catalogue published,
gov.standards--national-quality-standards,2,NAM-gov.standards-standards-act-2005|NAM-gov.standards-national-standardisation-strategy,,,,,,,2026-08-31,0,Standards body active; no ICT or data quality standards or national quality policy on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-08-31,0,ISO 20022 payments migration and a PKI held; no ISO membership or national adoption of standards on record,
gov.discourse--non-governmental-contribution-to-national-policy,2,NAM-gov.discourse-published-draft-consultation-record-data,,,,,,,2026-08-31,0,Ad hoc consultation on the 2022 data protection draft; no standing mechanism on record,
gov.discourse--open-discussion-of-government-policy,3,NAM-gov.discourse-cybercrime-bill-regional-consultations|NAM-gov.discourse-published-draft-consultation-record-data,,,,,,,2026-08-31,0,Access to Information Act not commenced; no proactive disclosure regime in force,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,NAM-finance.new-universal-service-levy|NAM-finance.new-universal-service-fund,,,,,,,2026-08-31,0,Universal service levy in regulations and fund operating on the regulator's own annual report,
