row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
GHA-infra.connect-ngic-exclusive-wholesale-5g-licence,GHA,infra.connect,Infrastructure,instrument,NGIC exclusive wholesale 5G licence,Discontinued,2026-07-15,"Exclusivity provision deleted, effective 2026-07-15",,Implemented,2025-08-01,Closed,"Sole licensed wholesale 5G operator, having already missed its June 2025 launch deadline",Exclusivity deleted by regulator amendment under the licence and the Electronic Communications Act; the rest of the licence and the spectrum assignment retained,2026-07-17-ghana-ends-ngic-exclusive-5g-licence|2026-08-04-ghana-5g-spectrum-deadline-extended,,the objection was heard and overruled on the record
GHA-infra.connect-shared-5g-wholesale-network,GHA,infra.connect,Infrastructure,instrument,Shared 5G wholesale network,Implemented,2026-03-03,Activated March 2026,,In development,2025-08-01,Advanced,"Licensed but not launched, with a June 2025 launch deadline missed","Ghana's first shared 5G wholesale network live, its operator demoted from sole wholesaler to one participant",2026-03-03-ngic-activates-first-shared-5g-network-graphic|2026-08-04-ghana-5g-spectrum-deadline-extended,,
GHA-infra.connect-5g-spectrum-request-for-applications,GHA,infra.connect,Infrastructure,instrument,5G spectrum request for applications,In development,2026-08-04,Submission deadline moved to 2026-08-27,,,,Advanced,Did not exist,"Eleven lots across 700 MHz, 2.3 GHz and 3 GHz on a US$230m aggregate reserve and 15-year licences, amended in seven places by a consolidated response of 2026-07-31; no award made",2026-07-31-nca-ghana-5g-rfa-consolidated-response|2026-07-16-nca-ghana-rfa-5g-spectrum-licences|2026-08-04-ghana-5g-spectrum-deadline-extended,,"whether the dominant operator applied, and at what price, is not established"
GHA-infra.connect-significant-market-power-spectrum-premium,GHA,infra.connect,Infrastructure,instrument,Significant-market-power spectrum premium,Implemented,2026-07-31,"Recharacterised in writing as a price, not a remedy",,Implemented,2026-07-16,Advanced,Did not exist,"A 40% uplift on the dominant operator's 700 MHz and 3 GHz reserve prices, applied to the reserve only and not to bid ranking, with the regulator declining to publish its valuation model during a live assignment",2026-07-31-nca-ghana-5g-rfa-consolidated-response|2026-07-16-nca-ghana-rfa-5g-spectrum-licences,,stated to depend on no finding of contravention
GHA-infra.connect-seventy-per-cent-population-coverage-obligat,GHA,infra.connect,Infrastructure,instrument,Seventy per cent population coverage obligation,Implemented,2026-07-31,Extension refused outright,,Planned,2026-02-25,Advanced,Did not exist,"A licence condition on every 5G licensee to reach 70% of the total population on or before 2027-03-06 against the 2021 census, with a 90%-of-locality verification rule, confirmed band- and technology-neutral",2026-07-31-nca-ghana-5g-rfa-consolidated-response|2026-02-25-5g-by-2027-government-directive-graphic,,the regulator concedes an incumbent meets it in substantial part from existing deployment
GHA-infra.connect-rural-coverage-schedule-for-the-dominant-ope,GHA,infra.connect,Infrastructure,instrument,Rural coverage schedule for the dominant operator,Implemented,2026-07-31,Rewritten from licence-relative years to fixed dates,,Implemented,2026-07-16,"Regressed, milestones pushed out",Did not exist,"40% of the rural population by 2029-12-01, 60% by 2032-12-01 and 80% by 2035-12-01, technology-neutral and non-retrospective",2026-07-31-nca-ghana-5g-rfa-consolidated-response,,rewritten so that buying spectrum does not accelerate an existing commitment
GHA-infra.connect-mtn-ghana-capital-programme,GHA,infra.connect,Infrastructure,instrument,MTN Ghana capital programme,Implemented,2026-07-31,First half-year accounts published,,Implemented,2025-08-01,Advanced,US$1bn over five years,"US$1.1bn equivalent over 2026 to 2028, with a first tranche of US$380m for 2026",2026-02-23-mtn-ghana-mupita-visit-11bn-three-year-capex|2026-07-31-scancom-plc-mtn-ghana-h1-2026-financial-report|2026-05-19-mtn-ghana-30th-anniversary-380m-2026-tranche,,"the US$1bn figure of July 2026 is a restatement of the retired five-year pledge, not a second programme"
GHA-infra.connect-mtn-ghana-capital-expenditure,GHA,infra.connect,Infrastructure,measure,MTN Ghana capital expenditure,,2026-06-30,Half-year accounts to 30 June 2026,,,,Regressed,,"GHS 2,100.4m combined capital expenditure, down 36.3% on a restated GHS 3,298.7m, with intensity falling from 29.1% to 14.0%",2026-07-31-scancom-plc-mtn-ghana-h1-2026-financial-report,,"roughly US$185m at the report's own June 2026 rate, against a stated US$380m 2026 tranche"
GHA-infra.connect-cell-site-build-for-2026,GHA,infra.connect,Infrastructure,measure,Cell-site build for 2026,,2026-04-11,Announced by the minister 2026-04-11,,,,Advanced,223 new sites a year on the ten-year average,"1,150 new sites planned for 2026 across two operators",2026-04-11-1150-cell-site-rollout-myjoy|2026-02-23-mtn-ghana-mupita-visit-11bn-three-year-capex,,"no delivery figure against the 1,150 has been published as at 2026-08-05"
GHA-infra.connect-annual-fibre-cuts,GHA,infra.connect,Infrastructure,measure,Annual fibre cuts,,2026-05-18,Industry association figure,,,,Regressed,"About 400 cuts a year in the early fibre-deployment years, undated","Over 8,000 cuts a year, with one sabotage and roadworks episode disrupting 157 sites",2026-05-18-ghana-digital-backbone-under-strain-graphic|2026-04-18-mtn-fibre-cable-sabotage-157-sites-myjoy,,"the earlier baseline is an undated early-years figure, not a 2025 measurement"
GHA-infra.connect-dig-once-policy,GHA,infra.connect,Infrastructure,instrument,Dig Once policy,In development,2026-08-05,"Draft finalised, cabinet approval pending",,,,Baseline not held,,"Draft framework finalised with the roads ministry and implementation targeted for the third quarter of 2026; no cabinet decision, instrument or commencement on record",2026-05-14-dig-once-policy-fibre-cost-cut-myjoy|2026-05-18-ghana-digital-backbone-under-strain-graphic,,claimed to cut fibre rollout cost by up to 60%
GHA-infra.connect-satellite-licensing-framework,GHA,infra.connect,Infrastructure,instrument,Satellite licensing framework,Implemented,2025-09-24,Operating since end-August 2024,2024-08-22,,,No change,"Licensed and operating, framework in force","29 satellite licences issued, eleven of them last-mile; nothing published on the framework since",2024-08-22-ghana-nca-starlink-starts-operations-end-august-2024|2025-09-24-ghana-nca-itu-satellite-internet-connectivity-statistics,,
GHA-infra.connect-satellite-internet-subscriptions,GHA,infra.connect,Infrastructure,measure,Satellite internet subscriptions,,2025-06-30,Regulator presentation to the ITU,,,,Advanced,"11,982 in the first quarter of 2025","15,384 in the second quarter of 2025, from 2,666 before satellite licensing",2025-09-24-ghana-nca-itu-satellite-internet-connectivity-statistics,,no Ghanaian satellite-subscription figure published for any quarter after mid-2025
GHA-infra.connect-ghana-burkina-faso-frequency-coordination-ag,GHA,infra.connect,Infrastructure,instrument,Ghana-Burkina Faso frequency coordination agreement,Implemented,2025-08-21,Finalised at a bilateral meeting,,,,Advanced,No agreement with Burkina Faso,"Coordination agreement finalised with agreed cross-border signal-strength thresholds, in response to consumer interference complaints",2025-08-21-ghana-burkina-interference-frequences-transfrontalieres,,nothing on file since on the thresholds set or compliance with them
GHA-infra.connect-transfer-of-the-country-code-domain-to-state,GHA,infra.connect,Infrastructure,instrument,Transfer of the country-code domain to state control,Planned,2026-01-22,Announced by the minister January 2026,,,,Advanced,Privately managed since 1996; no transfer proposed,"Transfer to a state domain registry announced, with automatic assignment to newly registered businesses; no instrument, date or transfer step on record",2026-01-22 Ghana to take state control of .GH domain to strengthen digital identity,,
GHA-infra.connect-regulator-quarterly-telecom-statistics,GHA,infra.connect,Infrastructure,instrument,Regulator quarterly telecom statistics,"Implemented, published about eight months in arrears",2025-05,Third-quarter 2024 bulletin published May 2025,,,,No change,"The July to September 2024 bulletin the latest issue, published about eight months after the quarter","Still the latest issue held; it records 38.47m mobile voice subscriptions at 116.84% penetration, 25.56m mobile data subscriptions, one operator on 75.09% of the market and fixed broadband down 6.83% in the quarter to 216,143",2025-05-01-nca-ghana-quarterly-statistical-bulletin-q3-2024,,"the penetration rate exceeds 100% because it counts subscriptions, not people"
GHA-infra.store-digital-realty-accra-data-centre,GHA,infra.store,Infrastructure,instrument,Digital Realty Accra data centre,Implemented,2025-11-04,Inaugurated late 2025,,,,Advanced,Did not exist,"Commissioned at up to 1.7 MW IT load and 500 racks, carrier-neutral and connected to a subsea landing",2025-11-04 Digital Realty Expands African Footprint With New Data Center in Ghana (ACR2)|2025-10-31-digital-realty-opens-accra-data-center-graphic,,the two held accounts date it a month apart
GHA-infra.store-africa-data-centres-accra-facility,GHA,infra.store,Infrastructure,instrument,Africa Data Centres Accra facility,In development,2026-08-05,No dated status since the 2023 announcement,2023,,,No change,"Announced at 10 MW initial capacity expandable to 30 MW on about US$100m of equity and development finance, construction due 2024","Unchanged; the first phase was due within 12 to 18 months of a 2024 start and no operational date, delay or cancellation is on file",2023-01-01-adc-gha-accra-acc1-2023-africa-data-centres-ghana-accra-acc1,,the whole record is a 2023 press release
GHA-infra.store-agility-logistics-park-data-centre-campus,GHA,infra.store,Infrastructure,instrument,Agility Logistics Park data-centre campus,Implemented,2026-07-28,"Listed among Africa's largest facilities, July 2026",,,,Baseline not held,,"30 MW of committed IT capacity, designed for expansion to 150 MW",2026-07-28-africa-data-centre-capacity-500mw-890mw-pipeline,,"the country's largest facility by committed capacity, known only from a regional trade round-up with no Ghanaian primary"
GHA-infra.store-national-data-centre,GHA,infra.store,Infrastructure,instrument,National Data Centre,Implemented,2026-07-29,Modernisation stated at the AI summit,,,,Baseline not held,,"Being modernised to support AI workloads; no capacity, location, cost, contractor or timetable stated",2026-07-30-ghana-10-year-ai-implementation-roadmap,,one sentence in one source is the entire holding on the state's own data centre
GHA-infra.store-national-ai-compute-centre,GHA,infra.store,Infrastructure,instrument,National AI Compute Centre,Planned,2026-07-29,Reaffirmed at the AI summit,,,,Advanced,Did not exist,"US$250m announced by the President at the 2026-04-24 strategy launch, the larger of two dollar commitments totalling US$270m made that day; no site, operator, procurement route or date",2026-04-25-president-unveils-270m-national-ai-strategy-graphic|2026-07-30-ghana-10-year-ai-implementation-roadmap,,"a UNESCO official called unfunded, unexecuted AI strategies shell documents from the same platform; clarified 2026-08-05 - the US$270m is not the strategy's envelope but this US$250m plus a separate US$20m implementation allocation, and neither is the strategy's own GHS 5bn National AI Fund"
GHA-infra.cybersec-financial-industry-security-operations-centr,GHA,infra.cybersec,Infrastructure,instrument,Financial Industry Security Operations Centre,"Implemented, expansion incomplete",2026-07-22,Full fintech onboarding still an open recommendation,,,,Baseline not held,,Expansion to all financial institutions including fintechs and microfinance announced in March 2026; four months later a digital-economy forum still lists complete onboarding as a recommendation,2026-03-26-bog-cyber-information-security-directive-myjoy|2026-07-22-joynews-digital-economy-forum-communique,,the same body is named two ways across the two accounts
GHA-infra.cybersec-joint-cyber-security-committee,GHA,infra.cybersec,Infrastructure,instrument,Joint Cyber Security Committee,Implemented,2026-07-22,Named as the apex coordination mechanism,,,,Baseline not held,,"Eighteen institutions, chaired by the cyber-security authority",2026-07-22-joynews-digital-economy-forum-communique,,"no terms of reference, membership list, meeting cadence or output held"
GHA-infra.cybersec-critical-information-infrastructure-designat,GHA,infra.cybersec,Infrastructure,instrument,Critical information infrastructure designation,Planned,2026-03-26,"Announced as forthcoming, March 2026",,,,Advanced,Did not exist,"The communications minister says all central-bank-licensed entities will soon be designated critical information infrastructure; no instrument, date or designation list published",2026-03-26-bog-cyber-information-security-directive-myjoy,,
GHA-infra.cybersec-commercial-ai-driven-security-operations-cen,GHA,infra.cybersec,Infrastructure,instrument,Commercial AI-driven security operations centre,Implemented,2026-08-05,Launched 2025-05-09,2025-05-09,,,No change,Operating from May 2025 as a commercial AI-driven security and digital-forensics centre,"Unchanged; no client count, throughput or incident figure published since launch",2025-05-09-ghana-largest-ai-driven-security-centre-graphic,,the largest-in-Africa claim is the operator's own
GHA-infra.cybersec-community-media-cyber-capability-project,GHA,infra.cybersec,Infrastructure,instrument,Community media cyber capability project,Implemented,2026-08-03,Launched 2026-08-03,,,,Advanced,Did not exist,"Foreign-embassy funded and implemented with the cyber-security authority, training and certifying community-radio journalists into a standing press corps",2026-08-03-ghana-national-community-media-cyber-capability-project|2026-08-04-journalists-join-ghanas-cybercrime-fight,,"no cohort size, budget or duration published"
GHA-infra.cybersec-cross-network-mobile-money-fraud-monitoring,GHA,infra.cybersec,Infrastructure,instrument,Cross-network mobile-money fraud monitoring,Planned,2026-08-03,The dominant operator says it is working toward it,,,,Advanced,Did not exist,"A centralised real-time layer able to block suspicious transfers as they move between networks, described as under discussion and nothing built",2026-08-03-ghana-mtn-stakeholders-cross-network-momo-fraud|2026-07-23-ghana-payment-providers-silos-weaken-fraud-fight-boffour,,"no operator, funder or timetable named"
GHA-infra.cybersec-cybersecurity-act-2020,GHA,infra.cybersec,Infrastructure,instrument,Cybersecurity Act 2020,Implemented,2020-12-29,Assented 2020-12-29,,,,No change,"In force as the cybersecurity statute, text not held","Unchanged; the text is now held - it establishes the Cyber Security Authority and a Cybersecurity Fund, provides for designation, registration and compliance audit of critical information infrastructure, and licenses cybersecurity service providers",2020-12-29-ghana-cybersecurity-act-2020-act-1038|2026-07-01-bank-of-ghana-digital-credit-services-faqs,,"the Act provides for licensing and accreditation of cybersecurity service providers; no licence register, designation list or enforcement record is held"
GHA-infra.cybersec-national-computer-emergency-response-team,GHA,infra.cybersec,Infrastructure,instrument,National computer emergency response team,Implemented,2021-10-02,RFC 2350 profile v2.0 published 2021-10-02,,,,No change,Operating as a unit of the cyber-security authority,"Unchanged; a 24-hour incident-response service with a constituency of eight sectoral response teams and the general public, affiliated to the Budapest Convention",2021-10-02-cert-gh-rfc-2350-profile|2026-03-26-bog-cyber-information-security-directive-myjoy,,the profile is five years old and records its own policies as under review; no incident statistics or annual report is held
GHA-infra.energy-data-centre-power-arrangements,GHA,infra.energy,Infrastructure,instrument,Data-centre power arrangements,Not held,2026-08-05,Probed 2026-08-05; no facility-level arrangement published,,,,Baseline not held,,"No power purchase, tariff or on-site generation arrangement is published for any named Ghanaian facility; an analyst brief puts national installed capacity at about 6 GW of which roughly half reaches the end user, electricity at about US$0.12 per kWh and independent producers at more than 60% of capacity (2024 estimates)",2025-07-01-xalam-d4d-data-centre-market-brief-ghana-2025|2026-07-28-africa-data-centre-capacity-500mw-890mw-pipeline,,the country-level power figures are an analyst's modelled estimates; nothing facility-specific is published
