slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-31-techafricanews-senegal-gambia-digital-cooperation,"Senegal and Gambia Advance Digital Cooperation on Connectivity, Cybersecurity",Tech Africa News,,2026-08-31,day,SEN; GMB,gov.policy; infra.connect,,,full,False,,174,2026-08-31,https://techafricanews.com/2026/08/31/senegal-and-gambia-advance-digital-cooperation-on-connectivity-cybersecurity/
2026-08-29-senegal-gambie-feuille-route-numerique-commune,Sénégal-Gambie : Dakar et Banjul mettent en chantier une feuille de route numérique commune,Digital Magazine Burkina,,2026-08-29,day,SEN; GMB,gov.regional; infra.cybersec; gov.legislate,gambia-ministry-communications-digital-economy,,full,False,,688,2026-08-30,https://digitalmagazine.bf/2026/08/29/senegal-gambie-dakar-et-banjul-mettent-en-chantier-une-feuille-de-route-numerique-commune/
2026-08-27-wearetech-senegal-gambie-cooperation-numerique-quatre-priorites,Senegal-Gambie : la cooperation numerique se concretise autour de quatre priorites,wearetech.africa,,2026-08-27,day,SEN; GMB,gov.regional; gov.policy; infra.connect,artp-senegal; pura-gambia,,full,False,,487,2026-08-27,https://www.wearetech.africa/fr/fils/actualites/tech/senegal-gambie-la-cooperation-numerique-se-concretise-autour-de-quatre-priorites
2026-08-25-thepoint-gambia-biometric-id-rollout-schedule,Gov't launches first phase of new biometric national ID card rollout,The Point,,2026-08-25,day,GMB,dpi.id; include.access,ministry-of-interior-gambia; gambia-immigration-department,,full,False,,411,2026-08-29,https://thepoint.gm/africa/gambia/headlines/govt-launches-first-phase-of-new-biometric-national-id-card-rollout
2026-08-25-standard-gm-new-biometric-id-card-issuance-starts,New Biometric ID Card Issuance Starts,"The Standard Newspaper, Gambia",,2026-08-25,day,GMB,dpi.id; include.access,gambia-immigration-department; ministry-of-interior-gambia,,full,False,,240,2026-08-27,https://standard.gm/new-biometric-id-card-issuance-starts/
2026-08-25-foroyaa-issuance-of-biometric-id-cards,Issuance of Biometric ID Cards,Foroyaa Newspaper,,2026-08-25,day,GMB,dpi.id; gov.protect; gov.discourse,gambia-immigration-department,sovereignty,full,False,,235,2026-08-27,https://foroyaa.net/issuance-of-biometric-id-cards/
2026-08-24-gambiaj-gambia-senegal-digital-cooperation-implementation,"Gambia, Senegal Move to Implement Digital Cooperation Agreement",The Gambia Journal,,2026-08-24,day,GMB; SEN,gov.regional; infra.connect; infra.cybersec; capacity.training,ministry-communications-digital-economy-gambia; ministere-des-telecommunications-et-du-numerique-senegal,,full,False,,639,2026-08-27,https://gambiaj.com/economy/policy/gambia-senegal-move-to-implement-digital-cooperation-agreement/
2026-08-20-profile-daily-wataf-launches-afdb-financed-us-5,WATAF launches AfDB-financed US$5.3m project,In Profile Daily,,2026-08-20,day,XWA; BFA; GMB; GIN; GNB; LBR; SLE,finance.new; dpi.govtech; gov.regional,wataf; african-development-bank; ecowas,,full,False,,871,2026-08-23,https://inprofiledailynews.com/wataf-launches-afdb-financed-us5-3m-project/
2026-08-19-thepoint-gambia-iom-motie-labour-migration-governance-workshop,"IOM, Gov't discuss plans to secure safer labour migration for Gambians",The Point,,2026-08-19,day,GMB,data.statistics; dpi.mis; gov.regional,iom; ministry-of-trade-industry-regional-integration-and-employment-gambia; aics,,full,False,,421,2026-08-23,https://thepoint.gm/africa/gambia/national-news/iom-govt-discuss-plans-to-secure-safer-labour-migration-for-gambians
2026-08-18-point-iec-chair-assures-gambians-credible-voter,IEC chair assures Gambians of credible voter register ahead of 2026 polls,The Point,,2026-08-18,day,GMB,gov.discourse; dpi.registry; gov.protect,iec-gambia,,full,False,,390,2026-08-23,https://thepoint.gm/africa/gambia/headlines/iec-chair-assures-gambians-of-credible-voter-register-ahead-of-2026-polls
2026-08-17-gambia-journal-gambia-halts-up-country-civil-servant,Gambia halts up-country civil servant verification exercise over technical challenges,The Gambia Journal,,2026-08-17,day,GMB,gov.discourse; dpi.govtech; include.divides,ministry-of-public-service-gambia,,full,False,,287,2026-08-23,https://gambiaj.com/economy/policy/gambia-halts-up-country-civil-servant-verification-exercise-over-technical-challenges/
