row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
SSD-infra.connect-starlink,SSD,infra.connect,Infrastructure,Satellite broadband licensing and market access,"A satellite-broadband licence, authorisation register or NCA decision on market access.",,not probed on this run; probe capped at eight across the three units
SSD-dpi.registry-land-register,SSD,dpi.registry,Digital public infrastructure,Digital land register,"A land-registry digitisation programme document, procurement or ministerial decision.",,not probed on this run; probe capped at eight across the three units
SSD-digital.localgov-localgov,SSD,digital.localgov,Digital public infrastructure,State or county digital service delivery,"A state or county digital-service platform, mandate or published local e-government plan.",,not probed on this run; probe capped at eight across the three units
SSD-gov.protect-dp-statute,SSD,gov.protect,Governance and regulation,Comprehensive data-protection statute,"The Data Protection Bill as introduced, or an enacted data-protection statute and the instrument constituting its commission.",2026-08-09,probed 2026-08-09: a Data Protection Bill 2025 (Version 1.0) is named in open sources and unheld - acquisition line raised
SSD-infra.connect-rural-coverage-gap,SSD,infra.connect,ICT Infrastructure,Mobile coverage gap in rural counties,"A coverage map, a population-coverage percentage or a universal-service obligation from the communications regulator or either operator. What the base holds instead is one community's account of messengers walking for three days to find a signal.",,
SSD-gov.policy-data-localisation,SSD,gov.policy,Governance,Data localisation requirements,"A statute, regulation or directive requiring any class of data to be held in-country, or a published government position adopting one.",2026-09-06,searched on this run; the absence is dated and cited
SSD-gov.protect-nca-data-privacy-mandate,SSD,gov.protect,Governance,Data protection authority,"An Act constituting a data protection authority, or an instrument conferring the function on a named body with its own powers and budget.",2026-09-06,searched on this run; the absence is dated and cited
SSD-infra.connect-ixp,SSD,infra.connect,ICT Infrastructure,Internet exchange point,"An exchange point with members and measurable traffic, on the regional registry or the global peering database.",2026-09-06,searched on this run; the absence is dated and cited
SSD-dpi.exchange-national-data-exchange,SSD,dpi.exchange,DPI,National data exchange system,"An adopted government enterprise architecture, or a data exchange layer in production with connected agencies named.",2026-09-06,searched on this run; the absence is dated and cited
SSD-dpi.registry-address-register,SSD,dpi.registry,DPI,Address and postal code register,"An address register, postcode scheme or addressing project established under the postal duty in the National Communication Act 2012.",2026-09-06,searched on this run; the absence is dated and cited
SSD-dpi.mis-justice-case-management,SSD,dpi.mis,DPI,Court case management system,"A judiciary or justice ministry record of a deployed case management system, or a procurement award for one.",2026-09-06,searched on this run; the absence is dated and cited
SSD-tech.industry-production-base,SSD,tech.industry,Technology,Domestic capacity in digital production,"A domestic hardware assembly or manufacturing operation, or a published count of digital-sector firms and their output.",2026-09-06,searched on this run; the absence is dated and cited
