row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
XSA-gov.regional-crasa,XSA,gov.regional,Institutions and mandates,instrument,CRASA (Communications Regulators Association of Southern Africa),Implemented,2026-04-15,"Hosted the G5 Regulatory Collaboration Summit, Lilongwe, 13-15 April 2026",,,,Baseline not held,,"Convened its members at the G5 summit with MACRA and adopted the Lilongwe Declaration on Collaborative Regulation (2026-04); no work programme, annual report or harmonised guideline held",2026-07-24-crasa-cpl26-participation|2026-05-04-research-ict-africa-crasa-lilongwe-declaration-collaborative-regulation,,The association's own output remains unheld; the Declaration's text is unpublished
XSA-gov.regional-sadc-fi-subcommittee,XSA,gov.regional,Institutions and mandates,instrument,SADC Financial Inclusion Subcommittee,Implemented,2024-02-20,"Met in Johannesburg, 19-20 February 2024",2024-02-20,,,No change,Strategy on Financial Inclusion and SME Access to Finance 2023-2028 under review; Financial Inclusion Information Portal launched (2024-02),"The February 2024 review is still the newest record held; no meeting, work plan or portal update since",2024-02-20 SADC Adopts Technology to Drive Financial Inclusion Initiatives Within the Region,,
XSA-gov.regional-idea-psc,XSA,gov.regional,Institutions and mandates,instrument,IDEA Project Steering Committee (COMESA),Implemented,2026-07-30,"Third steering committee, Lusaka, 2026-07-30",,,,Advanced,Two meetings since the programme was approved in June 2024,"Third meeting, reviewing implementation and risk with other regional communities, EACO, SAPOA, SATA and the World Bank",2026-07-30-comesa-idea-3rd-project-steering-committee,,
XSA-gov.policy-sadc-dts,XSA,gov.policy,Instruments and harmonisation,instrument,SADC Digital Transformation Strategy and Action Plan,In development,2022-10-12,"Draft tabled to ICT ministers, 12 October 2022",2022-10-12,,,No change,"Draft of 12 October 2022, unadopted","Still the 2022 draft with no adoption decision on record, though the Secretariat cited the strategy as an instrument it is implementing (2025-08)",2022-10-12 SADC Digital Transformation Strategy and Action Plan (draft)|2025-08-24-sadc-regional-workshop-ict-statistics-sadc-ict-observatory,,"The two records are unreconciled: the only text held is an unadopted draft, and the Secretariat neither dates an adoption nor names a version"
XSA-infra.connect-sadc-ridmp,XSA,infra.connect,Instruments and harmonisation,instrument,SADC Regional Infrastructure Development Master Plan,Implemented,2012-08-01,"Adopted August 2012, horizon to 2027",2012-08-01,,,No change,"In force since 2012, carrying the ICT sector plan for a Digital SADC","Unchanged, with under two years to its horizon; no revision or successor held",2012-08-01 SADC RIDMP Executive Summary,,
XSA-infra.cybersec-ccbg-frameworks,XSA,infra.cybersec,Instruments and harmonisation,instrument,"SADC central-bank frameworks on cyber, climate risk and cross-border crisis management",Implemented,2026-07-30,"Approved at Ezulwini, 2026-07-30",,,,Advanced,In drafting by working groups led by Botswana and Zimbabwe,"Finalised and approved, with supervision extended to cloud hosts and payment processors",2026-07-30-independentnews-sadc-ccbg-cyber-frameworks,,
XSA-gov.standards-sadc-ona,XSA,gov.standards,Instruments and harmonisation,instrument,SADC One Network Area roaming framework,Implemented,2026-03-13,"Six-state tariff harmonisation announced, 2026-03-13",,,,Advanced,Reduced rates between Botswana and Namibia only (2024-08),"Six states applying harmonised tariffs, with cuts between 10% and 98.6%",2026-03-13-bocra-sadc-one-network-area-roaming-tariffs-techafricanews,,
XSA-dpi.pay-sadc-rtgs,XSA,dpi.pay,Shared systems and infrastructure,instrument,SADC-RTGS,Implemented,2026-07-27,"Kwanza introduced, 2026-07-27",2013-07-13,,,Advanced,Settling in rand alone since 2013; 15 of 16 members participating,"Second settlement currency live; more than 80 banks, R250.7bn settled a month",2026-07-28-sadc-rtgs-kwanza-official|2026-07-28-sadc-rtgs-kwanza-businessday|2026-07-27-sadc-rtgs-kwanza-cnbcafrica|2026-07-27-sadc-rtgs-kwanza-moneyweb|2026-05-27-kwanza-integra-sistema-de-pagamento-sadc-rtgs,,
XSA-dpi.pay-sadc-rtgs-currencies,XSA,dpi.pay,Shared systems and infrastructure,measure,Settlement currencies in the SADC-RTGS,,2026-07-27,,,,,Advanced,"One, the rand (since 2013)","Two, rand and kwanza; pula and metical named next, four more weighing onboarding by end-2027",2026-07-28-sadc-rtgs-kwanza-official|2026-07-29-sadc-rtgs-currencies-centralbanking,,
XSA-dpi.pay-tcib,XSA,dpi.pay,Shared systems and infrastructure,instrument,TCIB cross-border retail payment scheme,Implemented,2026-03-02,"Botswana corridor activated, 2026-03-02",,,,Advanced,"A South Africa-Botswana commitment of late 2024, no corridor live","Botswana corridor live through one bank, First Capital Bank Botswana",2026-03-02-payinc-fcb-botswana-tcib-corridor-live-techafricanews|2026-03-02-fcb-botswana-payinc-tcib-cross-border-payments-itweb|2026-03-09-first-capital-bank-rolls-out-instant-sadc-payments,,
