fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
FY 2024/25,FIU,(FIU) Financial Intelligence Unit,,Financial Intelligence Unit,,Financial Intelligence Unit,,ICT and System Security.,,printed,printed,programme,,42101016,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (FIU) Financial Intelligence Unit chapter, table *Programme and Directorate Summary*, programme Financial Intelligence Unit, directorate ICT and System Security., column 2024/25 Budget (printed p. 462, PDF p. 468)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-fiu-fiu-ict-system-security,ICT and System Security
FY 2024/25,MCA,(MCA) Ministry of Cabinet Affairs,,Ministry of Cabinet Affairs,,Supp to Cabinet and Exec & ECF,,Cabinet Resolutions and ICT,,printed,printed,programme,,766691100,,,,,,,appropriated,appropriated,partial,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (MCA) Ministry of Cabinet Affairs chapter, table *Directorate Detail*, programme Supp to Cabinet and Exec & ECF, directorate Cabinet Resolutions and ICT, cost centre (MCA) Secretariat, column 2024/25 Budget (printed p. 271, PDF p. 277)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-mca-supp-cabinet-resolutions-ict,(MCA) Secretariat
FY 2024/25,MGE,(MGE) Ministry of General Education & Instruction,,Ministry of General Education & Instruction,,Policy & Systems Development,,Planning & Budgeting,,printed,printed,programme,,218733552,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (MGE) Ministry of General Education & Instruction chapter, table *Directorate Detail*, programme Policy & Systems Development, directorate Planning & Budgeting, cost centre (MGE) Assessment & Piloting of E-learning, column 2024/25 Budget (printed p. 133, PDF p. 139)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-mge-psd-planning-elearning,(MGE) Assessment & Piloting of E-learning
FY 2024/25,MIH,(MIH) Ministry of Interior HQ,,Ministry of Interior HQ,,Internal security & coordin,,Immigration,,printed,printed,programme,,9449486112,,,,,,,appropriated,appropriated,partial,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (MIH) Ministry of Interior HQ chapter, table *Directorate Detail*, programme Internal security & coordin, directorate Immigration, cost centre (MIH) Immigration, column 2024/25 Budget (printed p. 415, PDF p. 421)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-mih-isc-immigration,(MIH) Immigration
FY 2024/25,NCA,(NCA) National Communications Authority,,National Communications Authority,,Regulating Telecoms,,Technical Affairs,,printed,printed,programme,,132000000,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (NCA) National Communications Authority chapter, table *Directorate Detail*, programme Regulating Telecoms, directorate Technical Affairs, cost centre (NCA) Regulating Telecoms, column 2024/25 Budget (printed p. 306, PDF p. 312)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-nca-regulating-telecoms,(NCA) Regulating Telecoms
FY 2024/25,STA,(STA) National Bureau of Statistics,,National Bureau of Statistics,,National Statistics,,Finance & Support Services,,printed,printed,programme,,23000004,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (STA) National Bureau of Statistics chapter, table *Directorate Detail*, programme National Statistics, directorate Finance & Support Services, cost centre (STA) GIS & Remote Sensing, column 2024/25 Budget (printed p. 55, PDF p. 61)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-sta-natstat-fss-gis-remote-sensing,(STA) GIS & Remote Sensing
FY 2024/25,STA,(STA) National Bureau of Statistics,,National Bureau of Statistics,,National Statistics,,Geog Informa System(GIS) & IT,,printed,printed,programme,,56946768,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (STA) National Bureau of Statistics chapter, table *Directorate Detail*, programme National Statistics, directorate Geog Informa System(GIS) & IT, cost centre (STA) GIS & Remote Sensing, column 2024/25 Budget (printed p. 55, PDF p. 61)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-sta-natstat-gisit-gis-remote-sensing,(STA) GIS & Remote Sensing
FY 2024/25,STA,(STA) National Bureau of Statistics,,National Bureau of Statistics,,Support Services,,Geog Informa System(GIS) & IT,,printed,printed,programme,,42383316,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (STA) National Bureau of Statistics chapter, table *Directorate Detail*, programme Support Services, directorate Geog Informa System(GIS) & IT, cost centre (STA) Provision of IT Services, column 2024/25 Budget (printed p. 56, PDF p. 62)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-sta-support-gisit-it-services,(STA) Provision of IT Services
FY 2024/25,TPS,(TPS) Telecom & Postal Services,,Telecom & Postal Services,,Access to Public Information,,Information Technology,,printed,printed,programme,,77198664,,,,,,,appropriated,appropriated,unclear,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (TPS) Telecom and Postal Services chapter, table *Directorate Detail*, programme Access to Public Information, directorate Information Technology, cost centre (TPS)Information collection, column 2024/25 Budget (printed p. 370, PDF p. 376)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-tps-api-it-information-collection,(TPS)Information collection
FY 2024/25,TPS,(TPS) Telecom & Postal Services,,Telecom & Postal Services,,Improve Telecom/Postal Service,,Information Communicat Technology,,printed,printed,programme,,67007964,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (TPS) Telecom and Postal Services chapter, table *Directorate Detail*, programme Improve Telecom/Postal Service, directorate Information Communicat Technology, cost centre (TPS) Telecoms regs & licenses, column 2024/25 Budget (printed p. 370, PDF p. 376)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-tps-itps-ict-telecoms-regs-licenses,(TPS) Telecoms regs & licenses
FY 2024/25,USA,(USA) Universal Service Access Fund,,Universal Service Access Fund,,Support Services,,Administration & Finance,,printed,printed,body,,536437872,,,,,,,appropriated,appropriated,whole,false,SSP,budget-document,budget-estimates,"Approved Budget Book FY 2024/25, (USA) Universal Service Access Fund chapter, table *Directorate Detail*, programme Support Services, directorate Administration & Finance, cost centre (USA) General Administration Telecom, column 2024/25 Budget (printed p. 394, PDF p. 400)",2025-01-01-ssd-approved-budget-book-2024-25-companion,,budgets/SSD/2024.csv#ssd-2024-usa-usaf-body,(USA) General Administration Telecom
