fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
Exercice 2024,210,210 - Ministère de l'Economie et des Finances,210,Ministère de l'Economie et des Finances,003,Pilotage et soutien aux services du MEF,1131080570000,Cellule Informatique,,printed,printed,programme,,43104000,43104000,,,,,,appropriated,revised,partial,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 82, section 210, programme 003, chapitre 1131080570000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 82, chapitre 1131080570000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-210-003-1131080570000,Cellule Informatique
Exercice 2024,210,210 - Ministère de l'Economie et des Finances,210,Ministère de l'Economie et des Finances,006,Programmation et gestion budgétaire,1191080047004,Comité de pilotage du SIGFIP,,printed,printed,programme,,560000000,560000000,,,,,,appropriated,revised,whole,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 103, section 210, programme 006, chapitre 1191080047004, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 103, chapitre 1191080047004",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-210-006-1191080047004,Comité de pilotage du SIGFIP
Exercice 2024,210,210 - Ministère de l'Economie et des Finances,210,Ministère de l'Economie et des Finances,007,"Gestion de la trésorerie de l'Etat, production des comptes publics et sauvegarde du patrimoine de l'Etat",1131080052000,Direction des affaires domaniales et cadastrales,,printed,printed,programme,,154404000,154404000,,,,,,appropriated,revised,partial,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 75, section 210, programme 007, chapitre 1131080052000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 75, chapitre 1131080052000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-210-007-1131080052000,Direction des affaires domaniales et cadastrales
Exercice 2024,210,210 - Ministère de l'Economie et des Finances,210,Ministère de l'Economie et des Finances,901,Dotations 2: Dépenses communes ordinaires hors transferts,1189000754000,Animation et entretien des sites officiels de la République Togolaise,,printed,printed,programme,,421123000,421123000,,,,,,appropriated,revised,whole,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 97, section 210, programme 901, chapitre 1189000754000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 97, chapitre 1189000754000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-210-901-1189000754000,Animation et entretien des sites officiels de la République Togolaise
Exercice 2024,220,220 - Ministère du Plan et de la Coopération,220,Ministère du Plan et de la Coopération,009,Pilotage et soutien au service du ministère de la planification du développement et de la coopération,1131080069000,CENETI,,printed,printed,programme,,56890000,56890000,,,,,,appropriated,revised,whole,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 111, section 220, programme 009, chapitre 1131080069000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 112, chapitre 1131080069000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-220-009-1131080069000,CENETI
Exercice 2024,220,220 - Ministère du Plan et de la Coopération,220,Ministère du Plan et de la Coopération,009,Pilotage et soutien au service du ministère de la planification du développement et de la coopération,1131080077000,Centre de Suivi Informatique,,printed,printed,programme,,22212000,22212000,,,,,,appropriated,revised,partial,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 121, section 220, programme 009, chapitre 1131080077000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 122, chapitre 1131080077000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-220-009-1131080077000,Centre de Suivi Informatique
Exercice 2024,220,220 - Ministère du Plan et de la Coopération,220,Ministère du Plan et de la Coopération,009,Pilotage et soutien au service du ministère de la planification du développement et de la coopération,1391080080000,Institut Africain d'Informatique - Togo (IAI-Togo),,printed,printed,programme,,50000000,50000000,,,,,,appropriated,revised,whole,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 138, section 220, programme 009, chapitre 1391080080000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 139, chapitre 1391080080000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-220-009-1391080080000,Institut Africain d'Informatique - Togo (IAI-Togo)
Exercice 2024,220,220 - Ministère du Plan et de la Coopération,220,Ministère du Plan et de la Coopération,010,Planification du développement,1391080071000,Institut National de la Statistique et des Etudes Economiques et Démographiques,,printed,printed,programme,,1121058000,1121058000,,,,,,appropriated,revised,whole,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 137, section 220, programme 010, chapitre 1391080071000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 138, chapitre 1391080071000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-220-010-1391080071000,Institut National de la Statistique et des Etudes Economiques et Démographiques
Exercice 2024,220,220 - Ministère du Plan et de la Coopération,220,Ministère du Plan et de la Coopération,111,Aménagement du territoire,1131081189000,Direction de l'information et de la cartographie (DIC),,printed,printed,programme,,31323000,31323000,,,,,,appropriated,revised,partial,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 126, section 220, programme 111, chapitre 1131081189000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 127, chapitre 1131081189000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-220-111-1131081189000,Direction de l'information et de la cartographie (DIC)
Exercice 2024,410,"410 - Ministère de l'administration territoriale, de la décentralisation et du développement des territoires",410,"Ministère de l'administration territoriale, de la décentralisation et du développement des territoires",024,Décentralisation et déconcentration,1139000916000,Comité technique sur l'état civil (CEC AMEC),,printed,printed,programme,,200000000,200000000,,,,,,appropriated,revised,partial,false,XOF,budget-document,budget-estimates,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), PDF p. 315, section 410, programme 024, chapitre 1139000916000, CP column; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 316, chapitre 1139000916000",2024-07-11-tgo-budget-depenses-2024-companion,,budgets/TGO/2024.csv#tgo-2024-410-024-1139000916000,Comité technique sur l'état civil (CEC AMEC)
