fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
—,,,,,,,,,,,,,,,,,,,,,unclear,unclear,whole,false,USD,reporting,,,,,2025-10-01-cog-2025-connectivity-sites-4g-upgrade,cog-2025-connectivity-sites-4g-upgrade
2024,9,Comptes spéciaux du trésor,9,Fonds pour l'accès et le service universel des communications électroniques,9,Fonds pour l'accès et le service universel des communications électroniques,,,,printed,printed,account,,1000000000,,,,,,,appropriated,appropriated,whole,false,XAF,budget-document,appropriation-act,"Loi n° 39-2023 du 29 décembre 2023 (Journal officiel, édition spéciale n° 6-2023), Article vingt-cinquième ceiling list, line for the fund (PDF p. 7); Article quarante-cinquième, account 9 detail table, dépenses section 1 (PDF p. 21)",2023-12-29-cog-jo-6-2023-special-loi-39-2023-loi-de-finances-2024-companion,,budgets/COG/2024.csv#cog-2024-cst-fasuce,Fonds pour l'accès et le service universel des communications électroniques
2024,15,Comptes spéciaux du trésor,15,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,15,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,,,,printed,printed,account,,2809999915,,,,,,,appropriated,appropriated,whole,false,XAF,budget-document,appropriation-act,"Loi n° 39-2023 du 29 décembre 2023 (Journal officiel, édition spéciale n° 6-2023), Article vingt-cinquième ceiling list, line for the fund (PDF p. 7); Article quarante-cinquième, account 15 detail table, dépenses section 1 (PDF p. 22); object in Article quinzième, section 3 (PDF p. 4)",2023-12-29-cog-jo-6-2023-special-loi-39-2023-loi-de-finances-2024-companion,,budgets/COG/2024.csv#cog-2024-cst-fonction-bancaire-tresor,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public
2025,8,Comptes spéciaux du trésor,8,Fonds pour l'accès et le service universel des communications électroniques,8,Fonds pour l'accès et le service universel des communications électroniques,,,Titre 4 — dépenses de transfert,printed,printed,account,1000000000,1000000000,1000000000,,,,,,appropriated,revised,whole,false,XAF,budget-document,appropriation-act,"Loi n° 47-2024 du 30 décembre 2024 (Journal officiel, édition spéciale n° 15-2024), Article vingt-cinquième item 8 (PDF p. 7) and Article quarante-sixième account 8 (PDF p. 24); proposed: Projet de loi de finances 2025 (2024-10-11-cog-projet-loi-de-finances-2025-companion), Article vingt-quatrième item 9 (PDF p. 15); revised: Loi n° 41-2025 (Journal officiel, édition spéciale n° 2-2026; 2026-01-05-cog-jo-2-2026-special-loi-41-2025-loi-de-finances-rectificative-2025-companion), Article vingt-cinquième item 8 (PDF p. 8) and Article quarante-sixième account 8 (PDF p. 28)",2024-12-31-cog-jo-15-2024-special-loi-47-2024-loi-de-finances-2025-companion,,budgets/COG/2025.csv#cog-2025-cst-fasuce,Fonds pour l'accès et le service universel des communications électroniques
2025,14,Comptes spéciaux du trésor,14,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,14,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,,,Titre 4 — dépenses de transfert,printed,printed,account,2809999915,2810000000,2810000000,,,,,,appropriated,revised,whole,false,XAF,budget-document,appropriation-act,"Loi n° 47-2024 du 30 décembre 2024 (Journal officiel, édition spéciale n° 15-2024), Article vingt-cinquième item 14 (PDF p. 7) and Article quarante-sixième account 14 (PDF p. 26); proposed: Projet de loi de finances 2025 (2024-10-11-cog-projet-loi-de-finances-2025-companion), Article vingt-quatrième item 15 (PDF p. 15) and account 18 detail (PDF p. 55); revised: Loi n° 41-2025 (Journal officiel, édition spéciale n° 2-2026; 2026-01-05-cog-jo-2-2026-special-loi-41-2025-loi-de-finances-rectificative-2025-companion), Article vingt-cinquième item 14 (PDF p. 9) and Article quarante-sixième account 14 (PDF p. 30)",2024-12-31-cog-jo-15-2024-special-loi-47-2024-loi-de-finances-2025-companion,,budgets/COG/2025.csv#cog-2025-cst-fonction-bancaire-tresor,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public
2025,18,Comptes spéciaux du trésor,18,Urbanisation des systèmes d'information de gestion des finances publiques,18,Urbanisation des systèmes d'information de gestion des finances publiques,,,"Titre 3 1,150,000,000; Titre 4 350,000,000; Titre 5 2,000,000,000",printed,printed,account,3500000000,3500000000,3500000000,,,,,,appropriated,revised,whole,false,XAF,budget-document,appropriation-act,"Loi n° 47-2024 du 30 décembre 2024 (Journal officiel, édition spéciale n° 15-2024), Article quinzième (object, PDF p. 4), Article vingt-cinquième item 18 (PDF p. 7) and Article quarante-sixième account 18 (PDF p. 27); proposed: Projet de loi de finances 2025 (2024-10-11-cog-projet-loi-de-finances-2025-companion), Article vingt-quatrième item 20, as Transformation digitale des régies financières (PDF p. 15, detail p. 56); revised: Loi n° 41-2025 (Journal officiel, édition spéciale n° 2-2026; 2026-01-05-cog-jo-2-2026-special-loi-41-2025-loi-de-finances-rectificative-2025-companion), Article vingt-cinquième item 18 (PDF p. 9) and Article quarante-sixième account 18 (PDF p. 31)",2024-12-31-cog-jo-15-2024-special-loi-47-2024-loi-de-finances-2025-companion,,budgets/COG/2025.csv#cog-2025-cst-urbanisation-si-fp,Urbanisation des systèmes d'information de gestion des finances publiques
2025,45,"Postes, télécommunications et économie numérique",45,"Postes, télécommunications et économie numérique",118,"Poste, télécommunication et économie numérique",,,,printed,printed,programme,21288400000,23093583163,23348037007,,3158525582,,13.7,13.5,appropriated,actual,partial,false,XAF,budget-document,appropriation-act,"Loi n° 47-2024 du 30 décembre 2024 (Journal officiel, édition spéciale n° 15-2024), Article trente-huitième, Code 45, programme 118, column Prévision 2025 CP (PDF p. 11); proposed: Projet de loi de finances 2025, Article trente-septième, Code 45 programme 118 (PDF p. 24, 2024-10-11-cog-projet-loi-de-finances-2025-companion); revised: Loi n° 41-2025 (Journal officiel, édition spéciale n° 2-2026), Article trente-huitième, Code 45 programme 118 (PDF p. 14, 2026-01-05-cog-jo-2-2026-special-loi-41-2025-loi-de-finances-rectificative-2025-companion); actual: Rapport sur l'exécution du budget de l'Etat au 31 décembre 2025, Annexe 4, Code 45 programme 118, column Exécution au 31 décembre 2025 (PDF p. 25, 2026-03-02-cog-rapport-execution-budget-au-31-12-2025-companion)",2024-12-31-cog-jo-15-2024-special-loi-47-2024-loi-de-finances-2025-companion,,budgets/COG/2025.csv#cog-2025-45-118,"Poste, télécommunication et économie numérique"
2026,4,Comptes spéciaux du trésor,4,Fonds pour l'accès et le service universel des communications électroniques,4,Fonds pour l'accès et le service universel des communications électroniques,,,Titre 4 — dépenses de transfert,printed,printed,account,1000000000,1000000000,,,,,,,appropriated,appropriated,whole,false,XAF,budget-document,appropriation-act,"Loi n° 42-2025 du 31 décembre 2025 (Journal officiel, édition spéciale n° 3-2026), Article treizième item 4 (assigned revenue, PDF p. 7), Article dix-neuvième item 4 (PDF p. 8) and Article quarante-deuxième account 4 (PDF p. 26); proposed: Projet de loi de finances 2026 (2025-10-14-cog-projet-loi-de-finances-2026-companion), Article dix-huitième (PDF p. 14) and account 11 detail (PDF p. 52)",2026-01-05-cog-jo-3-2026-special-loi-42-2025-loi-de-finances-2026-companion,,budgets/COG/2026.csv#cog-2026-cst-fasuce,Fonds pour l'accès et le service universel des communications électroniques
2026,8,Comptes spéciaux du trésor,8,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,8,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public,,,Titre 4 — dépenses de transfert,printed,printed,account,5968000000,5968000000,,,,,,,appropriated,appropriated,whole,false,XAF,budget-document,appropriation-act,"Loi n° 42-2025 du 31 décembre 2025 (Journal officiel, édition spéciale n° 3-2026), Article treizième item 8 (PDF p. 7), Article dix-neuvième item 8 (PDF p. 8) and Article quarante-deuxième account 8 (PDF p. 27); proposed: Projet de loi de finances 2026 (2025-10-14-cog-projet-loi-de-finances-2026-companion), Article dix-huitième (PDF p. 14) and account 6 detail (PDF p. 49)",2026-01-05-cog-jo-3-2026-special-loi-42-2025-loi-de-finances-2026-companion,,budgets/COG/2026.csv#cog-2026-cst-fonction-bancaire-tresor,Fonds pour l'opérationnalisation de la fonction bancaire du Trésor public
2026,10,Comptes spéciaux du trésor,10,Urbanisation des systèmes d'information de gestion des finances publiques,10,Urbanisation des systèmes d'information de gestion des finances publiques,,,"Titre 3 1,150,000,000; Titre 4 350,000,000; Titre 5 2,000,000,000",printed,printed,account,3500000000,3500000000,,,,,,,appropriated,appropriated,whole,false,XAF,budget-document,appropriation-act,"Loi n° 42-2025 du 31 décembre 2025 (Journal officiel, édition spéciale n° 3-2026), Article treizième item 10 (PDF p. 7), Article dix-neuvième item 10 (PDF p. 8) and Article quarante-deuxième account 10 (PDF p. 28); proposed: Projet de loi de finances 2026 (2025-10-14-cog-projet-loi-de-finances-2026-companion), Article dix-huitième (PDF p. 14) and account 10 detail (PDF p. 51)",2026-01-05-cog-jo-3-2026-special-loi-42-2025-loi-de-finances-2026-companion,,budgets/COG/2026.csv#cog-2026-cst-urbanisation-si-fp,Urbanisation des systèmes d'information de gestion des finances publiques
