iso3,fiscal_year,doc_type,stages,status,due,held,as_of
AGO,2024,appropriation-act,appropriated,held,2024-01,1,2026-09-26
AGO,2025,appropriation-act,appropriated,held,2025-01,1,2026-09-26
AGO,2026,appropriation-act,appropriated,absent,2026-01,0,2026-09-26
AGO,2024,budget-estimates,proposed|appropriated,held,2023-11,1,2026-09-26
AGO,2025,budget-estimates,proposed|appropriated,held,2024-11,1,2026-09-26
AGO,2026,budget-estimates,proposed|appropriated,held,2025-11,1,2026-09-26
AGO,2024,implementation-report,released|actual,held,2025-04,1,2026-09-26
AGO,2025,implementation-report,released|actual,held,2026-04,1,2026-09-26
AGO,2026,implementation-report,released|actual,not due,2027-04,0,2026-09-26
BDI,2024,appropriation-act,appropriated,held,2024-07,1,2026-09-26
BDI,2025,appropriation-act,appropriated,held,2025-07,1,2026-09-26
BDI,2026,appropriation-act,appropriated,held,2026-07,1,2026-09-26
BDI,2024,budget-estimates,proposed|appropriated,held,2025-01,3,2026-09-26
BDI,2025,budget-estimates,proposed|appropriated,held,2026-01,2,2026-09-26
BDI,2026,budget-estimates,proposed|appropriated,not due,2027-01,0,2026-09-26
BDI,2024,implementation-report,released|actual,absent,2024-08,0,2026-09-26
BDI,2025,implementation-report,released|actual,held,2025-08,13,2026-09-26
BDI,2026,implementation-report,released|actual,absent,2026-08,0,2026-09-26
BDI,2024,mtef,proposed,absent,2024-05,0,2026-09-26
BDI,2025,mtef,proposed,held,2025-05,1,2026-09-26
BDI,2026,mtef,proposed,held,2026-05,1,2026-09-26
BEN,2024,appropriation-act,appropriated,held,2024-01,2,2026-09-26
BEN,2025,appropriation-act,appropriated,held,2025-01,4,2026-09-26
BEN,2026,appropriation-act,appropriated,held,2026-01,3,2026-09-26
BEN,2024,audited-accounts,audited,not due,2027-01,0,2026-09-26
BEN,2025,audited-accounts,audited,not due,2028-01,0,2026-09-26
BEN,2026,audited-accounts,audited,not due,2029-01,0,2026-09-26
BEN,2024,board-budget,appropriated,held,2025-06,1,2026-09-26
BEN,2025,board-budget,appropriated,held,2026-06,1,2026-09-26
BEN,2026,board-budget,appropriated,not due,2027-06,0,2026-09-26
BEN,2024,budget-estimates,proposed|appropriated,held,2024-02,17,2026-09-26
BEN,2025,budget-estimates,proposed|appropriated,held,2025-02,11,2026-09-26
BEN,2026,budget-estimates,proposed|appropriated,held,2026-02,15,2026-09-26
BEN,2024,executive-instrument,revised|appropriated,absent,2023-10,0,2026-09-26
BEN,2025,executive-instrument,revised|appropriated,held,2024-10,1,2026-09-26
BEN,2026,executive-instrument,revised|appropriated,held,2025-10,2,2026-09-26
BEN,2024,ifmis-extract,released|actual,not due,2042-08,0,2026-09-26
BEN,2025,ifmis-extract,released|actual,not due,2043-08,0,2026-09-26
BEN,2026,ifmis-extract,released|actual,not due,2044-08,0,2026-09-26
BEN,2024,implementation-report,released|actual,held,2024-12,7,2026-09-26
BEN,2025,implementation-report,released|actual,held,2025-12,4,2026-09-26
BEN,2026,implementation-report,released|actual,held,2026-12,2,2026-09-26
BEN,2024,mtef,proposed,held,2023-11,2,2026-09-26
BEN,2025,mtef,proposed,held,2024-11,3,2026-09-26
BEN,2026,mtef,proposed,held,2025-11,4,2026-09-26
BEN,2024,treasury-release,released,absent,2024-02,0,2026-09-26
BEN,2025,treasury-release,released,held,2025-02,1,2026-09-26
BEN,2026,treasury-release,released,absent,2026-02,0,2026-09-26
BFA,2024,appropriation-act,appropriated,held,2024-01,9,2026-09-26
BFA,2025,appropriation-act,appropriated,held,2025-01,8,2026-09-26
BFA,2026,appropriation-act,appropriated,held,2026-01,7,2026-09-26
BFA,2024,audited-accounts,audited,not due,2028-01,0,2026-09-26
BFA,2025,audited-accounts,audited,not due,2029-01,0,2026-09-26
BFA,2026,audited-accounts,audited,not due,2030-01,0,2026-09-26
BFA,2024,board-budget,appropriated,absent,2026-07,0,2026-09-26
BFA,2025,board-budget,appropriated,not due,2027-07,0,2026-09-26
BFA,2026,board-budget,appropriated,not due,2028-07,0,2026-09-26
BFA,2024,budget-estimates,proposed|appropriated,held,2024-01,5,2026-09-26
BFA,2025,budget-estimates,proposed|appropriated,held,2025-01,7,2026-09-26
BFA,2026,budget-estimates,proposed|appropriated,held,2026-01,9,2026-09-26
BFA,2024,implementation-report,released|actual,held,2025-11,7,2026-09-26
BFA,2025,implementation-report,released|actual,not due,2026-11,0,2026-09-26
BFA,2026,implementation-report,released|actual,held,2027-11,1,2026-09-26
BFA,2024,mtef,proposed,held,2023-07,2,2026-09-26
BFA,2025,mtef,proposed,held,2024-07,1,2026-09-26
BFA,2026,mtef,proposed,held,2025-07,2,2026-09-26
BWA,2024,appropriation-act,appropriated,held,2024-04,1,2026-09-26
BWA,2025,appropriation-act,appropriated,held,2025-04,1,2026-09-26
BWA,2026,appropriation-act,appropriated,held,2026-04,1,2026-09-26
BWA,2024,audited-accounts,audited,held,2026-06,1,2026-09-26
BWA,2025,audited-accounts,audited,not due,2027-06,0,2026-09-26
BWA,2026,audited-accounts,audited,not due,2028-06,0,2026-09-26
BWA,2024,board-budget,appropriated,held,2025-11,1,2026-09-26
BWA,2025,board-budget,appropriated,held,2026-11,1,2026-09-26
BWA,2026,board-budget,appropriated,not due,2027-11,0,2026-09-26
BWA,2024,budget-estimates,proposed|appropriated,held,2024-05,22,2026-09-26
BWA,2025,budget-estimates,proposed|appropriated,held,2025-05,44,2026-09-26
BWA,2026,budget-estimates,proposed|appropriated,held,2026-05,21,2026-09-26
BWA,2024,mtef,proposed,absent,2024-10,0,2026-09-26
BWA,2025,mtef,proposed,held,2025-10,4,2026-09-26
BWA,2026,mtef,proposed,not due,2026-10,0,2026-09-26
CIV,2024,appropriation-act,appropriated,held,2024-01,23,2026-09-26
CIV,2025,appropriation-act,appropriated,held,2025-01,22,2026-09-26
CIV,2026,appropriation-act,appropriated,held,2026-01,22,2026-09-26
CIV,2024,audited-accounts,audited,held,2026-02,7,2026-09-26
CIV,2025,audited-accounts,audited,not due,2027-02,0,2026-09-26
CIV,2026,audited-accounts,audited,not due,2028-02,0,2026-09-26
CIV,2024,board-budget,appropriated,held,2024-01,1,2026-09-26
CIV,2025,board-budget,appropriated,held,2025-01,2,2026-09-26
CIV,2026,board-budget,appropriated,held,2026-01,2,2026-09-26
CIV,2024,budget-estimates,proposed|appropriated,held,2024-01,6,2026-09-26
CIV,2025,budget-estimates,proposed|appropriated,held,2025-01,10,2026-09-26
CIV,2026,budget-estimates,proposed|appropriated,held,2026-01,16,2026-09-26
CIV,2024,implementation-report,released|actual,held,2025-01,7,2026-09-26
CIV,2025,implementation-report,released|actual,held,2026-01,6,2026-09-26
CIV,2026,implementation-report,released|actual,held,2027-01,2,2026-09-26
CIV,2024,mtef,proposed,held,2024-01,2,2026-09-26
CIV,2025,mtef,proposed,held,2025-01,2,2026-09-26
CIV,2026,mtef,proposed,held,2026-01,1,2026-09-26
CMR,2024,appropriation-act,appropriated,held,2024-01,2,2026-09-26
CMR,2025,appropriation-act,appropriated,held,2025-01,5,2026-09-26
CMR,2026,appropriation-act,appropriated,held,2026-01,2,2026-09-26
CMR,2024,audited-accounts,audited,held,2025-10,6,2026-09-26
CMR,2025,audited-accounts,audited,not due,2026-10,0,2026-09-26
CMR,2026,audited-accounts,audited,not due,2027-10,0,2026-09-26
CMR,2024,budget-estimates,proposed|appropriated,held,2023-12,4,2026-09-26
CMR,2025,budget-estimates,proposed|appropriated,held,2024-12,6,2026-09-26
CMR,2026,budget-estimates,proposed|appropriated,held,2025-12,3,2026-09-26
CMR,2024,executive-instrument,revised|appropriated,held,2024-07,1,2026-09-26
CMR,2025,executive-instrument,revised|appropriated,held,2025-07,1,2026-09-26
CMR,2026,executive-instrument,revised|appropriated,held,2026-07,2,2026-09-26
CMR,2024,implementation-report,released|actual,held,2025-01,3,2026-09-26
CMR,2025,implementation-report,released|actual,held,2026-01,1,2026-09-26
CMR,2026,implementation-report,released|actual,not due,2027-01,0,2026-09-26
CMR,2024,mtef,proposed,absent,2023-08,0,2026-09-26
CMR,2025,mtef,proposed,held,2024-08,1,2026-09-26
CMR,2026,mtef,proposed,absent,2025-08,0,2026-09-26
COD,2024,appropriation-act,appropriated,held,2024-01,4,2026-09-26
COD,2025,appropriation-act,appropriated,held,2025-01,3,2026-09-26
COD,2026,appropriation-act,appropriated,held,2026-01,3,2026-09-26
COD,2024,budget-estimates,proposed|appropriated,held,2023-10,6,2026-09-26
COD,2025,budget-estimates,proposed|appropriated,held,2024-10,5,2026-09-26
COD,2026,budget-estimates,proposed|appropriated,held,2025-10,4,2026-09-26
COD,2024,implementation-report,released|actual,held,2025-02,6,2026-09-26
COD,2025,implementation-report,released|actual,held,2026-02,2,2026-09-26
COD,2026,implementation-report,released|actual,not due,2027-02,0,2026-09-26
COD,2024,mtef,proposed,absent,2023-06,0,2026-09-26
COD,2025,mtef,proposed,absent,2024-06,0,2026-09-26
COD,2026,mtef,proposed,held,2025-06,2,2026-09-26
COD,2024,treasury-release,released,absent,2024-05,0,2026-09-26
COD,2025,treasury-release,released,absent,2025-05,0,2026-09-26
COD,2026,treasury-release,released,held,2026-05,3,2026-09-26
COG,2024,appropriation-act,appropriated,held,2024-01,7,2026-09-26
COG,2025,appropriation-act,appropriated,held,2025-01,7,2026-09-26
COG,2026,appropriation-act,appropriated,held,2026-01,6,2026-09-26
COG,2024,audited-accounts,audited,held,2026-02,1,2026-09-26
COG,2025,audited-accounts,audited,not due,2027-02,0,2026-09-26
COG,2026,audited-accounts,audited,not due,2028-02,0,2026-09-26
COG,2024,budget-estimates,proposed|appropriated,absent,2023-11,0,2026-09-26
COG,2025,budget-estimates,proposed|appropriated,held,2024-11,1,2026-09-26
COG,2026,budget-estimates,proposed|appropriated,held,2025-11,1,2026-09-26
COG,2024,executive-instrument,revised|appropriated,absent,2024-06,0,2026-09-26
COG,2025,executive-instrument,revised|appropriated,absent,2025-06,0,2026-09-26
COG,2026,executive-instrument,revised|appropriated,held,2026-06,1,2026-09-26
COG,2024,implementation-report,released|actual,held,2026-05,1,2026-09-26
COG,2025,implementation-report,released|actual,held,2027-05,1,2026-09-26
COG,2026,implementation-report,released|actual,not due,2028-05,0,2026-09-26
COG,2024,mtef,proposed,absent,2023-11,0,2026-09-26
COG,2025,mtef,proposed,absent,2024-11,0,2026-09-26
COG,2026,mtef,proposed,held,2025-11,1,2026-09-26
COM,2024,appropriation-act,appropriated,held,2024-02,3,2026-09-26
