fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
2024/25,01,PRESIREP,0102,GENERAL SECRETARIAT NISS,482,E-Gates,,,,printed,printed,project,,2538577501,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0102 GENERAL SECRETARIAT NISS, project 482 (gazette p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0102-482,E-Gates
2024/25,01,PRESIREP,0102,GENERAL SECRETARIAT NISS,F80,E-PASSPORT,,,,printed,printed,project,,1596051426,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0102 GENERAL SECRETARIAT NISS, project F80 (gazette p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0102-f80,E-PASSPORT
2024/25,01,PRESIREP,0102,GENERAL SECRETARIAT NISS,FCG,Advanced Passenger Information and Passenger Name Record project,,,,printed,printed,project,,443486704,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0102 GENERAL SECRETARIAT NISS, project FCG (gazette p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0102-fcg,Advanced Passenger Information and Passenger Name Record project
2024/25,01,PRESIREP,0102,GENERAL SECRETARIAT NISS,FCH,Automated Finger Print Identification System,,,,printed,printed,project,,102613560,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0102 GENERAL SECRETARIAT NISS, project FCH (gazette p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0102-fch,Automated Finger Print Identification System
2024/25,01,PRESIREP,0102,GENERAL SECRETARIAT NISS,FCI,Border Management System,,,,printed,printed,project,,1250000000,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0102 GENERAL SECRETARIAT NISS, project FCI (gazette p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0102-fci,Border Management System
2024/25,01,PRESIREP,0108,RWANDA DEVELOPMENT BOARD (RDB),07,Secondary And Tertiary Industry Economic Development,0707,Business Registration and insolvency administration,,printed,printed,programme,,150000000,,,,,,,appropriated,appropriated,partial,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0108 RWANDA DEVELOPMENT BOARD (RDB), programme 07, sub-programme 0707 (gazette p. 47); origin split: Annex II-2, institution 01, sub-programme 0707 (p. 343)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0108-07-0707,Business Registration and insolvency administration
2024/25,01,PRESIREP,0108,RWANDA DEVELOPMENT BOARD (RDB),08,Quaternary Industry Economic Development,0801,Ict Support Service Development,,printed,printed,programme,,812800000,,,,,,,appropriated,appropriated,partial,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0108 RWANDA DEVELOPMENT BOARD (RDB), programme 08, sub-programme 0801 (gazette p. 48); origin split: Annex II-2, institution 01, sub-programme 0801 (p. 343)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0108-08-0801,Ict Support Service Development
2024/25,01,PRESIREP,0111,NATIONAL CYBER SECURITY AUTHORITY(NCSA),01,Administrative And Support Services,0101,Administrative And Support Services,,printed,printed,programme,,2384929075,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0111 NATIONAL CYBER SECURITY AUTHORITY(NCSA), programme 01, sub-programme 0101 (gazette p. 51); origin split: Annex II-2, institution 01, sub-programme 0101 (p. 343) and Annex II-3, BA 0111 (p. 469)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0111-01-0101,Administrative And Support Services
2024/25,01,PRESIREP,0111,NATIONAL CYBER SECURITY AUTHORITY(NCSA),FP,Cyberspace Protection,FP01,Cyberspace Protection and Upgrade,,printed,printed,programme,,1491676491,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0111 NATIONAL CYBER SECURITY AUTHORITY(NCSA), programme FP, sub-programme FP01 (gazette p. 52); origin split: Annex II-2, institution 01, sub-programme FP01 (p. 344)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0111-fp-fp01,Cyberspace Protection and Upgrade
2024/25,01,PRESIREP,0111,NATIONAL CYBER SECURITY AUTHORITY(NCSA),FQ,Cybersecurity Standards & Skills Development,FQ01,Cybersecurity Skills Development,,printed,printed,programme,,906000000,,,,,,,appropriated,appropriated,whole,false,RWF,budget-document,appropriation-act,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0111 NATIONAL CYBER SECURITY AUTHORITY(NCSA), programme FQ, sub-programme FQ01 (gazette p. 52); origin split: Annex II-2, institution 01, sub-programme FQ01 (p. 344)",2024-06-26-rwa-2024-28-98,,budgets/RWA/2024.csv#rwa-2024-01-0111-fq-fq01,Cybersecurity Skills Development
