row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
CAF-infra.energy-electricity-supply-digital-infrastructure,CAF,infra.energy,Infrastructure,Electricity supply for digital infrastructure,"a utility annual report or tariff schedule, an electricity-project implementation status report, or a commissioning record for any of the planned mini-grids",,
CAF-infra.capacity-technical-capacity-workforce-skills,CAF,infra.capacity,Infrastructure,"Technical capacity, workforce and skills","an ICT workforce or skills assessment, a regulator or ministry capacity audit, or an operating record for the university digital training centre listed as delivered in 2023",,
CAF-gov.protect-cybersecurity-strategy-response-team,CAF,gov.protect,Governance and regulation,"National cybersecurity strategy, response team and operations centre","the promulgated cybersecurity law text, an agency establishment decree, or a national cybersecurity strategy",,
CAF-data.open-open-government-data-portal,CAF,data.open,Governance and regulation,National open government data portal or catalogue,"a government open-data portal with a dated dataset listing, or the data governance policy the public finances plan names and does not price",,
CAF-dpi.exchange-government-interoperability-or-data,CAF,dpi.exchange,Digital public infrastructure,Government interoperability or data-exchange layer,a decree or agency framework creating a government service bus or interoperability standard,,
CAF-dpi.mis-sector-management-information-systems,CAF,dpi.mis,Digital public infrastructure,Sector management information systems,"a health-ministry or education-ministry deployment record, or a contract award or donor project document for any sector system",,
CAF-data.statistics-independent-measurement-internet-penetration,CAF,data.statistics,Digital public infrastructure,Independent measurement of internet penetration,"a regulator statistical bulletin, a statistics-institute survey module, or an operator-reported subscriber series filed with the regulator",,
CAF-data.satellite-earth-observation-or-satellite,CAF,data.satellite,Digital public infrastructure,Earth-observation or satellite data,"any earth-observation agreement, geospatial data platform, national mapping programme or satellite-imagery procurement",,
CAF-digital.localgov-local-government-digital-systems,CAF,digital.localgov,Digital public infrastructure,Local-government digital systems,"any commune-level platform, local revenue system, or territorial-administration programme document for the councils elected in December 2025",,
CAF-tech.ai-ai-policy-strategy-or,CAF,tech.ai,Artificial intelligence and the technology sector,"National AI policy, strategy or regulation","a published national AI strategy, a decree or bill on automated decision-making, or a continental AI-strategy accession instrument naming the country",,
CAF-tech.ai-ai-system-deployed-state,CAF,tech.ai,Artificial intelligence and the technology sector,AI system deployed in state service delivery,"a procurement notice, contract, pilot announcement or ministry statement naming a deployed system and a vendor",,
CAF-tech.innovate-startup-funding-accelerator-cohort,CAF,tech.innovate,Artificial intelligence and the technology sector,"Startup funding, accelerator cohort or ecosystem figure","a funding-round announcement, an incubator cohort list, or a tracker country figure",,
CAF-tech.industry-ict-sector-size-revenue,CAF,tech.industry,Artificial intelligence and the technology sector,"ICT sector size, revenue, employment or operator financials","a regulator annual report or observatory, a national-accounts ICT line, or operator segment disclosure",,
CAF-geopol.india-india-linked-technology-activity,CAF,geopol.india,Artificial intelligence and the technology sector,India-linked technology activity,"a training-centre record, an export-bank line of credit for digital infrastructure, or an Indian vendor contract",,
CAF-capacity.literacy-digital-literacy,CAF,capacity.literacy,"Inclusion, capacity and finance",Digital literacy programme,"any dated ministry, regulator or donor document naming a digital-literacy programme with a scope or a budget line",,
CAF-capacity.training-digital-skills-or-training,CAF,capacity.training,"Inclusion, capacity and finance",Digital skills or training programme,"a named programme primary with enrolment or funding figures, or a regional programme project document once signed",,
CAF-capacity.research-research-capacity,CAF,capacity.research,"Inclusion, capacity and finance",Research capacity,"a university, statistics-institute or donor research document",,
CAF-finance.budget-enacted-appropriation-any-year,CAF,finance.budget,"Inclusion, capacity and finance",Enacted appropriation for any year,"a text-extractable copy of any of the three enacted finance laws, at line grain",,
CAF-finance.budget-budget-outturn-at-any,CAF,finance.budget,"Inclusion, capacity and finance",Budget outturn at any grain,"a text-extractable quarterly execution report, or a settlement law later than 2019",,
