row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
COG-gov.policy-strategie-economie-numerique-2019,COG,gov.policy,Governance,instrument,Decret 2019-150 approving the national digital economy strategy,Implemented,2019-07-04,Gazetted 2019-07-04,2019-07-04,Advanced,Did not exist,"In force as the founding instrument of the national digital economy strategy, Vision Congo Digital 2025",2019-07-04-jo-2019-27-decret-2019-150-strategie-nationale-economie-numerique,,
COG-gov.policy-education-digital-roadmap,COG,gov.policy,Governance,instrument,Education sector digital roadmap,In development,2026-08-21,Validated at a Brazzaville workshop 2026-08-19,,Advanced,Did not exist,"A digital roadmap for the education system validated by sector stakeholders at a Brazzaville workshop, for a concerted update of the sector digital document",2026-08-21-adiac-congo-education-digital-roadmap-validated,,"validated rather than adopted; no text, budget or implementation timetable is published"
COG-gov.policy-ministry-digital-roadmap-interministerial,COG,gov.policy,Governance,measure,Ministry digital roadmap and interministerial task force,,2026-07-28,"A presidential instruction to stand up the task force in May 2026, with the roadmap set out publicly 2026-07-28",,Advanced,Did not exist,"Five ambitions and nine programmes, with delivery placed in an interministerial task force under the Prime Minister rather than the ministry acting alone",2026-07-28-cg-feuille-de-route-numerique-tribune|2026-05-06-cog-compte-rendu-conseil-des-ministres,,"the roadmap reaches the base through a signed opinion piece by an adviser rather than an adopted instrument, and a separate nine-point ministerial list of 2026-07-10 is not reconciled with it"
COG-gov.policy-artificial-intelligence-strategy,COG,gov.policy,Governance,instrument,National artificial intelligence strategy,In development,2026-05-06,Drafting launched with external support and a technical committee seated 2026-05-06,,Advanced,Did not exist,"A technical committee with a six-month horizon, eleven deliverables, a budget of FCFA 150m to 200m still to be secured, and a national-languages flagship digitising two languages",2026-05-06-strategie-nationale-ia-langues-nationales-pnud-ldb|2026-01-19-congo-pose-jalons-regulation-ia-ldb,,January 2026 conferences on digital and artificial-intelligence regulation set priorities to feed it; no draft text is held
COG-gov.policy-data-governance-strategy,COG,gov.policy,Governance,instrument,National data governance strategy,In development,2026-06-12,Consultations and capacity-building held at Brazzaville from 2 to 9 June 2026 under a continental data-governance initiative,,Advanced,Did not exist,"A landscape assessment and national reform priorities under way with government, regulators, academia, civil society and the private sector; no draft, timetable or adoption route published",2026-06-12-eca-supports-congo-national-data-governance-strategy-techreviewafrica,,"the only account held is wire copy reading as the sponsoring body's communications, and its own release is not on file"
COG-gov.policy-digital-strategy-2030,COG,gov.policy,Governance,instrument,National digital strategy 2030,In development,2025-10-16,Completed with external support and under general-secretariat review awaiting adoption by presidential decree,,Baseline not held,,"A finalised text still awaiting a decree, with no adoption instrument on file at 2026-08-06",2025-10-16-congo-nears-adoption-digital-strategy-2030-wearetech,,"the base holds nothing on this strategy dated before October 2025, and the predecessor strategy has expired"
COG-gov.policy-public-finance-digital-transformation,COG,gov.policy,Governance,measure,Public-finance digital transformation steering committee,,2026-07-15,A first meeting opened by the finance minister at Brazzaville,2026-07-15,Advanced,Did not exist,"A ministerial-chaired committee seating the directors-general of the revenue authorities and supervised agencies, with three stated objectives: improving revenue collection, securing public funds and raising the quality of public spending",2026-07-15-cog-copil-transformation-numerique-finances-publiques-mfbpp,,the minister traced the mandate to a March 2026 presidential campaign rather than to a donor programme
COG-gov.legislate-certified-electronic-invoicing-decree,COG,gov.legislate,Governance,instrument,Certified electronic invoicing decree,Implemented,2026-07-09,"Signed 2026-03-31, gazetted 2026-07-09 and compulsory for every economic agent from 2026-07-01",2026-07-01,Advanced,"A voluntary pilot group, with electronic invoicing described by external staff as a component of the tax platform whose implementation was incomplete","Mandatory for every economic agent except the state, local authorities on public-service missions and diplomatic bodies, with terminals, software and enterprise modules homologated jointly by the tax directorate and the security agency",2026-07-09-cog-decret-2026-101-facturation-electronique-certifiee-sfec|2026-06-16-cog-lancement-campagne-sensibilisation-sfec-mfbpp,,no phase-in by firm size and no assisted or offline route is stated; parallel numbering or dual systems are defined as tax fraud
COG-gov.legislate-signature-electronique,COG,gov.legislate,Governance,instrument,Decret 2014-596 regulating electronic signature,Implemented,2014-11-13,Gazetted 2014-11-13,2014-11-13,Advanced,Did not exist,In force as the electronic-signature regulation,2014-11-13-jo-2014-46-decret-2014-596-reglementation-signature-electronique,,
COG-gov.legislate-electronic-communications-framework-law,COG,gov.legislate,Governance,instrument,Electronic-communications framework law of 2009,Not held,,,,,,,,2026-09-04,"an industry report diagnoses an outdated 2009 legal framework as a brake on the sector; the base holds no number, title, text or revision status for it, and no bill to replace it"
