indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,2026-08-31,0,Roadmap 2026-2028 in force on ministry press claims; text not held; no costed plan or M&E report on record,
gov.policy--ict-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,2026-08-31,0,Sector covered by the ministerial roadmap; no implementation plan or regulator report against it on record,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,Universal-service agency's own 2026-2030 plan with dated targets; no national broadband plan or adoption instrument on record,
gov.policy--data-storage-cloud-strategy,2,CIV-tech.ai-national-sovereign-cloud,,,,,,,2026-08-31,0,National data centre and sovereign cloud under construction; no hosting policy instrument on record,
gov.policy--data-interoperability-framework-roadmap,3,CIV-gov.standards-general-interoperability-framework,,,,,,,2026-08-31,0,Framework adopted by decree 2021-913; no custodian or conformance act cited on this row,
gov.policy--ai-strategy,3,CIV-tech.ai-national-ai-strategy,,,,,,,2026-08-31,0,Adopted on secondary accounts; committee not constituted and no AI budget line on record,
gov.policy--data-localisation-policies,2,CIV-tech.ai-national-data-governance-strategy-2030,,,,,National data centre operational and national cloud in place,2026-12-31,2026-08-31,0,Localisation of a data copy stated in strategy only; no binding instrument classifying data,
gov.policy--data-governance-policy,3,CIV-tech.ai-national-data-governance-strategy-2030,,,,,,,2026-08-31,0,Strategy handed over 2025; no data governance authority or implementing instruments on record,
gov.policy--open-data-policy,2,CIV-gov.policy-ogp-national-action-plan-5,,,,,,,2026-08-31,0,Open data only as an OGP action-plan commitment; no adopted open data policy,
gov.legislate--data-protection-legislation,3,CIV-gov.protect-loi-n-2013-450-on-personal-data-protection,,,,,,,2026-08-31,0,Law in force with regulator as authority; no implementing decree or enforcement act on record,
gov.legislate--cybersecurity-legislation,3,CIV-gov.legislate-ordonnance-n-2024-950-transferring-the-cyber,,,,,,,2026-08-31,0,Ordinance ratified 2025; no implementing regulations or prosecutions on this row,
gov.legislate--legislation-covering-digital-id,3,CIV-gov.legislate-loi-2019-566-biometric-identity-card,,,,,,,2026-08-31,0,"Law 2019-566 enacted; silent on data protection, grievance and oversight",
gov.legislate--digital-payments-legislation,2,CIV-gov.legislate-banking-regulation-bill,,,,,,,2026-08-31,0,Bills adopted by Council of Ministers April 2026; passage and texts not held,
gov.legislate--legislation-enabling-data-interoperability,3,CIV-gov.legislate-ordonnance-2017-500-echanges-electroniques,,,,,,,2026-08-31,0,Ordinance 2017-500 obliges connection and once-only; no levels of assurance or custodian on record,
