title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Digital Public Infrastructure Adoption is a Governance Problem,Caribou,,2026-09-08,day,XGL; ETH; ZAF,dpi.govtech; gov.policy; dpi.id,caribou; co-develop; fayda-ethiopia-national-id; mymzansi,2026-09-08,https://caribou.global/publications/digital-public-infrastructure-adoption-is-a-governance-problem/,
Travel Notes from the 10th Central Bank Payments Conference in Istanbul:  Rethinking Regulation,AfricaNenda,,2026-09-08,day,XGL,dpi.pay; gov.policy,africanenda,2026-09-08,https://africanenda.org/travel-notes-from-the-10th-central-bank-payments-conference-in-istanbul-rethinking-regulation,
Global Development Network kicks off deployment of its five-country DPI Inclusivity Survey,Global Development Network — Inclusive Digital Transformation Hub,,2026-09-07,day,XGL; SLE; GHA,include.access; dpi.id; dpi.pay; include.divides,global-development-network; co-develop; university-of-ghana,2026-09-08,https://www.linkedin.com/feed/update/urn:li:activity:7502720462666321920/,
"Branching regulatory biographies of GPT-4 and DeepSeek-R1: A BOAP-informed analysis of regulatory reachability in the European Union, the United States and China",Telecommunications Policy,Yiping Cao,2026-09-06,day,XGL,gov.legislate; tech.ai; geopol.eu; geopol.usa; geopol.china,openai; deepseek; european-union,2026-09-08,https://doi.org/10.1016/j.telpol.2026.103315,
2.8B still excluded from digital ID as new gender gaps emerge: World Bank,Biometric Update,,2026-09-03,day,XGL,dpi.id,world-bank,2026-09-04,https://www.biometricupdate.com/202609/2-8b-still-excluded-from-digital-id-as-new-gender-gaps-emerge-world-bank,
PIN's Priorities at the Inaugural UN Global Dialogue on AI Governance and WSIS,Paradigm Initiative,,2026-09-03,day,XGL,tech.ai; gov.discourse; include.divides,paradigm-initiative; un-global-dialogue-on-ai-governance; wsis; ohchr,2026-09-05,https://paradigmhq.org/pins-priorities-at-the-inaugural-un-global-dialogue-on-ai-governance-and-wsis/,
A framework for sustainable cyber diplomacy capacity building,Journal of Cyber Policy,Julia Elizabeth Rodríguez Acosta,2026-09-03,day,XGL,infra.cybersec; capacity.training; gov.regional,,2026-09-05,https://doi.org/10.1080/23738871.2026.2722913,
'Digital Public Infrastructure': Cultural hegemony and states' technological dependence,Big Data & Society,Cecilia Rikap,2026-09-03,day,XGL,dpi.govtech; gov.discourse; geopol.india,gates-foundation; world-bank; undp,2026-09-05,https://doi.org/10.1177/20539517261473384,
"AI safety is designed in the West, and failing users everywhere",Rest of World,,2026-09-01,day,XGL,tech.ai; gov.standards; include.divides,research-ict-africa; digital-futures-lab; future-of-life-institute; undp; openai,2026-09-08,https://restofworld.org/2026/ai-safety-bias/,
FEWS NET's Future is a Blueprint,Development Gateway,Megan Levanduski,2026-09-01,day,XGL,data.open; gov.discourse; dpi.exchange,fews-net; development-gateway; rockefeller-foundation; usaid,2026-09-05,https://developmentgateway.org/blog/fews-nets-future-is-a-blueprint/,
Data embassies: The new face of sovereignty washing?,Internet Policy Review,,2026-08-27,day,XGL,infra.store; gov.discourse,,2026-08-29,https://policyreview.info/articles/news/data-embassies-sovereignty-washing/2112,
"Introduction: Rethinking data colonialism: Local negotiations with data, postcoloniality, and power",Big Data & Society,,2026-08-27,day,XGL,gov.discourse; tech.ai; include.divides,,2026-08-29,https://doi.org/10.1177/20539517261455429,
Study finds South Korea DPI aid boosts exports and investment,Biometric Update,,2026-08-26,day,XGL,dpi.govtech; gov.policy; gov.discourse,korea-edcf; undp,2026-08-26,https://www.biometricupdate.com/202608/study-finds-south-koreas-dpi-aid-boosts-exports-and-investment,
Why the global push to break free from Big Tech keeps falling short,Rest of World,,2026-08-26,day,XGL,infra.store; tech.ai; gov.discourse; geopol.usa; geopol.china; geopol.eu,google; microsoft; amazon-web-services; european-commission; huawei,2026-09-08,https://restofworld.org/2026/google-amazon-cloud-china-india/,
Global Information Society Watch special edition: Free/libre and open source software visions from the Global South,Association for Progressive Communications (APC),,2026-08-26,day,XGL,gov.discourse; include.divides,apc,2026-08-29,https://www.apc.org/en/blog/global-information-society-watch-special-edition-freelibre-and-open-source-software-visions,
Incentives to benevolence: How Korea's digital public infrastructure ODA shapes trade and investment,UNDP Seoul Policy Centre,"Soomin Park, Sojeong Lee and Seungwoo Yoo",2026-08-25,day,XGL,dpi.govtech; gov.policy; dpi.pay; dpi.id; finance.new,undp; korea-edcf; koica,2026-08-27,https://www.undp.org/policy-centre/seoul/blog/incentives-benevolence-how-koreas-digital-public-infrastructure-oda-shapes-trade-and-investment,
"Acesso desigual a IA compromete desenvolvimento do Sul Global, diz ONU",ONU News,,2026-08-25,day,XGL,tech.ai; include.access; gov.discourse,unctad,2026-08-26,https://news.un.org/pt/story/2026/08/1854142,
AI Hub Risk Assessment Framework for Social Protection: A Practical Guide to Responsible AI Deployment,DCI AI Hub for Social Protection / Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),,2026-08-24,day,XGL,tech.ai; gov.standards; include.access; gov.protect,digital-convergence-initiative; giz; oxford-policy-management,2026-08-26,https://spdci.org/resource/ai-hub-risk-assessment-framework-for-social-protection/,
Children's Digital Rights Need More Than a False Promise of Safety,Amnesty International,,2026-08-24,day,KEN; XGL,gov.protect; gov.discourse; dpi.id,amnesty-international,2026-08-25,https://www.amnesty.org/en/latest/news/2026/08/amnesty-internation/,
