place,fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_locator,programme_line
AGO,2025,,,,Ministério da Justiça e dos Direitos Humanos (Unidade Orçamental),,,,,,,,218500000,,,,,,revised,revised,whole,false,USD,official-statement,"Diário da República I.ª Série n.º 178, 19 de Setembro de 2025, pág. 20385 — artigos 1.º–2.º",Ministério da Justiça e dos Direitos Humanos
AGO,2025,,,,"Ministério das Telecomunicações, Tecnologias de Informação e Comunicação Social (MINTTICS)",,,,,,,229300000000,,,,,,,appropriated,appropriated,whole,false,AOA,reporting,"— (reporting-sourced; blank, not inferred)",Expansão e Modernização das Comunicações
AGO,2026,,,,,,,,,,,,,,,,,,unclear,unclear,whole,false,EUR,reporting,,ago-2026-agt-fatca-software
AGO,2026,,,,,,,,,,136700000000,,,,,,,,proposed,proposed,partial,false,AOA,reporting,"— (reporting-sourced; blank, not inferred)",Capacitação e Modernização da Administração Pública
AGO,2026,,,,Instituto de Modernização Administrativa (IMA),,,,,,,150000000,,,,,,,appropriated,appropriated,whole,false,USD,reporting,"— (reporting-sourced; blank, not inferred)",Instituto de Modernização Administrativa
AGO,2026,,,,Instituto de Modernização Administrativa (IMA),,,,,,,,,,,,,,unclear,unclear,whole,false,AOA,official-statement,"Despacho Presidencial n.º 11/26, de 13 de Janeiro de 2026",Instituto de Modernização Administrativa
AGO,2026,,,,,,,,,,,,275000000,,,,,,revised,revised,whole,false,USD,reporting,,ago-2026-mat-bdcm-prova-de-vida
AGO,2026,,,,,,,,,,,,,,,,,,unclear,unclear,whole,false,AOA,reporting,,ago-2026-mindcom-requalificacao-rede-informatica
AGO,2026,,,,Ministério das Finanças,,,,,,,,,,,,,,unclear,unclear,whole,false,AOA,official-statement,"Despacho Presidencial n.º 12/26, n.os 1–2 (assinado Luanda, 7 de Janeiro de 2026)",Ministério das Finanças
AGO,2026,,,,"Ministério das Telecomunicações, Tecnologias de Informação e Comunicação Social (MINTTICS)",,,,,,,159200000000,,,,,,,appropriated,appropriated,whole,false,AOA,reporting,"— (reporting-sourced; blank, not inferred)",Expansão e Modernização das Comunicações
AGO,2026,,,,Ministério da Justiça e dos Direitos Humanos (implied by the programme's subject; not named in the source),,,,,,89600000000,,,,,,,,proposed,proposed,partial,false,AOA,reporting,"— (reporting-sourced; blank, not inferred)",Reforma e Modernização da Administração da Justiça
BDI,2024/25,,,,Ministry of Interior / Police Nationale du Burundi,,,,,,,,791990000,,,,,,revised,revised,whole,false,BIF,budget-document,"MININTER PPM revise 2024-2025, IV. Equipement PNB, LITERA 11 00 002 00 4 21450 11 000 0311 01",Ministry of Interior / Police Nationale du Burundi
BDI,2025/26,,,,,,,,,,,,4811751000,,,,,,revised,revised,whole,false,BIF,budget-document,"FSU PPM revise 2025-2026, ligne 11",bdi-2025-fsu-villages-numeriques
BDI,2025/26,,,,MFBEN (self - spends its own vote),,,,,,,,17203680000,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, CODE NOMENCLATURE (Mobilisation des ressources - PRG03)",MFBEN
BDI,2025/26,,,,MFBEN (self - spends its own vote),,,,,,,,824552530,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, CODE NOMENCLATURE (Economie Numerique)",MFBEN
BDI,2025/26,,,,MFBEN (self - spends its own vote),,,,,,,,545250000,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, CODE NOMENCLATURE (Economie Numerique)",MFBEN
BDI,2025/26,,,,MFBEN (self - spends its own vote),,,,,,,,90484558,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, CODE NOMENCLATURE (Gestion et Sauvegarde du patrimoine)",MFBEN
